ticker,annee,trimestre,norme_comptable,total_actif,capitaux_propres_pg,dettes_financieres_lt,dettes_financieres_ct,tresorerie_nette,creances_clients,chiffre_d_affaires_pnb,resultat_brut_exploitation,resultat_net_pg,cout_du_risque,dotations_amortissements,flux_tresorerie_operationnel,capex,nombre_actions_circulation,dividende_par_action,prix_cloture
ADH,2024,Annuel,IFRS,20587484498.0,,3653625185.0,1025940124.0,-152903228.63,58750.0,2134135320.0,,,,59726705.42,93913562.61,30181255277731.0,,,
ADI,2024,Annuel,IFRS,11.0,,,,389.0,68924.0,586296300.0,,2024.0,,34.0,354.0,-409.0,,,
AKT,2024,Annuel,IFRS,3899643161.0,,,,271865332.86,131459895.9,119755122.65,2.4,315.0,,-1240888.0,99154526.9,-998131067.0,,10.0,
ATW,2024,Annuel,IFRS,7.264929486590058e+17,,,,7318002.0,,34507117.0,17752949.0,9504486.0,-3982035.0,1135529.0,6371734.0,-8759345.0,,19.0,
CIH,2024,Annuel,IFRS,876500440596.0,,,,1577650642317.0,,4739507.0,162759.0,-875878.0,33728.0,-8281.0,1396053.0,484863.0,,14.0,
IAM,2024,Annuel,IFRS,70374.0,13895.0,,11448.0,-16355.0,6602526.0,36699.0,19369.0,159.0,,3178348.0,6227034.0,3183.0,,,
JET,2024,Annuel,IFRS,3307205042.88,,,,41685183.53,403800.0,2695.48,104.0,,,108046475.76,41115909.55,835643.4,,,
MSA,2024,Annuel,IFRS,7890780.0,,,,-16097.0,389954385806.0,4320173687978.0,,1.2669788522344148e+18,,19474.0,75967.0,-276848.0,,,210280216278536.0
TAQA,2024,Annuel,IFRS,22246578.0,,,,10212721.51,1716083.02,7245885200.12,1.6,1037.0,,825150842451.0,2698571208.97,,,,
TGCC,2024,Annuel,IFRS,753492498218.0,1481976.0,,123394.0,4566939228.9,9923862.22,6865942.0,,,,17621.0,383983151.7,-181222.0,31639850.0,,
