ticker,annee,trimestre,norme_comptable,total_actif,capitaux_propres_pg,dettes_financieres_lt,dettes_financieres_ct,tresorerie_nette,creances_clients,chiffre_d_affaires_pnb,resultat_brut_exploitation,resultat_net_pg,cout_du_risque,dotations_amortissements,flux_tresorerie_operationnel,capex,nombre_actions_circulation,dividende_par_action,prix_cloture
20RFA,2020.0,FY,IFRS,2.0582957828201277e+21,,3.851840394373348e+19,9.938660829441947e+17,,2.185494596224723e+19,20212022.0,,,,1.0564994745942956e+16,,,,,
ADDOH,2018.0,FY,IFRS,,,,,,,,,,,,,,,,
ADDOH,2018.0,FY,IFRS,5141278967440289.0,,,,,3.957172557453312e+29,4.06231816459165e+19,,,,44555950.0,,,,,
RFA,2019.0,FY,IFRS,2.5100622170272485e+21,,4.0766305564467134e+19,1.6365788381879704e+19,,3.826263113395717e+19,2018.0,,,,1.6680478815181392e+17,,,,,
RFA,2021.0,FY,IFRS,2.0127824455204295e+21,,3.73347750333319e+19,9.441946551803742e+18,,2.2472274113115513e+19,117346611965532.0,,,,518270175.0,,,,,
RFA,2023.0,FY,IFRS,2.058748449820583e+21,,3.653625185385184e+19,1.0259401249938661e+18,,1.4568418252185496e+19,2023.0,,,,660453105649947.0,,,,,
RFA,2024.0,FY,IFRS,2.0988088138205875e+21,,3.2125299593653625e+19,1.111855598102594e+19,152903228.63,1.5639486111456842e+19,2024.0,,,,660453.0,,,,,
RFS,2023.0,FY,IFRS,2.064324499120583e+21,,3.964185670385184e+19,1.1275079259938661e+18,,2.0853506732185494e+19,2023.0,,,,4353395979247608.0,,,,,
RFS,2020.0,Q2,IFRS,2.4518346227251004e+21,,3.801047885407663e+19,1.6057042891636578e+19,,3.767059499382627e+19,1.4,,,,6.843276117972009e+16,,,,,
RFS,2022.0,Q2,IFRS,2.0167447971201278e+21,,3.7260797163733475e+19,9.338148959441947e+17,,2.2114393542247227e+19,21.0,,,,7924760899891619.0,,,,,
RFS,2024.0,Q2,IFRS,2.0522952390205875e+21,,3.2839076263653626e+19,1.214139165102594e+19,239106784.35,1.7403926881456843e+19,10.3,,10.1,,1.052534944353396e+16,,,,,
RFS,2019.0,S1,IFRS,2.6329853524272485e+21,,4.380403455446713e+19,1.6820010611879705e+19,,3.969206607395717e+19,2.0168309042562464e+29,,3.404649053739053e+26,,1.797200871563582e+24,,,,,
RFS,2021.0,S1,IFRS,2.0011894961204295e+21,,3.7253702423331906e+19,1.1823817021803743e+19,,2.5491775793115513e+19,2.0,,,,68432761.0,,,,,
RFS,2025.0,S1,IFRS,2.216974177420988e+21,,3.332386292321253e+19,1.3281031291111856e+19,,1.3154698691563948e+19,3.1,,,,2.1424858105253496e+16,,,,,
ADI,2018.0,FY,IFRS,1356310715385112.0,,,,1928.0,11336001782900.0,5200556886.0,,,,5200556886.0,,,,,
ADI,2019.0,S1,IFRS,1365576413563107.0,,,,,,66760416338783.0,,,,,,,,,
ADI,2019.0,FY,IFRS,1348670713563107.0,,,,14836517.0,2018.0,66252346338783.0,,93112.0,,2861028910.0,,,,,
ADI,2020.0,FY,IFRS,280199112250.0,,,,1483.0,2019.0,2020.0,,,,2348325803.0,,,,,
ADI,2021.0,FY,IFRS,,,,,72.326,2020.0,2021.0,,,,99.99,,,,,
ADI,2022.0,FY,IFRS,,,,,87.0,2021.0,2023.0,,,,99.95,,,,,
ADI,2023.0,FY,IFRS,,,,,968.0,,2024.0,,,,,,,,,
ADI,2024.0,FY,IFRS,,,,,7996.0,2023.0,1.0,,,,23.0,,,,,
ADI,2020.0,FY,IFRS,,,,,8.0,,21.0,,,,,,,,,
ADI,2021.0,Q2,IFRS,1293921913109914.0,,,,48.0,,2021.0,,,,2838622520.0,,,,,
ADI,2022.0,Q2,IFRS,,,,,84.0,,12.0,,,,99.93,,,,,
ADI,2024.0,Q2,IFRS,,,,,3396.0,2023.0,852.0,,,,,,,,,
ADI,2020.0,S1,IFRS,,,,,20.0,,37.0,,,,2252026700.0,,,,,
ADI,2025.0,S1,IFRS,,,,,33.0,2024.0,1.0,,,,,,,,,
ADI,2019.0,S1,IFRS,,,,,,,,,,,,,,,,
20RFA,2020.0,FY,IFRS,,,,,,1.0,1.0,,8.765198148078587e+23,,369.0,,,,,
RFA,2023.0,FY,IFRS,3.8996431623034005e+21,,,,,18.0,2023.0,,,,,,,,6.0,
RFA,2024.0,FY,IFRS,93.0,,,,,1.0,2024.0,,315.0,,1240888.0,,,,510.0,
RFS,2023.0,FY,IFRS,,,,,,1.0,2023.0,,6696894125735115.0,,,,,,,
RFS,2024.0,Q2,IFRS,4.657810587389964e+19,,,,,,1249.0,,,,635506.0,,,,,
RFS,2025.0,S1,IFRS,7.361359699636779e+19,,,,,1.0,2025.0,,2024.0,,1152182.0,,,,,
ATW,2020.0,FY,IFRS,10.4,,,,1884059.0,,33.3,7.1,2020.0,6464.0,1544190.0,,,,11.0,
ATW,2021.0,Q2,IFRS,5.797900945681076e+17,,,,7401608943344.0,,2.9,68994425713521.0,5.0,37.0,788536.0,,,,,
AWB,2019.0,FY,IFRS,5.326017135099257e+17,,,,18840597942184.0,,4.9,1224966811657608.0,5.8,1723565.0,1065250.0,,,,,
AWB,2019.0,FY,IFRS,34.0,,,,18840597942184.0,323.8,108.8,8.0,5.8,0.35,1065250.0,,,,13.5,
AWB,2019.0,FY,IFRS,34.0,,,,18840597942184.0,323.8,108.8,8.0,5.8,0.35,1065250.0,,,,13.5,
AWB,2021.0,FY,IFRS,35.0,,,,56418428943344.0,,30.1,8.2,2021.0,0.81,13.7,,,,15.0,
AWB,2022.0,FY,IFRS,17.0,,,,67294155641842.0,,38.9,3.3,2022.0,3.2,4.7,,,,15.5,
AWB,2023.0,FY,IFRS,7.26,,,,73180025489740.0,22.3,35.9,9.8,2023.0,4.0,13.3,,,,16.5,
AWB,2024.0,FY,IFRS,56.9,,,,204336097318002.0,,29.3,11.9,2024.0,4.2,1389178.0,,,,3958591438.0,
AWB,2023.0,S1,IFRS,,,,,,,,,,,,,,,,
AWB,2020.0,S1,IFRS,5.578155955326017e+17,,,,1884059.0,,2019.0,57135216270623.0,1.2,3.0,740926.0,,,,,
AWB,2020.0,S1,IFRS,5.578155955326017e+17,,,,1884059.0,,2019.0,57135216270623.0,1.2,3.0,740926.0,,,,,
AWB,2022.0,S1,IFRS,6.147841375963259e+17,,,,27270095641842.0,,4.8,73519746899442.0,16.2,12.9,776297.0,,,,,
AWB,2024.0,S1,IFRS,6.924585816590058e+17,,,,71590607863563.0,,16.6,22.9,35.7,2272692.0,691468.0,,,,,
AWB,,S1,,,,,,,,,,,,,,,,,
CIH,2019.0,FY,IFRS,41.953,41.953,,,29.033,,2019.0,1.2,23.0,249.9,5.0,,13.0,,14.0,
CIH,2022.0,FY,IFRS,,,,,,,,,,,,,,,,
CIH,2023.0,FY,IFRS,,,,,260.134,,2786.5,1.0,710.393,504.971,1.5,,6.4,,14.0,
CIH,2020.0,S1,IFRS,78.0,78.0,,,885.585,,17.0,7.6,69.8,0.33,4.057,,,,,
CIH,2020.0,S1,IFRS,78.0,78.0,,,885.585,,17.0,7.6,69.8,0.33,4.057,,,,,
CIH,2020.0,S1,IFRS,78.0,78.0,,,885.585,,17.0,7.6,69.8,0.33,4.057,,,,,
CIH,2020.0,S1,IFRS,78.0,78.0,,,885.585,,17.0,7.6,69.8,0.33,4.057,,,,,
CIH,2023.0,S1,IFRS,,,,,,,40.9,2020.0,298.9,142.1,4.408,,,,,
CIH,2024.0,S1,IFRS,1.2696900712543374e+17,,,,21317.0,,2333.2,1.0,442.2,517.2,189397.0,,,,,
CIH,2025.0,S1,IFRS,1.493926551409714e+17,,,,928482.0,,25.0,1.0,2024.0,517.3,459579.0,,,,,
CIH,2020.0,FY,IFRS,,,,,885.585,,10.0,100.0,81.1,0.45,2019.0,,,,,
CIH,2021.0,FY,IFRS,,,,,318.308,,12.6,30.5,2021.0,54.2,3.7,,7.0,,14.0,
CIH,2024.0,FY,IFRS,1.4097138912543374e+17,,,,1577650642317.0,,11.5,1.0,2023.0,1071.6,8281.0,,6.9,,14.0,
CIH,2021.0,S1,IFRS,,,,,318.308,,7.0,48.7,45.7,46.7,64.879,,,,,
CIH,2022.0,S1,IFRS,,,,,258.085,,8.2,9.1,264.6,209.7,3.644,,,,,
DPGA,2020.0,FY,IFRS,2.0429555704251005e+21,,3.331901845407663e+19,1.8037423711636578e+19,,3.1155141093826265e+19,1.7,,,,5.182701751668048e+17,,,,,
IAM,2019.0,FY,IFRS,559656746033.0,158351566812069.0,,,6.0,7790.0,0.9,,5.2,,,,3.5,,20222.0,
IAM,2019.0,FY,IFRS,559656746033.0,158351566812069.0,,,6.0,7790.0,0.9,,5.2,,,,3.5,,20222.0,
IAM,2020.0,S1,IFRS,6485165564.0,120699275.0,,,,,2020.0,,1969.0,,,,65.4,,,
IAM,2020.0,S1,IFRS,6485165564.0,120699275.0,,,,,2020.0,,1969.0,,,,65.4,,,
RFA,2022.0,FY,IFRS,3615465654.381,,,,296.94,88.0,213.0,,,,,,,,,
JET_C,2019.0,FY,IFRS,,,,,,,,,,,,,,,,
S1,2019.0,S1,IFRS,,,,,,,,,,,,,,,,
RFA,2019.0,FY,IFRS,2724419613.141,,,,420.13,130.0,100.0,,,,8.0,,,,,
RFA,2019.0,FY,IFRS,2724419613.141,,,,420.13,130.0,100.0,,,,8.0,,,,,
RFA,2020.0,FY,IFRS,2981810158.001,,,,278.81,99568411.63,2018.0,,,,11066420.45,,,,,
RFA,2021.0,FY,IFRS,,,,,275.51,2021.0,2018.0,,,,,,,,,
RFA,2023.0,FY,IFRS,3307205042.881,,,,414.98,52061352.13,213.0,,,,29459039.37,,,,,
RFA,2024.0,FY,IFRS,3921073795.931,,,,456.66,60776282.69,3.0,,,,22253541.61,,,,,
JET,2021.0,FY,IFRS,,,,,459.59,,340.0,,5.0,,,,,,,
RFS,2020.0,Q2,IFRS,,,,,,,192.0,,20.55,,,,,,,
RFS,2022.0,Q2,IFRS,,,,,,,1367.05,,2022.0,,,,,,,
RFS,2024.0,Q2,IFRS,,,,,,,197.0,,2024.0,,,,,,,
RFS,2023.0,S1,IFRS,,,,,377.7,,1287.46,,5.0,,,,,,,
RFS,2025.0,S1,IFRS,,,,,322451389.18,,43.0,,2024.0,,,,,,,
RFS,2022.0,Q2,IFRS,6178263264.0,1491411130.0,,,,,0.6,,2827417.0,,,,77.0,,,
MAROC,2024.0,FY,IFRS,703746554365530.0,149081712613895.0,,,1.6,9.0,5.0,,,,,,44.7,20.0,,
MAROC,2020.0,FY,IFRS,635406485162131.0,127211206915668.0,,,1.6,77395.0,133511427613966.0,2018.0,,,74170.0,,50.6,20.0,2022.0,
MAROC,2021.0,FY,IFRS,617826354064851.0,149141272112069.0,,,1.6,9.0,1.0,,11.1,,,,64.0,20.0,20202.0,
MAROC,2022.0,FY,IFRS,655306178263540.0,138951491412721.0,,,1.6,9.0,5.0,,11.1,,2022.0,,34.1,20.0,,
MAROC,2023.0,FY,IFRS,655436553061782.0,171261389514914.0,,,1.6,9.0,5.0,,2022.0,,,,1.8,20.0,,
MAROC,2024.0,FY,IFRS,6554367468.0,1712612088.0,,,6949.0,,0.9,,1147.0,,,,11.6,,,
RFA,2024.0,FY,IFRS,655306554370374.0,1.3138951712614908e+16,,,6.0,9.0,1.2,,,,,,44.7,,,
RFA,2025.0,FY,IFRS,655437037475811.0,1.3171261490820478e+16,,,6.0,9.0,1.4,,290.7,,,,1.0,,,
RFS,2023.0,FY,IFRS,6553066163.0,1389514621.0,,,,,5.0,,4172885.0,,,,22.9,,,
RFS,2025.0,FY,IFRS,7037469993.0,1490817545.0,,,11885.0,,1.0,,4117.0,,,,0.5,,,
RFS,2021.0,S1,IFRS,6354062639.0,1272111813.0,,,,,2.9,,19692827.0,,,,78.3,,,
RFA,2020.0,Q1,IFRS,,,,,18.534,,2020.0,,292.0,,,,,,,
RFA,2021.0,Q1,IFRS,78091777577521.0,,,,259248.0,,10.0,,3592.0,,,,,,,
RFA,2022.0,Q1,IFRS,80598527809177.0,,,,409567730878.0,,4.0,,817.0,,,,,,,
RFA,2023.0,Q1,IFRS,78907808059852.0,,,,16097409567.0,,4320.0,,852.0,,,,,,,
RFA,2024.0,Q1,IFRS,82986837890780.0,,,,16097.0,,2024.0,,2024.0,,1805.0,,,,,
