ticker,annee,trimestre,norme_comptable,total_actif,capitaux_propres_pg,dettes_financieres_lt,dettes_financieres_ct,tresorerie_nette,creances_clients,chiffre_d_affaires_pnb,resultat_brut_exploitation,resultat_net_pg,cout_du_risque,dotations_amortissements,flux_tresorerie_operationnel,capex,nombre_actions_circulation,dividende_par_action,prix_cloture
CIH,2024,FY,IFRS,140971.3,7644.9,5691.9,84466.6,5422.1,101209.7,4739.5,2659.5,875.8,1071.6,163.2,1298.3,NaN,31497283,14.0,NaN
CIH,2023,FY,IFRS,125433.7,6807.7,4446.5,74159.3,3844.4,90754.8,4468.2,2476.5,710.3,1280.6,253.8,1430.1,NaN,30519784,14.0,NaN
CIH,2022,FY,IFRS,117156.8,6538.6,4480.2,68905.8,3202.1,83423.3,3518.0,1657.1,669.0,590.4,234.9,-116.7,NaN,NaN,14.0,NaN
CIH,2021,FY,IFRS,106417.2,5315.1,3691.2,62953.1,3462.2,74406.7,3106.6,1388.7,603.0,456.5,NaN,771.8,NaN,NaN,14.0,NaN
CIH,2020,FY,IFRS,89566.3,4912.0,3721.2,53769.1,2247.4,62983.3,2759.7,1063.8,80.7,996.6,NaN,1632.6,161.5,NaN,14.0,NaN
CIH,2019,FY,IFRS,75134.2,5117.1,3695.9,44579.2,2179.7,43581.2,2016.6,941.7,426.4,249.9,NaN,1048.4,579.7,NaN,13.0,NaN
CIH,2018,FY,IFRS,64949.8,4745.1,3647.2,37052.5,1708.7,38425.1,1806.6,806.0,455.0,219.9,641.6,NaN,NaN,NaN,16.0,NaN
CIH,2017,FY,Marocaine,53616.6,4977.4,2050.2,29778.5,1823.6,30454.5,1652.9,744.6,435.8,58.1,565.9,NaN,NaN,NaN,14.0,NaN
CIH,2016,FY,Marocaine,47919.5,4915.3,2051.1,26517.7,2620.6,25079.0,1847.2,NaN,434.5,116.1,NaN,NaN,NaN,NaN,NaN,NaN
CIH,2015,FY,Marocaine,44707.4,4555.3,1043.3,NaN,2524.5,24319.9,1790.3,NaN,519.5,38.9,NaN,NaN,NaN,NaN,NaN,NaN
CIH,2014,FY,Marocaine,43138.7,4790.6,NaN,27142.1,2092.1,24319.9,1701.0,NaN,482.2,NaN,NaN,NaN,NaN,NaN,14.0,NaN
CIH,2013,FY,Marocaine,41449.9,4702.6,NaN,27179.2,2460.8,24187.6,1730.4,754.8,514.8,29.8,105.1,NaN,NaN,NaN,14.0,NaN
