"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"11/03/2026","1.080,00","1.080,00","1.080,00","1.067,00","5,78K","1,41%"
"10/03/2026","1.065,00","1.075,00","1.088,00","1.061,00","11,09K","5,55%"
"09/03/2026","1.009,00","1.001,00","1.035,00","1.000,00","29,68K","-5,26%"
"06/03/2026","1.065,00","1.114,00","1.138,00","1.065,00","37,32K","-2,29%"
"05/03/2026","1.090,00","1.035,00","1.090,00","1.021,00","37,01K","9,00%"
"04/03/2026","1.000,00","982,00","1.045,00","982,00","39,38K","2,04%"
"03/03/2026","980,00","1.029,00","1.029,00","975,00","46,51K","-6,67%"
"02/03/2026","1.050,00","1.051,00","1.099,00","1.045,00","22,26K","-7,49%"
"27/02/2026","1.135,00","1.175,00","1.175,00","1.135,00","13,49K","-2,99%"
"26/02/2026","1.170,00","1.173,00","1.173,00","1.165,00","5,69K","0,34%"
"25/02/2026","1.166,00","1.174,00","1.175,00","1.160,00","4,93K","0,00%"
"24/02/2026","1.166,00","1.155,00","1.175,00","1.150,00","23,63K","2,01%"
"23/02/2026","1.143,00","1.150,00","1.151,00","1.132,00","8,91K","-0,70%"
"20/02/2026","1.151,00","1.136,00","1.151,00","1.131,00","34,37K","1,32%"
"19/02/2026","1.136,00","1.131,00","1.136,00","1.128,00","13,14K","0,09%"
"18/02/2026","1.135,00","1.137,00","1.138,00","1.121,00","1,55K","0,80%"
"17/02/2026","1.126,00","1.117,00","1.140,00","1.117,00","9,24K","-1,92%"
"16/02/2026","1.148,00","1.120,00","1.148,00","1.112,00","6,90K","4,36%"
"13/02/2026","1.100,00","1.118,00","1.120,00","1.100,00","34,20K","-0,63%"
"12/02/2026","1.107,00","1.100,00","1.130,00","1.091,00","28,56K","1,75%"
"11/02/2026","1.088,00","1.100,00","1.100,00","1.088,00","10,47K","-0,18%"
"10/02/2026","1.090,00","1.119,00","1.119,00","1.090,00","17,63K","-0,91%"
"09/02/2026","1.100,00","1.140,00","1.140,00","1.100,00","5,38K","-1,70%"
"06/02/2026","1.119,00","1.090,00","1.140,00","1.080,00","25,46K","2,66%"
"05/02/2026","1.090,00","1.129,00","1.129,00","1.090,00","25,21K","-3,54%"
"04/02/2026","1.130,00","1.140,00","1.150,00","1.130,00","3,28K","0,00%"
"03/02/2026","1.130,00","1.164,00","1.164,00","1.130,00","10,37K","-0,88%"
"02/02/2026","1.140,00","1.160,00","1.169,00","1.137,00","10,00K","-1,13%"
"30/01/2026","1.153,00","1.190,00","1.190,00","1.153,00","11,14K","-2,29%"
"29/01/2026","1.180,00","1.220,00","1.224,00","1.180,00","12,13K","-3,28%"
"28/01/2026","1.220,00","1.200,00","1.250,00","1.194,00","17,32K","1,75%"
"27/01/2026","1.199,00","1.160,00","1.199,00","1.150,00","2,69K","1,78%"
"26/01/2026","1.178,00","1.210,00","1.210,00","1.150,00","5,18K","-1,83%"
"23/01/2026","1.200,00","1.230,00","1.245,00","1.200,00","11,53K","-2,44%"
"22/01/2026","1.230,00","1.211,00","1.270,00","1.211,00","5,91K","2,41%"
"21/01/2026","1.201,00","1.218,00","1.218,00","1.201,00","2,64K","0,08%"
"20/01/2026","1.200,00","1.250,00","1.250,00","1.190,00","12,58K","-4,00%"
"19/01/2026","1.250,00","1.270,00","1.272,00","1.250,00","3,48K","-0,32%"
"16/01/2026","1.254,00","1.255,00","1.258,00","1.242,00","10,10K","1,95%"
"15/01/2026","1.230,00","1.283,00","1.284,00","1.226,00","16,18K","-2,15%"
"13/01/2026","1.257,00","1.277,00","1.277,00","1.250,00","13,35K","-1,64%"
"12/01/2026","1.278,00","1.294,00","1.297,00","1.269,00","6,74K","-0,62%"
"09/01/2026","1.286,00","1.255,00","1.313,00","1.239,00","40,94K","2,88%"
"08/01/2026","1.250,00","1.260,00","1.262,00","1.195,00","19,84K","-1,50%"
"07/01/2026","1.269,00","1.300,00","1.300,00","1.261,00","10,51K","-0,86%"
"06/01/2026","1.280,00","1.288,00","1.300,00","1.280,00","16,91K","0,00%"
"05/01/2026","1.280,00","1.271,00","1.299,00","1.260,00","18,84K","3,23%"
"02/01/2026","1.240,00","1.193,00","1.240,00","1.185,00","32,05K","5,08%"
"31/12/2025","1.180,00","1.172,00","1.185,00","1.170,00","74,14K","1,72%"
"30/12/2025","1.160,00","1.145,00","1.160,00","1.134,00","10,68K","3,11%"
"29/12/2025","1.125,00","1.134,00","1.148,00","1.067,00","13,59K","3,21%"
"26/12/2025","1.090,00","1.136,00","1.170,00","1.090,00","186,58K","-2,24%"
"25/12/2025","1.115,00","1.126,00","1.148,00","1.115,00","45,50K","-1,15%"
"24/12/2025","1.128,00","1.165,00","1.170,00","1.128,00","30,85K","-3,09%"
"23/12/2025","1.164,00","1.185,00","1.185,00","1.160,00","87,26K","-0,43%"
"22/12/2025","1.169,00","1.180,00","1.190,00","1.169,00","10,47K","-0,93%"
"19/12/2025","1.180,00","1.170,00","1.228,00","1.170,00","16,55K","1,55%"
"18/12/2025","1.162,00","1.185,00","1.185,00","1.161,00","24,09K","-1,94%"
"17/12/2025","1.185,00","1.180,00","1.194,00","1.180,00","21,47K","0,51%"
"16/12/2025","1.179,00","1.200,00","1.219,00","1.175,00","129,34K","-1,75%"
"15/12/2025","1.200,00","1.250,00","1.250,00","1.200,00","19,54K","-2,44%"
"12/12/2025","1.230,00","1.260,00","1.260,00","1.230,00","15,82K","-1,28%"
"11/12/2025","1.246,00","1.255,00","1.255,00","1.240,00","80,45K","-0,95%"
"10/12/2025","1.258,00","1.264,00","1.264,00","1.256,00","50,94K","-0,16%"
"09/12/2025","1.260,00","1.284,00","1.284,00","1.258,00","17,40K","0,00%"
"08/12/2025","1.260,00","1.290,00","1.290,00","1.260,00","2,69K","0,64%"
"05/12/2025","1.252,00","1.288,00","1.296,00","1.252,00","62,57K","-2,80%"
"04/12/2025","1.288,00","1.286,00","1.300,00","1.286,00","7,44K","-0,16%"
"03/12/2025","1.290,00","1.301,00","1.309,00","1.290,00","22,46K","-1,60%"
"02/12/2025","1.311,00","1.315,00","1.325,00","1.300,00","0,97K","-0,30%"
"01/12/2025","1.315,00","1.340,00","1.340,00","1.311,00","11,53K","-2,59%"
"28/11/2025","1.350,00","1.305,00","1.350,00","1.304,00","29,93K","2,66%"
"27/11/2025","1.315,00","1.340,00","1.340,00","1.311,00","8,61K","0,38%"
"26/11/2025","1.310,00","1.299,00","1.325,00","1.291,00","15,39K","2,34%"
"25/11/2025","1.280,00","1.275,00","1.299,00","1.275,00","9,11K","0,39%"
"24/11/2025","1.275,00","1.255,00","1.299,00","1.255,00","4,70K","2,82%"
"21/11/2025","1.240,00","1.254,00","1.254,00","1.240,00","16,03K","-1,12%"
"20/11/2025","1.254,00","1.260,00","1.295,00","1.254,00","9,10K","-0,48%"
"19/11/2025","1.260,00","1.285,00","1.286,00","1.257,00","11,08K","-3,08%"
"17/11/2025","1.300,00","1.350,00","1.350,00","1.300,00","5,86K","-2,26%"
"14/11/2025","1.330,00","1.335,00","1.364,00","1.330,00","1,58K","-0,75%"
"13/11/2025","1.340,00","1.335,00","1.359,00","1.335,00","0,69K","0,75%"
"12/11/2025","1.330,00","1.316,00","1.360,00","1.315,00","9,31K","0,76%"
"11/11/2025","1.320,00","1.360,00","1.360,00","1.320,00","15,04K","-2,94%"
"10/11/2025","1.360,00","1.367,00","1.370,00","1.348,00","9,54K","-2,16%"
"07/11/2025","1.390,00","1.415,00","1.427,00","1.390,00","8,28K","-1,49%"
"05/11/2025","1.411,00","1.449,00","1.453,00","1.411,00","7,05K","-2,62%"
"04/11/2025","1.449,00","1.473,00","1.473,00","1.449,00","9,76K","-0,75%"
"03/11/2025","1.460,00","1.484,00","1.484,00","1.460,00","5,33K","1,39%"
