"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2026","1,065.00","1,114.00","1,138.00","1,065.00","37.32K","-2.29%"
"03/05/2026","1,090.00","1,035.00","1,090.00","1,021.00","37.01K","9.00%"
"03/04/2026","1,000.00","982.00","1,045.00","982.00","39.38K","2.04%"
"03/03/2026","980.00","1,029.00","1,029.00","975.00","46.51K","-6.67%"
"03/02/2026","1,050.00","1,051.00","1,099.00","1,045.00","22.26K","-7.49%"
"02/27/2026","1,135.00","1,175.00","1,175.00","1,135.00","13.49K","-2.99%"
"02/26/2026","1,170.00","1,173.00","1,173.00","1,165.00","5.69K","0.34%"
"02/25/2026","1,166.00","1,174.00","1,175.00","1,160.00","4.93K","0.00%"
"02/24/2026","1,166.00","1,155.00","1,175.00","1,150.00","23.63K","2.01%"
"02/23/2026","1,143.00","1,150.00","1,151.00","1,132.00","8.91K","-0.70%"
"02/20/2026","1,151.00","1,136.00","1,151.00","1,131.00","34.37K","1.32%"
"02/19/2026","1,136.00","1,131.00","1,136.00","1,128.00","13.14K","0.09%"
"02/18/2026","1,135.00","1,137.00","1,138.00","1,121.00","1.55K","0.80%"
"02/17/2026","1,126.00","1,117.00","1,140.00","1,117.00","9.24K","-1.92%"
"02/16/2026","1,148.00","1,120.00","1,148.00","1,112.00","6.90K","4.36%"
"02/13/2026","1,100.00","1,118.00","1,120.00","1,100.00","34.20K","-0.63%"
"02/12/2026","1,107.00","1,100.00","1,130.00","1,091.00","28.56K","1.75%"
"02/11/2026","1,088.00","1,100.00","1,100.00","1,088.00","10.47K","-0.18%"
"02/10/2026","1,090.00","1,119.00","1,119.00","1,090.00","17.63K","-0.91%"
"02/09/2026","1,100.00","1,140.00","1,140.00","1,100.00","5.38K","-1.70%"
"02/06/2026","1,119.00","1,090.00","1,140.00","1,080.00","25.46K","2.66%"
"02/05/2026","1,090.00","1,129.00","1,129.00","1,090.00","25.21K","-3.54%"
"02/04/2026","1,130.00","1,140.00","1,150.00","1,130.00","3.28K","0.00%"
"02/03/2026","1,130.00","1,164.00","1,164.00","1,130.00","10.37K","-0.88%"
"02/02/2026","1,140.00","1,160.00","1,169.00","1,137.00","10.00K","-1.13%"
"01/30/2026","1,153.00","1,190.00","1,190.00","1,153.00","11.14K","-2.29%"
"01/29/2026","1,180.00","1,220.00","1,224.00","1,180.00","12.13K","-3.28%"
"01/28/2026","1,220.00","1,200.00","1,250.00","1,194.00","17.32K","1.75%"
"01/27/2026","1,199.00","1,160.00","1,199.00","1,150.00","2.69K","1.78%"
"01/26/2026","1,178.00","1,210.00","1,210.00","1,150.00","5.18K","-1.83%"
"01/23/2026","1,200.00","1,230.00","1,245.00","1,200.00","11.53K","-2.44%"
"01/22/2026","1,230.00","1,211.00","1,270.00","1,211.00","5.91K","2.41%"
"01/21/2026","1,201.00","1,218.00","1,218.00","1,201.00","2.64K","0.08%"
"01/20/2026","1,200.00","1,250.00","1,250.00","1,190.00","12.58K","-4.00%"
"01/19/2026","1,250.00","1,270.00","1,272.00","1,250.00","3.48K","-0.32%"
"01/16/2026","1,254.00","1,255.00","1,258.00","1,242.00","10.10K","1.95%"
"01/15/2026","1,230.00","1,283.00","1,284.00","1,226.00","16.18K","-2.15%"
"01/13/2026","1,257.00","1,277.00","1,277.00","1,250.00","13.35K","-1.64%"
"01/12/2026","1,278.00","1,294.00","1,297.00","1,269.00","6.74K","-0.62%"
"01/09/2026","1,286.00","1,255.00","1,313.00","1,239.00","40.94K","2.88%"
"01/08/2026","1,250.00","1,260.00","1,262.00","1,195.00","19.84K","-1.50%"
"01/07/2026","1,269.00","1,300.00","1,300.00","1,261.00","10.51K","-0.86%"
"01/06/2026","1,280.00","1,288.00","1,300.00","1,280.00","16.91K","0.00%"
"01/05/2026","1,280.00","1,271.00","1,299.00","1,260.00","18.84K","3.23%"
"01/02/2026","1,240.00","1,193.00","1,240.00","1,185.00","32.05K","5.08%"
"12/31/2025","1,180.00","1,172.00","1,185.00","1,170.00","74.14K","1.72%"
"12/30/2025","1,160.00","1,145.00","1,160.00","1,134.00","10.68K","3.11%"
"12/29/2025","1,125.00","1,134.00","1,148.00","1,067.00","13.59K","3.21%"
"12/26/2025","1,090.00","1,136.00","1,170.00","1,090.00","186.58K","-2.24%"
"12/25/2025","1,115.00","1,126.00","1,148.00","1,115.00","45.50K","-1.15%"
"12/24/2025","1,128.00","1,165.00","1,170.00","1,128.00","30.85K","-3.09%"
"12/23/2025","1,164.00","1,185.00","1,185.00","1,160.00","87.26K","-0.43%"
"12/22/2025","1,169.00","1,180.00","1,190.00","1,169.00","10.47K","-0.93%"
"12/19/2025","1,180.00","1,170.00","1,228.00","1,170.00","16.55K","1.55%"
"12/18/2025","1,162.00","1,185.00","1,185.00","1,161.00","24.09K","-1.94%"
"12/17/2025","1,185.00","1,180.00","1,194.00","1,180.00","21.47K","0.51%"
"12/16/2025","1,179.00","1,200.00","1,219.00","1,175.00","129.34K","-1.75%"
"12/15/2025","1,200.00","1,250.00","1,250.00","1,200.00","19.54K","-2.44%"
"12/12/2025","1,230.00","1,260.00","1,260.00","1,230.00","15.82K","-1.28%"
"12/11/2025","1,246.00","1,255.00","1,255.00","1,240.00","80.45K","-0.95%"
"12/10/2025","1,258.00","1,264.00","1,264.00","1,256.00","50.94K","-0.16%"
"12/09/2025","1,260.00","1,284.00","1,284.00","1,258.00","17.40K","0.00%"
"12/08/2025","1,260.00","1,290.00","1,290.00","1,260.00","2.69K","0.64%"
"12/05/2025","1,252.00","1,288.00","1,296.00","1,252.00","62.57K","-2.80%"
"12/04/2025","1,288.00","1,286.00","1,300.00","1,286.00","7.44K","-0.16%"
"12/03/2025","1,290.00","1,301.00","1,309.00","1,290.00","22.46K","-1.60%"
"12/02/2025","1,311.00","1,315.00","1,325.00","1,300.00","0.97K","-0.30%"
"12/01/2025","1,315.00","1,340.00","1,340.00","1,311.00","11.53K","-2.59%"
"11/28/2025","1,350.00","1,305.00","1,350.00","1,304.00","29.93K","2.66%"
"11/27/2025","1,315.00","1,340.00","1,340.00","1,311.00","8.61K","0.38%"
"11/26/2025","1,310.00","1,299.00","1,325.00","1,291.00","15.39K","2.34%"
"11/25/2025","1,280.00","1,275.00","1,299.00","1,275.00","9.11K","0.39%"
"11/24/2025","1,275.00","1,255.00","1,299.00","1,255.00","4.70K","2.82%"
"11/21/2025","1,240.00","1,254.00","1,254.00","1,240.00","16.03K","-1.12%"
"11/20/2025","1,254.00","1,260.00","1,295.00","1,254.00","9.10K","-0.48%"
"11/19/2025","1,260.00","1,285.00","1,286.00","1,257.00","11.08K","-3.08%"
"11/17/2025","1,300.00","1,350.00","1,350.00","1,300.00","5.86K","-2.26%"
"11/14/2025","1,330.00","1,335.00","1,364.00","1,330.00","1.58K","-0.75%"
"11/13/2025","1,340.00","1,335.00","1,359.00","1,335.00","0.69K","0.75%"
"11/12/2025","1,330.00","1,316.00","1,360.00","1,315.00","9.31K","0.76%"
"11/11/2025","1,320.00","1,360.00","1,360.00","1,320.00","15.04K","-2.94%"
"11/10/2025","1,360.00","1,367.00","1,370.00","1,348.00","9.54K","-2.16%"
"11/07/2025","1,390.00","1,415.00","1,427.00","1,390.00","8.28K","-1.49%"
"11/05/2025","1,411.00","1,449.00","1,453.00","1,411.00","7.05K","-2.62%"
"11/04/2025","1,449.00","1,473.00","1,473.00","1,449.00","9.76K","-0.75%"
"11/03/2025","1,460.00","1,484.00","1,484.00","1,460.00","5.33K","1.39%"
"10/31/2025","1,440.00","1,465.00","1,479.00","1,440.00","25.07K","-1.71%"
"10/30/2025","1,465.00","1,480.00","1,480.00","1,449.00","21.89K","1.17%"
"10/29/2025","1,448.00","1,420.00","1,449.00","1,420.00","40.28K","4.02%"
"10/28/2025","1,392.00","1,399.00","1,430.00","1,392.00","19.80K","0.14%"
"10/27/2025","1,390.00","1,389.00","1,396.00","1,375.00","5.22K","1.46%"
"10/24/2025","1,370.00","1,360.00","1,380.00","1,358.00","11.81K","0.74%"
"10/23/2025","1,360.00","1,370.00","1,370.00","1,350.00","11.02K","-0.44%"
"10/22/2025","1,366.00","1,378.00","1,384.00","1,365.00","26.77K","0.81%"
"10/21/2025","1,355.00","1,318.00","1,359.00","1,311.00","16.66K","4.55%"
"10/20/2025","1,296.00","1,254.00","1,308.00","1,254.00","24.75K","4.94%"
"10/17/2025","1,235.00","1,235.00","1,247.00","1,230.00","20.11K","0.90%"
"10/16/2025","1,224.00","1,220.00","1,272.00","1,220.00","31.07K","0.33%"
"10/15/2025","1,220.00","1,200.00","1,225.00","1,159.00","85.28K","0.00%"
"10/14/2025","1,220.00","1,285.00","1,285.00","1,220.00","53.93K","-5.43%"
"10/13/2025","1,290.00","1,300.00","1,320.00","1,290.00","35.87K","0.39%"
"10/10/2025","1,285.00","1,300.00","1,305.00","1,282.00","23.61K","-1.15%"
"10/09/2025","1,300.00","1,330.00","1,330.00","1,300.00","6.19K","-1.89%"
"10/08/2025","1,325.00","1,350.00","1,350.00","1,322.00","24.12K","-1.27%"
"10/07/2025","1,342.00","1,360.00","1,360.00","1,341.00","23.98K","0.22%"
"10/06/2025","1,339.00","1,380.00","1,380.00","1,315.00","51.90K","-2.48%"
"10/03/2025","1,373.00","1,356.00","1,400.00","1,356.00","63.28K","3.23%"
"10/02/2025","1,330.00","1,220.00","1,330.00","1,212.00","126.09K","0.83%"
"10/01/2025","1,319.00","1,375.00","1,400.00","1,301.00","35.85K","-4.90%"
"09/30/2025","1,387.00","1,395.00","1,406.00","1,320.00","44.25K","-1.35%"
"09/29/2025","1,406.00","1,470.00","1,475.00","1,406.00","42.32K","-5.00%"
"09/26/2025","1,480.00","1,501.00","1,515.00","1,470.00","40.99K","-0.54%"
"09/25/2025","1,488.00","1,491.00","1,529.00","1,488.00","10.19K","-0.33%"
"09/24/2025","1,493.00","1,539.00","1,539.00","1,492.00","11.83K","-1.58%"
"09/23/2025","1,517.00","1,540.00","1,540.00","1,511.00","9.99K","-1.49%"
"09/22/2025","1,540.00","1,540.00","1,540.00","1,528.00","10.01K","0.00%"
