"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","1,065.00","1,051.00","1,138.00","975.00","182.47K","-6.17%"
"02/01/2026","1,135.00","1,160.00","1,175.00","1,080.00","292.40K","-1.56%"
"01/01/2026","1,153.00","1,193.00","1,313.00","1,150.00","270.05K","-2.29%"
"12/01/2025","1,180.00","1,340.00","1,340.00","1,067.00","942.32K","-12.59%"
"11/01/2025","1,350.00","1,484.00","1,484.00","1,240.00","176.38K","-6.25%"
"10/01/2025","1,440.00","1,375.00","1,480.00","1,159.00","784.54K","3.82%"
"09/01/2025","1,387.00","1,589.00","1,590.00","1,320.00","320.73K","-11.71%"
"08/01/2025","1,571.00","1,570.00","1,623.00","1,520.00","167.63K","-0.44%"
"07/01/2025","1,578.00","1,457.00","1,599.00","1,445.00","212.75K","8.75%"
"06/01/2025","1,451.00","1,454.00","1,533.00","1,336.00","251.88K","0.42%"
"05/01/2025","1,445.00","1,470.00","1,515.00","1,430.00","226.49K","-0.28%"
"04/01/2025","1,449.00","1,273.00","1,479.00","1,151.00","1.34M","14.09%"
"03/01/2025","1,270.00","1,185.00","1,305.00","1,135.00","560.96K","7.54%"
"02/01/2025","1,181.00","1,180.00","1,235.00","1,161.00","439.32K","0.00%"
"01/01/2025","1,181.00","1,065.00","1,199.00","1,041.00","480.66K","12.26%"
"12/01/2024","1,052.00","1,085.00","1,085.00","1,019.00","224.22K","-2.59%"
"11/01/2024","1,080.00","1,038.00","1,125.00","1,025.00","281.53K","4.55%"
"10/01/2024","1,033.00","1,075.00","1,080.00","963.00","432.15K","-3.55%"
"09/01/2024","1,071.00","972.00","1,144.00","940.00","352.48K","10.20%"
"08/01/2024","971.90","948.90","978.00","891.00","226.43K","3.17%"
"07/01/2024","942.00","691.00","960.00","691.00","1.10M","36.32%"
"06/01/2024","691.00","677.80","694.00","667.10","138.65K","2.52%"
"05/01/2024","674.00","720.00","730.00","664.90","324.22K","-6.41%"
"04/01/2024","720.20","677.50","760.00","670.00","311.31K","5.91%"
"03/01/2024","680.00","700.00","704.00","660.00","177.91K","-2.58%"
"02/01/2024","698.00","610.00","736.00","602.00","342.47K","14.43%"
"01/01/2024","610.00","500.00","614.80","495.00","297.09K","22.98%"
"12/01/2023","496.00","488.00","508.90","481.00","206.13K","0.71%"
"11/01/2023","492.50","505.00","506.00","480.00","150.36K","-2.48%"
"10/01/2023","505.00","482.00","548.00","463.00","352.45K","5.43%"
"09/01/2023","479.00","414.00","485.00","393.00","357.67K","15.70%"
"08/01/2023","414.00","400.00","417.00","390.00","288.10K","3.50%"
"07/01/2023","400.00","347.55","404.00","347.55","335.59K","15.11%"
"06/01/2023","347.50","318.00","348.00","315.00","206.65K","8.59%"
"05/01/2023","320.00","300.00","324.95","296.50","284.84K","6.44%"
"04/01/2023","300.65","291.00","306.00","287.05","188.52K","4.76%"
"03/01/2023","287.00","296.00","296.00","285.20","59.68K","-2.35%"
"02/01/2023","293.90","293.10","303.05","285.00","72.43K","-0.07%"
"01/01/2023","294.10","275.00","302.45","270.00","243.12K","6.56%"
