"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"11/03/2026","416,00","416,00","416,00","406,00","4,97K","0,00%"
"10/03/2026","416,00","420,00","423,00","415,10","45,24K","6,26%"
"09/03/2026","391,50","385,00","395,00","378,05","69,52K","-6,56%"
"06/03/2026","419,00","444,00","450,00","410,00","46,59K","-3,01%"
"05/03/2026","432,00","410,00","432,00","408,00","31,78K","7,73%"
"04/03/2026","401,00","410,05","429,00","400,00","73,26K","1,22%"
"03/03/2026","396,15","409,00","420,00","396,15","168,30K","-10,00%"
"02/03/2026","440,15","441,15","455,00","440,15","69,52K","-9,99%"
"27/02/2026","489,00","501,00","510,00","489,00","20,41K","-2,20%"
"26/02/2026","500,00","509,00","509,00","500,00","5,14K","-1,77%"
"25/02/2026","509,00","506,00","530,00","500,00","15,29K","0,47%"
"24/02/2026","506,60","511,60","511,60","506,60","5,61K","-1,13%"
"23/02/2026","512,40","515,00","522,00","511,00","8,30K","-1,46%"
"20/02/2026","520,00","525,00","525,00","510,00","17,98K","1,36%"
"19/02/2026","513,00","520,00","533,70","513,00","23,32K","-1,54%"
"18/02/2026","521,00","520,00","533,00","507,00","17,65K","0,97%"
"17/02/2026","516,00","530,00","530,00","510,00","3,91K","-1,71%"
"16/02/2026","525,00","521,00","542,50","518,00","59,22K","1,94%"
"13/02/2026","515,00","515,00","523,60","507,00","110,95K","3,31%"
"12/02/2026","498,50","493,80","499,00","490,00","15,03K","1,32%"
"11/02/2026","492,00","486,00","494,50","484,50","5,96K","1,05%"
"10/02/2026","486,90","490,00","490,00","480,00","9,37K","0,39%"
"09/02/2026","485,00","500,00","500,00","485,00","2,55K","-2,61%"
"06/02/2026","498,00","481,00","498,00","473,00","26,40K","0,83%"
"05/02/2026","493,90","497,00","505,00","485,00","20,20K","-1,22%"
"04/02/2026","500,00","496,10","500,00","495,00","21,97K","0,00%"
"03/02/2026","500,00","505,00","505,00","495,00","15,57K","-0,97%"
"02/02/2026","504,90","500,00","510,00","495,00","15,60K","-0,41%"
"30/01/2026","507,00","510,00","513,80","500,00","14,13K","-0,59%"
"29/01/2026","510,00","520,10","529,00","506,30","9,51K","-1,92%"
"28/01/2026","520,00","515,50","524,90","510,00","16,11K","1,56%"
"27/01/2026","512,00","505,10","517,00","505,00","19,83K","1,37%"
"26/01/2026","505,10","515,50","528,90","491,00","41,49K","-4,64%"
"23/01/2026","529,70","527,00","529,70","517,00","15,51K","0,78%"
"22/01/2026","525,60","525,00","553,00","525,00","8,28K","0,40%"
"21/01/2026","523,50","522,00","534,90","522,00","2,62K","-2,15%"
"20/01/2026","535,00","533,00","538,90","521,20","5,92K","-0,72%"
"19/01/2026","538,90","541,00","542,90","535,00","3,35K","-1,12%"
"16/01/2026","545,00","541,00","550,00","540,90","3,23K","-0,35%"
"15/01/2026","546,90","551,00","553,00","542,20","6,33K","-1,28%"
"13/01/2026","554,00","554,00","558,80","554,00","11,72K","-1,07%"
"12/01/2026","560,00","560,00","560,00","551,10","13,93K","-0,88%"
"09/01/2026","565,00","550,10","567,00","550,10","69,99K","0,00%"
"08/01/2026","565,00","567,90","567,90","546,00","32,70K","-0,88%"
"07/01/2026","570,00","568,90","571,00","560,00","12,17K","1,06%"
"06/01/2026","564,00","560,10","569,00","560,00","20,99K","0,71%"
"05/01/2026","560,00","544,00","565,00","535,00","19,85K","2,94%"
"02/01/2026","544,00","543,70","544,00","533,00","25,39K","2,64%"
"31/12/2025","530,00","545,00","545,00","530,00","128,65K","-1,85%"
"30/12/2025","540,00","540,00","545,00","526,30","34,02K","0,93%"
"29/12/2025","535,00","533,00","545,00","530,00","8,66K","-1,83%"
"26/12/2025","545,00","560,00","565,00","541,30","41,15K","0,72%"
"25/12/2025","541,10","540,00","550,00","532,20","16,96K","0,39%"
"24/12/2025","539,00","546,00","546,00","539,00","7,44K","-0,19%"
"23/12/2025","540,00","550,00","550,00","540,00","11,44K","-1,82%"
"22/12/2025","550,00","560,00","560,00","546,00","5,28K","-1,43%"
"19/12/2025","558,00","559,00","559,00","551,10","28,41K","0,90%"
"18/12/2025","553,00","559,00","562,00","552,20","24,56K","0,73%"
"17/12/2025","549,00","540,00","549,00","536,00","31,71K","3,20%"
"16/12/2025","532,00","555,00","555,00","532,00","17,28K","-3,10%"
"15/12/2025","549,00","560,50","570,00","549,00","23,95K","-1,96%"
"12/12/2025","560,00","560,20","580,00","560,00","34,08K","0,00%"
"11/12/2025","560,00","570,00","570,00","560,00","4,07K","-1,75%"
"10/12/2025","570,00","579,90","579,90","568,00","2,83K","0,00%"
"09/12/2025","570,00","576,80","576,80","560,00","6,23K","1,51%"
"08/12/2025","561,50","570,00","579,00","561,50","2,72K","-1,49%"
"05/12/2025","570,00","561,10","574,90","561,00","247,02K","1,51%"
"04/12/2025","561,50","579,90","579,90","561,00","3,72K","-0,35%"
"03/12/2025","563,50","567,00","570,00","561,00","8,80K","-0,79%"
"02/12/2025","568,00","571,10","573,00","566,40","7,39K","-1,22%"
"01/12/2025","575,00","580,00","585,00","572,20","11,58K","-2,54%"
"28/11/2025","590,00","595,00","595,00","585,60","14,89K","-0,17%"
"27/11/2025","591,00","579,00","592,00","579,00","20,33K","2,96%"
"26/11/2025","574,00","570,00","577,00","570,00","17,24K","0,53%"
"25/11/2025","571,00","581,00","581,00","571,00","5,99K","0,18%"
"24/11/2025","570,00","566,00","579,00","566,00","20,69K","0,00%"
"21/11/2025","570,00","570,00","573,00","566,10","24,87K","0,88%"
"20/11/2025","565,00","565,00","574,00","563,00","27,00K","-0,28%"
"19/11/2025","566,60","574,00","578,00","562,00","20,54K","-3,97%"
"17/11/2025","590,00","600,00","600,00","580,00","13,92K","-0,84%"
"14/11/2025","595,00","594,90","595,00","590,50","9,13K","0,83%"
