"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/03/2026","419,00","441,15","455,00","396,15","389,46K","-14,31%"
"01/02/2026","489,00","500,00","542,50","473,00","420,45K","-3,55%"
"01/01/2026","507,00","543,70","571,00","491,00","353,03K","-4,34%"
"01/12/2025","530,00","580,00","585,00","526,30","707,96K","-10,17%"
"01/11/2025","590,00","629,00","639,00","562,00","412,34K","-4,52%"
"01/10/2025","617,90","505,00","625,00","455,20","866,86K","17,70%"
"01/09/2025","525,00","567,00","570,00","480,00","618,93K","-1,87%"
"01/08/2025","535,00","482,00","568,90","474,00","935,66K","11,46%"
"01/07/2025","480,00","475,50","509,00","465,00","466,54K","1,05%"
"01/06/2025","475,00","499,00","528,50","435,00","966,52K","0,21%"
"01/05/2025","474,00","480,00","520,00","445,05","728,74K","-1,25%"
"01/04/2025","480,00","570,00","570,00","445,00","959,88K","-13,51%"
"01/03/2025","555,00","569,20","580,00","530,00","801,73K","-2,63%"
"01/02/2025","570,00","533,30","629,00","530,00","1,08M","5,17%"
"01/01/2025","542,00","487,00","562,00","487,00","1,64M","12,92%"
"01/12/2024","480,00","405,00","483,00","405,00","955,17K","16,79%"
"01/11/2024","411,00","322,15","413,00","322,15","1,29M","26,46%"
"01/10/2024","325,00","323,00","338,00","280,00","1,13M","0,62%"
"01/09/2024","323,00","293,10","332,90","277,40","1,35M","21,20%"
"01/08/2024","266,50","265,00","273,40","239,00","634,44K","1,33%"
"01/07/2024","263,00","246,25","273,50","231,00","627,75K","6,91%"
"01/06/2024","246,00","255,00","256,00","236,20","363,57K","0,41%"
"01/05/2024","245,00","235,00","265,00","215,00","914,45K","5,11%"
"01/04/2024","233,10","220,00","284,90","213,00","3,23M","15,40%"
"01/03/2024","202,00","170,45","203,50","167,00","913,69K","18,54%"
"01/02/2024","170,40","161,10","174,00","151,10","850,90K","6,33%"
"01/01/2024","160,25","115,75","162,85","115,75","2,28M","38,74%"
"01/12/2023","115,50","107,85","117,90","100,30","1,11M","5,43%"
"01/11/2023","109,55","110,00","114,80","106,50","400,21K","-0,27%"
"01/10/2023","109,85","109,50","123,00","101,00","1,06M","-4,40%"
"01/09/2023","114,90","95,99","119,25","92,10","2,02M","19,69%"
"01/08/2023","96,00","88,00","97,63","83,70","885,53K","9,09%"
"01/07/2023","88,00","81,05","89,50","80,81","1,05M","8,37%"
"01/06/2023","81,20","69,60","82,79","67,25","1,57M","16,33%"
"01/05/2023","69,80","65,50","70,59","61,31","602,93K","8,22%"
"01/04/2023","64,50","61,20","65,00","58,00","324,81K","3,83%"
"01/03/2023","62,12","56,50","63,40","49,50","467,74K","10,93%"
"01/02/2023","56,00","52,00","56,00","50,10","255,65K","7,28%"
"01/01/2023","52,20","53,47","54,00","41,61","522,09K","0,38%"
"01/12/2022","52,00","56,97","57,90","51,87","291,21K","-8,77%"
"01/11/2022","57,00","57,99","58,99","52,50","234,90K","-0,87%"
"01/10/2022","57,50","66,00","67,82","53,12","450,62K","-10,14%"
"01/09/2022","63,99","63,80","68,49","59,00","1,19M","0,30%"
"01/08/2022","63,80","54,50","65,50","54,00","353,83K","17,13%"
"01/07/2022","54,47","59,88","59,88","52,45","523,85K","-7,68%"
"01/06/2022","59,00","69,95","72,00","52,51","870,76K","-14,31%"
"01/05/2022","68,85","74,50","76,98","65,60","574,72K","-8,14%"
"01/04/2022","74,95","64,50","78,50","56,50","3,33M","17,13%"
"01/03/2022","63,99","55,10","65,70","45,03","3,02M","13,68%"
"01/02/2022","56,29","39,79","65,00","39,00","4,62M","41,47%"
"01/01/2022","39,79","37,00","42,50","36,50","998,27K","7,63%"
"01/12/2021","36,97","40,49","40,75","36,50","436,88K","-7,57%"
"01/11/2021","40,00","40,55","41,90","38,02","378,41K","-2,44%"
"01/10/2021","41,00","42,99","43,80","39,27","793,65K","-3,07%"
"01/09/2021","42,30","45,50","48,20","41,20","1,14M","-7,62%"
"01/08/2021","45,79","38,00","46,40","36,90","716,42K","20,50%"
"01/07/2021","38,00","42,32","43,90","38,00","479,46K","-10,23%"
"01/06/2021","42,33","32,24","46,70","31,91","1,78M","32,74%"
"01/05/2021","31,89","31,00","33,50","29,70","945,06K","2,87%"
"01/04/2021","31,00","31,51","33,30","29,25","396,52K","-0,16%"
"01/03/2021","31,05","34,25","36,00","30,55","193,31K","-8,94%"
"01/02/2021","34,10","36,75","38,50","33,70","96,19K","-7,21%"
"01/01/2021","36,75","35,90","40,50","35,90","400,77K","2,23%"
"01/12/2020","35,95","36,10","40,99","34,10","370,44K","-1,48%"
"01/11/2020","36,49","32,00","38,85","31,39","174,20K","13,32%"
"01/10/2020","32,20","32,00","32,80","30,51","37,61K","3,21%"
"01/09/2020","31,20","28,00","35,00","27,98","137,95K","11,43%"
"01/08/2020","28,00","34,12","35,39","28,00","59,09K","-21,13%"
"01/07/2020","35,50","39,70","42,00","34,50","57,31K","-13,96%"
"01/06/2020","41,26","37,84","46,00","37,84","1,13M","13,38%"
"01/05/2020","36,39","29,19","38,37","29,19","200,53K","24,67%"
"01/04/2020","29,19","32,08","32,99","26,20","128,22K","-12,63%"
"01/03/2020","33,41","45,52","46,29","30,28","180,49K","-27,92%"
"01/02/2020","46,35","48,44","52,00","46,00","133,66K","-2,42%"
"01/01/2020","47,50","56,20","57,51","46,50","213,34K","-15,18%"
"01/12/2019","56,00","52,98","69,20","51,00","402,38K","8,53%"
"01/11/2019","51,60","58,99","60,00","50,13","67,71K","-11,57%"
"01/10/2019","58,35","60,80","64,39","58,22","52,53K","-2,73%"
"01/09/2019","59,99","78,90","78,90","57,00","157,21K","-22,09%"
"01/08/2019","77,00","69,00","82,50","66,50","75,64K","14,93%"
"01/07/2019","67,00","68,73","71,99","63,10","131,94K","-2,90%"
"01/06/2019","69,00","77,00","78,99","68,74","24,54K","-12,66%"
"01/05/2019","79,00","83,00","86,00","76,00","35,81K","-4,82%"
"01/04/2019","83,00","87,00","88,38","80,30","139,20K","-2,35%"
"01/03/2019","85,00","76,79","93,99","76,00","130,61K","10,68%"
"01/02/2019","76,80","78,40","79,00","75,00","48,76K","-0,22%"
"01/01/2019","76,97","86,05","88,80","74,00","100,58K","-9,45%"
"01/12/2018","85,00","87,50","88,77","72,10","551,79K","-1,17%"
"01/11/2018","86,01","91,00","96,47","81,00","202,73K","-4,96%"
"01/10/2018","90,50","104,00","109,00","90,05","122,12K","-11,27%"
"01/09/2018","102,00","92,25","104,00","86,02","321,70K","5,10%"
"01/08/2018","97,05","112,90","116,90","91,15","162,39K","-11,73%"
"01/07/2018","109,95","117,90","126,30","91,00","359,03K","-4,39%"
"01/06/2018","115,00","122,00","125,00","102,00","280,42K","-6,50%"
"01/05/2018","123,00","161,95","165,90","112,50","226,91K","-23,13%"
"01/04/2018","160,00","202,00","204,95","144,00","439,35K","-21,18%"
"01/03/2018","203,00","216,90","243,00","202,70","335,69K","-5,93%"
"01/02/2018","215,80","210,00","237,00","207,00","159,96K","2,76%"
"01/01/2018","210,00","214,00","238,00","200,00","266,77K","2,94%"
"01/12/2017","204,00","257,00","263,70","198,00","552,66K","-20,65%"
"01/11/2017","257,10","263,80","273,00","257,10","314,28K","-2,21%"
"01/10/2017","262,90","209,00","284,95","208,90","907,79K","30,15%"
"01/09/2017","202,00","272,10","315,00","198,00","1,05M","-25,76%"
"01/08/2017","272,10","226,00","309,55","217,00","987,08K","20,56%"
"01/07/2017","225,70","171,00","244,00","171,00","1,09M","31,99%"
"01/06/2017","171,00","162,80","174,70","160,10","139,81K","6,88%"
"01/05/2017","160,00","162,80","173,00","159,05","233,77K","-3,15%"
"01/04/2017","165,20","159,65","170,00","150,00","235,00K","7,27%"
"01/03/2017","154,00","175,00","180,00","145,70","579,41K","-12,00%"
"01/02/2017","175,00","120,50","195,00","108,05","1,67M","42,51%"
"01/01/2017","122,80","92,90","137,70","91,20","1,27M","32,90%"
"01/12/2016","92,40","89,50","98,99","89,00","952,60K","1,82%"
"01/11/2016","90,75","87,20","96,19","86,50","338,29K","3,77%"
"01/10/2016","87,45","71,70","95,00","70,01","952,82K","21,95%"
"01/09/2016","71,71","62,90","71,71","60,52","176,47K","14,17%"
"01/08/2016","62,81","65,00","67,50","60,12","95,82K","1,31%"
"01/07/2016","62,00","61,00","65,50","60,00","87,49K","0,00%"
"01/06/2016","62,00","64,99","64,99","58,21","59,26K","-4,60%"
"01/05/2016","64,99","66,05","69,48","56,00","432,49K","-4,41%"
"01/04/2016","67,99","55,00","71,98","46,10","536,63K","25,93%"
"01/03/2016","53,99","70,00","78,60","53,71","589,22K","-22,87%"
"01/02/2016","70,00","40,20","85,54","39,00","1,17M","74,78%"
"01/01/2016","40,05","42,68","48,00","38,61","445,22K","-2,32%"
"01/12/2015","41,00","45,27","45,50","33,15","1,29M","-6,82%"
"01/11/2015","44,00","37,71","51,30","37,10","345,92K","23,63%"
"01/10/2015","35,59","43,35","46,00","25,38","332,19K","-22,73%"
"01/09/2015","46,06","52,51","52,99","45,26","174,85K","-14,61%"
"01/08/2015","53,94","55,00","56,89","49,00","175,30K","-1,93%"
"01/07/2015","55,00","70,00","70,00","45,00","1,17M","-21,99%"
"01/06/2015","70,50","96,74","100,70","70,50","178,59K","-25,71%"
"01/05/2015","94,90","122,00","122,00","86,10","217,21K","-23,59%"
"01/04/2015","124,20","100,00","161,00","84,29","209,32K","12,20%"
"01/03/2015","110,70","143,95","148,50","110,70","110,25K","-21,49%"
"01/02/2015","141,00","224,00","227,00","121,00","244,09K","-35,32%"
"01/01/2015","218,00","273,00","288,75","200,00","206,23K","-21,55%"
"01/12/2014","277,90","352,00","364,45","262,45","2,77M","-22,81%"
"01/11/2014","360,00","366,00","403,00","360,00","76,64K","-1,37%"
"01/10/2014","365,00","389,75","408,45","350,00","109,97K","-3,95%"
"01/09/2014","380,00","428,20","434,75","379,00","80,71K","-11,26%"
"01/08/2014","428,20","426,00","455,00","420,00","1,08M","1,23%"
"01/07/2014","423,00","482,90","484,00","423,00","58,09K","-12,78%"
"01/06/2014","485,00","489,00","489,00","472,05","29,16K","-0,82%"
"01/05/2014","489,00","486,20","490,00","475,05","39,94K","0,62%"
"01/04/2014","486,00","476,20","498,80","475,15","44,86K","-0,78%"
"01/03/2014","489,80","487,90","518,00","472,00","180,38K","1,20%"
"01/02/2014","484,00","484,95","492,00","472,00","96,51K","0,00%"
"01/01/2014","484,00","485,10","495,00","470,00","67,84K","-1,22%"
"01/12/2013","490,00","534,90","535,00","485,10","181,77K","-7,37%"
"01/11/2013","529,00","481,00","534,90","464,00","264,88K","10,44%"
