"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/03/2026","419,00","441,15","455,00","396,15","389,46K","-14,31%"
"22/02/2026","489,00","515,00","530,00","489,00","54,74K","-5,96%"
"15/02/2026","520,00","521,00","542,50","507,00","122,09K","0,97%"
"08/02/2026","515,00","500,00","523,60","480,00","143,87K","3,41%"
"01/02/2026","498,00","500,00","510,00","473,00","99,74K","-1,78%"
"25/01/2026","507,00","515,50","529,00","491,00","101,08K","-4,29%"
"18/01/2026","529,70","541,00","553,00","517,00","35,68K","-2,81%"
"11/01/2026","545,00","560,00","560,00","540,90","35,20K","-3,54%"
"04/01/2026","565,00","544,00","571,00","535,00","155,69K","3,86%"
"28/12/2025","544,00","533,00","545,00","526,30","196,72K","-0,18%"
"21/12/2025","545,00","560,00","565,00","532,20","82,27K","-2,33%"
"14/12/2025","558,00","560,50","570,00","532,00","125,91K","-0,36%"
"07/12/2025","560,00","570,00","580,00","560,00","49,93K","-1,75%"
"30/11/2025","570,00","580,00","585,00","561,00","278,52K","-3,39%"
"23/11/2025","590,00","566,00","595,00","566,00","79,14K","3,51%"
"16/11/2025","570,00","600,00","600,00","562,00","86,33K","-4,20%"
"09/11/2025","595,00","617,00","617,00","590,00","73,52K","-3,74%"
"02/11/2025","618,10","629,00","639,00","600,20","173,36K","0,03%"
"26/10/2025","617,90","565,10","625,00","560,30","472,89K","10,34%"
"19/10/2025","560,00","528,00","560,00","526,50","175,19K","7,90%"
"12/10/2025","519,00","520,00","520,00","486,40","77,20K","0,78%"
"05/10/2025","515,00","529,50","539,00","515,00","70,83K","0,98%"
"28/09/2025","510,00","515,00","525,00","455,20","124,76K","-1,73%"
"21/09/2025","519,00","530,00","539,00","512,20","66,33K","-0,76%"
"14/09/2025","523,00","539,00","539,00","516,00","42,04K","-2,61%"
"07/09/2025","537,00","554,00","555,00","520,00","186,35K","-3,07%"
"31/08/2025","554,00","567,00","570,00","540,00","270,20K","3,55%"
"24/08/2025","535,00","549,00","568,90","535,00","243,36K","-1,83%"
"17/08/2025","545,00","539,00","550,00","526,70","87,28K","0,91%"
"10/08/2025","540,10","565,00","565,00","535,60","108,29K","-1,80%"
"03/08/2025","550,00","475,05","550,00","474,00","462,77K","15,06%"
"27/07/2025","478,00","486,95","493,00","472,00","114,78K","-0,87%"
"20/07/2025","482,20","484,90","490,00","465,00","111,05K","0,46%"
"13/07/2025","480,00","495,00","497,00","480,00","69,39K","-3,81%"
"06/07/2025","499,00","490,00","509,00","485,00","140,51K","1,84%"
"29/06/2025","490,00","486,00","500,00","471,00","86,52K","0,82%"
"22/06/2025","486,00","460,00","493,00","451,15","88,05K","4,97%"
"15/06/2025","463,00","490,00","490,00","435,00","175,97K","-7,40%"
"08/06/2025","500,00","518,00","518,00","476,00","85,21K","-2,57%"
"01/06/2025","513,20","499,00","528,50","490,00","595,55K","8,27%"
"25/05/2025","474,00","470,00","490,00","445,05","298,50K","0,85%"
"18/05/2025","470,00","483,50","489,00","450,10","166,61K","-2,69%"
"11/05/2025","483,00","508,00","518,00","480,00","133,77K","-4,92%"
"04/05/2025","508,00","490,00","520,00","488,00","112,06K","4,10%"
"27/04/2025","488,00","482,00","499,00","475,00","56,73K","1,04%"
"20/04/2025","483,00","506,50","517,00","483,00","118,37K","-4,64%"
"13/04/2025","506,50","475,00","533,90","462,00","159,13K","10,59%"
"06/04/2025","458,00","483,00","510,00","445,00","551,35K","-14,07%"
"30/03/2025","533,00","570,00","570,00","511,00","92,10K","-3,96%"
"23/03/2025","555,00","552,00","570,00","540,20","227,39K","0,91%"
"16/03/2025","550,00","550,00","570,00","532,00","324,49K","0,70%"
"09/03/2025","546,20","565,00","567,00","530,00","164,62K","-2,11%"
"02/03/2025","558,00","569,20","580,00","542,00","85,23K","-2,11%"
"23/02/2025","570,00","584,00","610,00","570,00","272,24K","-1,89%"
"16/02/2025","581,00","570,00","629,00","566,00","375,58K","2,04%"
"09/02/2025","569,40","546,90","580,00","531,00","263,34K","5,44%"
"02/02/2025","540,00","533,30","550,00","530,00","167,84K","-0,37%"
"26/01/2025","542,00","518,00","546,90","512,00","284,52K","4,63%"
"19/01/2025","518,00","528,10","530,00","496,00","285,48K","-1,71%"
"12/01/2025","527,00","530,00","536,00","519,00","230,20K","1,74%"
"05/01/2025","518,00","525,00","562,00","510,20","568,52K","-1,33%"
"29/12/2024","525,00","447,00","539,20","445,10","502,20K","18,24%"
"22/12/2024","444,00","443,90","444,75","435,00","147,99K","0,23%"
"15/12/2024","443,00","442,00","463,00","440,00","172,70K","0,45%"
"08/12/2024","441,00","456,00","456,95","434,50","193,38K","-2,86%"
"01/12/2024","454,00","405,00","455,00","405,00","208,03K","10,46%"
"24/11/2024","411,00","383,10","413,00","373,15","390,32K","8,16%"
"17/11/2024","380,00","370,00","394,90","367,00","320,13K","3,83%"
"10/11/2024","366,00","346,30","366,00","340,50","390,90K","5,78%"
"03/11/2024","346,00","329,25","348,00","324,05","142,02K","6,46%"
"27/10/2024","325,00","324,95","338,00","322,15","262,76K","0,62%"
"20/10/2024","323,00","297,00","333,00","297,00","246,66K","7,67%"
"13/10/2024","300,00","300,00","315,00","280,00","174,26K","0,00%"
"06/10/2024","300,00","299,90","307,00","285,10","240,61K","1,01%"
"29/09/2024","297,00","331,90","332,90","290,00","318,13K","-8,62%"
"22/09/2024","325,00","320,00","326,00","300,00","166,68K","1,56%"
"15/09/2024","320,00","302,55","326,00","302,55","195,24K","5,79%"
"08/09/2024","302,50","293,00","317,00","293,00","422,63K","4,31%"
"01/09/2024","290,00","293,10","299,75","277,40","500,42K","8,82%"
"25/08/2024","266,50","250,00","273,40","248,10","297,16K","6,60%"
"18/08/2024","250,00","249,95","253,50","248,40","76,38K","0,60%"
"11/08/2024","248,50","245,60","252,00","245,10","70,71K","0,04%"
"04/08/2024","248,40","250,00","255,00","239,00","158,33K","-4,37%"
"28/07/2024","259,75","258,90","273,50","255,00","136,72K","0,68%"
"21/07/2024","258,00","254,00","264,00","250,00","223,96K","2,79%"
"14/07/2024","251,00","242,00","255,00","235,00","154,89K","5,02%"
"07/07/2024","239,00","247,00","247,90","235,00","83,96K","-2,45%"
"30/06/2024","245,00","246,25","249,50","231,00","60,08K","-0,41%"
"23/06/2024","246,00","247,10","252,00","241,10","84,44K","-0,81%"
"16/06/2024","248,00","250,05","253,90","247,00","25,50K","-0,80%"
"09/06/2024","250,00","239,60","252,00","236,20","85,79K","4,17%"
"02/06/2024","240,00","255,00","256,00","236,20","167,84K","-2,04%"
"26/05/2024","245,00","240,05","259,85","240,05","168,40K","1,87%"
"19/05/2024","240,50","250,00","252,00","230,00","117,21K","-3,80%"
"12/05/2024","250,00","248,20","265,00","241,10","262,07K","0,40%"
"05/05/2024","249,00","225,50","251,00","215,00","311,56K","8,54%"
"28/04/2024","229,40","239,00","243,55","226,05","122,02K","-3,21%"
"21/04/2024","237,00","243,50","249,00","213,00","781,08K","-1,25%"
"14/04/2024","240,00","265,20","284,90","235,70","1,21M","-11,11%"
"07/04/2024","270,00","242,05","279,50","242,05","505,25K","13,45%"
"31/03/2024","238,00","220,00","249,90","219,00","669,77K","17,82%"
"24/03/2024","202,00","191,20","203,50","187,15","288,97K","5,76%"
"17/03/2024","191,00","185,30","193,50","185,00","265,42K","3,80%"
"10/03/2024","184,00","177,50","185,00","173,00","194,00K","4,55%"
"03/03/2024","176,00","168,80","180,00","167,00","144,72K","3,74%"
"25/02/2024","169,65","166,85","174,00","165,00","247,20K","3,76%"
"18/02/2024","163,50","160,00","164,00","154,00","240,48K","2,19%"
"11/02/2024","160,00","158,00","161,35","152,10","158,13K","1,91%"
"04/02/2024","157,00","154,90","161,45","151,10","105,84K","2,08%"
"28/01/2024","153,80","153,10","162,85","150,50","312,77K","0,52%"
"21/01/2024","153,00","152,00","160,00","150,50","333,62K","0,07%"
"14/01/2024","152,90","139,50","157,90","135,20","406,29K","11,61%"
"07/01/2024","137,00","144,50","148,95","137,00","334,29K","-2,84%"
"31/12/2023","141,00","115,75","145,00","115,75","1,01M","22,08%"
"24/12/2023","115,50","115,45","115,80","111,80","119,63K","0,43%"
"17/12/2023","115,00","114,90","117,90","113,10","197,71K","0,52%"
"10/12/2023","114,40","107,00","115,00","106,80","685,05K","5,24%"
"03/12/2023","108,70","106,50","109,00","105,20","33,89K","3,57%"
"26/11/2023","104,95","108,55","109,90","100,30","93,35K","-4,50%"
"19/11/2023","109,90","110,05","114,80","107,50","116,71K","-0,54%"
"12/11/2023","110,50","108,10","113,00","108,10","151,57K","1,42%"
"05/11/2023","108,95","107,00","109,00","107,00","65,70K","1,49%"
"29/10/2023","107,35","108,20","111,00","106,50","90,97K","-0,60%"
"22/10/2023","108,00","114,50","114,50","105,00","180,66K","-5,51%"
"15/10/2023","114,30","108,00","123,00","101,00","289,66K","6,18%"
"08/10/2023","107,65","109,20","113,00","107,00","121,35K","-2,76%"
"01/10/2023","110,70","109,50","114,00","101,75","419,77K","-3,66%"
"24/09/2023","114,90","114,10","119,25","112,00","378,71K","0,79%"
"17/09/2023","114,00","101,00","118,00","99,80","660,89K","14,00%"
"10/09/2023","100,00","94,20","103,50","92,10","359,35K","2,56%"
"03/09/2023","97,50","95,00","100,00","94,00","426,19K","2,63%"
"27/08/2023","95,00","85,85","97,63","85,60","718,29K","9,89%"
"20/08/2023","86,45","86,79","88,00","85,32","124,37K","1,71%"
"13/08/2023","85,00","86,00","88,00","84,80","42,98K","-1,16%"
"06/08/2023","86,00","86,00","87,50","83,70","59,48K","0,29%"
"30/07/2023","85,75","86,40","89,00","85,00","187,10K","-0,27%"
"23/07/2023","85,98","86,00","86,00","80,81","393,46K","-0,02%"
"16/07/2023","86,00","84,12","87,49","84,00","85,26K","2,08%"
"09/07/2023","84,25","88,99","88,99","82,55","185,68K","-4,91%"
"02/07/2023","88,60","81,05","89,50","81,00","327,91K","9,11%"
"25/06/2023","81,20","81,00","82,79","78,20","148,39K","1,12%"
"18/06/2023","80,30","74,00","82,60","72,80","319,06K","6,43%"
"11/06/2023","75,45","69,49","79,88","69,01","809,45K","10,15%"
"04/06/2023","68,50","71,00","72,88","67,70","210,52K","-2,10%"
"28/05/2023","69,97","66,00","71,90","65,71","346,43K","6,82%"
"21/05/2023","65,50","65,99","65,99","63,20","47,40K","0,75%"
"14/05/2023","65,01","65,40","67,80","64,25","86,24K","0,17%"
"07/05/2023","64,90","63,51","65,40","62,10","96,57K","1,42%"
"30/04/2023","63,99","65,50","65,50","61,31","105,06K","-0,79%"
"23/04/2023","64,50","60,36","65,00","58,00","140,08K","8,40%"
"16/04/2023","59,50","60,94","60,94","59,00","20,51K","0,40%"
"09/04/2023","59,26","60,55","62,00","58,20","62,82K","-3,33%"
"02/04/2023","61,30","61,20","62,50","60,00","101,41K","-1,32%"
"26/03/2023","62,12","54,00","63,40","54,00","201,58K","12,95%"
"19/03/2023","55,00","50,51","55,00","49,50","57,35K","7,84%"
"12/03/2023","51,00","52,80","53,80","51,00","65,05K","-3,77%"
"05/03/2023","53,00","54,60","55,00","52,10","103,27K","0,66%"
"26/02/2023","52,65","52,78","56,50","51,00","102,07K","-0,25%"
"19/02/2023","52,78","54,97","55,85","50,10","75,04K","-3,81%"
"12/02/2023","54,87","54,50","55,90","51,50","53,41K","0,83%"
"05/02/2023","54,42","51,20","54,50","51,20","52,83K","5,67%"
"29/01/2023","51,50","50,00","54,00","50,00","72,68K","0,04%"
"22/01/2023","51,48","48,11","52,00","46,00","62,76K","5,28%"
"15/01/2023","48,90","50,00","52,00","48,10","95,09K","1,41%"
"08/01/2023","48,22","45,00","48,22","41,61","142,40K","7,16%"
"01/01/2023","45,00","53,47","53,47","43,60","161,95K","-13,46%"
"25/12/2022","52,00","53,50","54,93","51,87","32,53K","-3,70%"
"18/12/2022","54,00","52,40","54,50","52,05","24,11K","3,19%"
"11/12/2022","52,33","56,98","56,99","52,33","120,38K","-8,18%"
"04/12/2022","56,99","57,50","57,56","55,30","105,74K","-0,89%"
"27/11/2022","57,50","58,00","58,99","55,80","59,73K","0,88%"
"20/11/2022","57,00","55,58","58,00","54,20","41,30K","3,64%"
"13/11/2022","55,00","54,05","56,00","54,00","40,83K","1,85%"
"06/11/2022","54,00","57,00","57,00","52,50","64,40K","-5,26%"
"30/10/2022","57,00","57,33","58,17","55,10","41,41K","-0,58%"
"23/10/2022","57,33","54,00","60,19","54,00","58,66K","5,19%"
"16/10/2022","54,50","60,00","61,00","53,12","76,33K","-9,20%"
