"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/01/2021","427,05","424,00","427,50","424,00","46,34K","0,72%"
"13/01/2021","424,00","422,00","424,00","420,00","7,50K","0,01%"
"12/01/2021","423,95","424,00","425,00","422,00","71,61K","0,94%"
"08/01/2021","420,00","429,40","429,40","420,00","27,70K","-0,94%"
"07/01/2021","424,00","424,80","426,00","423,00","63,98K","0,95%"
"06/01/2021","420,00","421,00","425,00","418,10","18,49K","-0,94%"
"05/01/2021","424,00","427,80","427,80","424,00","4,43K","-1,40%"
"04/01/2021","430,00","429,95","430,00","423,60","28,47K","1,59%"
"31/12/2020","423,25","422,00","428,85","422,00","18,79K","-1,57%"
"30/12/2020","430,00","429,10","432,00","429,10","107,23K","0,00%"
"29/12/2020","430,00","432,40","432,40","429,10","56,37K","0,23%"
"28/12/2020","429,00","428,00","434,00","428,00","647,02K","0,47%"
"25/12/2020","427,00","427,50","428,00","425,50","86,81K","-0,23%"
"24/12/2020","428,00","434,75","434,75","428,00","59,92K","-0,95%"
"23/12/2020","432,10","431,00","435,95","427,10","32,19K","0,73%"
"22/12/2020","428,95","419,50","430,00","412,00","143,39K","2,24%"
"21/12/2020","419,55","428,00","428,00","419,55","81,20K","-3,99%"
"18/12/2020","437,00","441,00","441,00","437,00","67,77K","-0,67%"
"17/12/2020","439,95","436,00","441,00","436,00","55,85K","0,91%"
"16/12/2020","436,00","426,50","436,00","426,20","97,92K","2,32%"
"15/12/2020","426,10","425,10","427,00","425,05","56,55K","0,25%"
"14/12/2020","425,05","427,90","430,00","425,05","27,83K","-0,48%"
"11/12/2020","427,10","421,00","428,00","420,85","140,96K","2,92%"
"10/12/2020","415,00","418,00","420,00","415,00","18,86K","-0,69%"
"09/12/2020","417,90","417,50","422,00","417,00","143,55K","0,60%"
"08/12/2020","415,40","412,95","417,00","412,95","10,19K","0,83%"
"07/12/2020","412,00","412,75","412,75","412,00","3,40K","0,50%"
"04/12/2020","409,95","410,00","411,00","408,00","23,56K","0,72%"
"03/12/2020","407,00","410,00","410,00","406,00","132,90K","0,35%"
"02/12/2020","405,60","409,50","409,50","405,25","81,54K","-0,10%"
"01/12/2020","406,00","404,00","411,90","404,00","3,75K","-0,98%"
"30/11/2020","410,00","400,50","410,00","400,50","98,05K","1,74%"
"27/11/2020","403,00","410,05","411,80","403,00","13,94K","-1,71%"
"26/11/2020","410,00","417,90","418,00","410,00","9,10K","-1,68%"
"25/11/2020","417,00","411,00","418,90","411,00","109,68K","1,48%"
"24/11/2020","410,90","411,90","411,90","408,25","22,63K","1,06%"
"23/11/2020","406,60","411,00","413,00","406,60","8,03K","-0,02%"
"20/11/2020","406,70","410,65","410,65","405,00","162,44K","2,99%"
"19/11/2020","394,90","390,40","397,90","390,40","44,77K","-0,28%"
"17/11/2020","396,00","395,15","399,00","395,15","48,92K","0,23%"
"16/11/2020","395,10","391,90","397,00","389,00","96,42K","1,31%"
"13/11/2020","390,00","385,55","394,00","385,55","100,64K","1,27%"
"12/11/2020","385,10","385,05","387,95","381,00","20,06K","0,03%"
"11/11/2020","385,00","389,90","389,90","384,00","20,42K","-0,52%"
"10/11/2020","387,00","389,00","392,00","386,10","64,38K","0,52%"
"09/11/2020","385,00","375,15","386,00","375,15","129,20K","2,52%"
"05/11/2020","375,55","376,00","377,00","375,00","9,28K","0,05%"
"04/11/2020","375,35","375,05","376,00","375,05","25,51K","-0,17%"
"03/11/2020","376,00","375,80","376,00","375,10","27,07K","0,05%"
"02/11/2020","375,80","377,00","377,90","374,00","10,89K","-0,58%"
"28/10/2020","378,00","375,20","379,50","374,55","52,21K","-0,07%"
"27/10/2020","378,25","376,60","380,00","376,60","16,10K","0,07%"
"26/10/2020","378,00","378,00","383,00","378,00","4,39K","-0,51%"
"23/10/2020","379,95","379,95","380,00","377,00","33,65K","0,77%"
"22/10/2020","377,05","373,00","380,00","373,00","21,92K","0,55%"
"21/10/2020","375,00","372,00","375,50","371,10","2,98K","1,08%"
"20/10/2020","371,00","370,65","371,00","370,05","2,54K","0,09%"
"19/10/2020","370,65","374,00","374,00","370,65","16,51K","-0,90%"
"16/10/2020","374,00","380,90","380,90","374,00","29,58K","-1,32%"
"15/10/2020","379,00","385,00","385,00","376,50","44,27K","-1,46%"
"14/10/2020","384,60","372,50","385,95","372,50","86,65K","3,36%"
"13/10/2020","372,10","370,00","372,10","369,00","18,17K","1,25%"
"12/10/2020","367,50","371,00","371,00","367,50","1,01K","0,16%"
"09/10/2020","366,90","367,10","367,20","366,00","680,70K","-0,84%"
"08/10/2020","370,00","371,00","371,50","367,00","3,53K","-0,40%"
"07/10/2020","371,50","370,00","372,00","370,00","59,50K","0,68%"
"06/10/2020","369,00","362,00","369,00","362,00","57,68K","2,16%"
"05/10/2020","361,20","358,00","363,00","358,00","66,88K","1,32%"
"02/10/2020","356,50","357,75","357,75","355,05","5,41K","-0,14%"
"01/10/2020","357,00","357,00","357,00","357,00","25,04K","-0,20%"
"30/09/2020","357,70","353,60","358,00","352,00","0,61K","1,19%"
"29/09/2020","353,50","355,00","358,00","353,50","5,41K","-0,42%"
"28/09/2020","355,00","352,00","355,00","351,50","0,52K","0,85%"
"25/09/2020","352,00","350,00","355,00","350,00","18,00K","0,57%"
"24/09/2020","350,00","351,00","356,00","350,00","94,70K","-2,74%"
"23/09/2020","359,85","362,00","362,00","359,85","31,75K","-0,04%"
"22/09/2020","360,00","363,00","363,00","356,60","27,20K","0,00%"
"21/09/2020","360,00","363,00","363,00","360,00","21,31K","0,53%"
"18/09/2020","358,10","357,00","360,00","357,00","13,15K","0,84%"
"17/09/2020","355,10","358,00","359,00","354,00","9,35K","-0,48%"
"16/09/2020","356,80","360,00","363,00","355,90","10,05K","-0,86%"
"15/09/2020","359,90","370,00","370,00","359,90","26,48K","-1,67%"
"14/09/2020","366,00","369,00","369,00","365,00","42,18K","-1,07%"
"11/09/2020","369,95","372,00","372,00","367,05","49,06K","0,53%"
"10/09/2020","368,00","364,00","369,00","364,00","29,49K","1,10%"
"09/09/2020","364,00","363,50","367,90","363,00","1,15K","0,23%"
"08/09/2020","363,15","361,10","365,05","361,10","1,16K","-1,59%"
"07/09/2020","369,00","365,00","369,00","362,00","1,83K","1,14%"
"04/09/2020","364,85","369,50","369,50","364,85","22,26K","-1,12%"
"03/09/2020","369,00","369,00","370,00","366,00","0,94K","0,24%"
"02/09/2020","368,10","371,00","377,00","367,20","9,57K","-0,75%"
"01/09/2020","370,90","358,05","370,90","358,05","23,57K","4,00%"
"31/08/2020","356,65","355,00","359,95","352,00","47,21K","0,41%"
"28/08/2020","355,20","361,00","361,00","353,00","65,14K","-1,36%"
"27/08/2020","360,10","370,05","371,00","360,10","34,99K","-3,22%"
"26/08/2020","372,10","375,00","377,00","371,00","5,80K","-0,77%"
"25/08/2020","375,00","378,60","380,00","374,95","22,06K","-0,95%"
"24/08/2020","378,60","384,95","384,95","375,00","28,08K","-1,28%"
"19/08/2020","383,50","382,55","383,55","382,55","3,62K","-0,26%"
"18/08/2020","384,50","387,75","387,75","382,05","2,97K","-0,13%"
"17/08/2020","385,00","387,90","387,90","383,10","23,69K","-0,54%"
"13/08/2020","387,10","389,00","389,00","386,00","30,83K","-0,49%"
"12/08/2020","389,00","381,15","389,00","381,15","41,77K","2,06%"
"11/08/2020","381,15","384,95","384,95","381,05","56,51K","0,04%"
"10/08/2020","381,00","377,00","384,90","377,00","18,38K","1,33%"
"07/08/2020","376,00","375,00","376,95","371,00","22,18K","0,31%"
"06/08/2020","374,85","374,50","375,00","374,00","8,85K","0,98%"
"05/08/2020","371,20","369,00","374,00","369,00","15,36K","0,32%"
"04/08/2020","370,00","368,90","370,00","366,00","18,62K","1,34%"
"03/08/2020","365,10","369,00","369,00","365,10","21,83K","-1,06%"
"29/07/2020","369,00","365,15","369,00","365,10","48,62K","-0,24%"
"28/07/2020","369,90","362,00","369,90","362,00","8,85K","2,18%"
"27/07/2020","362,00","358,00","362,00","355,50","72,44K","1,12%"
"24/07/2020","358,00","355,05","358,00","355,05","41,89K","0,70%"
"23/07/2020","355,50","355,00","358,00","354,05","11,16K","0,14%"
"22/07/2020","355,00","356,10","356,10","350,00","7,67K","-0,84%"
"21/07/2020","358,00","357,00","359,80","356,15","7,61K","0,00%"
"20/07/2020","358,00","355,00","358,00","355,00","3,11K","0,85%"
"17/07/2020","355,00","357,00","357,00","355,00","3,01K","-0,56%"
"16/07/2020","357,00","355,95","358,95","353,00","23,04K","0,54%"
"15/07/2020","355,10","351,10","356,95","351,10","11,81K","0,59%"
