"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/03/2026","701,10","715,00","724,90","671,00","881,86K","-3,43%"
"22/02/2026","726,00","751,00","755,00","726,00","195,46K","-4,47%"
"15/02/2026","760,00","740,30","760,00","740,30","394,80K","1,33%"
"08/02/2026","750,00","725,00","755,00","720,00","215,90K","2,60%"
"01/02/2026","731,00","729,50","735,00","715,10","430,76K","-0,54%"
"25/01/2026","735,00","724,00","745,00","718,00","260,46K","1,32%"
"18/01/2026","725,40","735,10","745,00","720,00","195,17K","-3,15%"
"11/01/2026","749,00","750,00","760,00","736,00","214,52K","-2,03%"
"04/01/2026","764,50","730,50","772,00","730,50","539,21K","2,63%"
"28/12/2025","744,90","752,00","752,00","670,00","844,17K","3,46%"
"21/12/2025","720,00","763,90","764,10","720,00","408,96K","-5,76%"
"14/12/2025","764,00","724,00","764,00","724,00","279,04K","6,11%"
"07/12/2025","720,00","730,00","730,00","715,00","84,96K","-0,69%"
"30/11/2025","725,00","720,10","735,00","715,50","153,61K","-0,89%"
"23/11/2025","731,50","715,00","735,00","702,50","168,63K","2,59%"
"16/11/2025","713,00","749,90","749,90","710,00","263,95K","-3,13%"
"09/11/2025","736,00","760,00","765,00","731,00","156,85K","-3,92%"
"02/11/2025","766,00","790,00","804,00","760,00","165,31K","-1,42%"
"26/10/2025","777,00","775,00","784,80","768,00","213,69K","-0,37%"
"19/10/2025","779,90","742,00","785,00","730,00","323,37K","7,13%"
"12/10/2025","728,00","728,10","749,00","710,00","280,72K","-0,27%"
"05/10/2025","730,00","764,90","764,90","725,00","236,37K","-1,35%"
"28/09/2025","740,00","762,50","765,00","690,00","674,90K","-2,93%"
"21/09/2025","762,30","785,00","790,00","760,10","454,89K","-2,02%"
"14/09/2025","778,00","774,90","779,90","769,90","358,21K","0,78%"
"07/09/2025","772,00","780,00","784,00","758,00","305,58K","-1,03%"
"31/08/2025","780,00","780,00","785,00","775,00","68,23K","-0,13%"
"24/08/2025","781,00","789,00","789,80","765,00","332,41K","-1,13%"
"17/08/2025","789,90","755,00","789,90","755,00","90,02K","3,93%"
"10/08/2025","760,00","777,90","777,90","754,00","94,72K","-1,03%"
"03/08/2025","767,90","750,00","790,00","743,00","329,87K","2,39%"
"27/07/2025","750,00","730,00","765,00","722,00","235,36K","2,04%"
"20/07/2025","735,00","724,90","740,00","705,00","239,94K","1,38%"
"13/07/2025","725,00","697,80","725,00","688,00","178,12K","3,44%"
"06/07/2025","700,90","683,10","701,00","683,10","320,44K","1,14%"
"29/06/2025","693,00","680,00","693,00","675,00","145,51K","0,00%"
"22/06/2025","693,00","660,00","693,00","659,90","481,11K","4,21%"
"15/06/2025","665,00","677,00","680,00","656,10","299,94K","-3,06%"
"08/06/2025","686,00","673,00","693,00","671,00","192,05K","2,14%"
"01/06/2025","671,60","670,00","695,00","662,10","224,88K","1,14%"
"25/05/2025","664,00","695,00","698,00","662,00","325,45K","-4,45%"
"18/05/2025","694,90","667,20","701,00","667,10","186,12K","4,17%"
"11/05/2025","667,10","665,10","677,00","665,10","456,58K","0,17%"
"04/05/2025","666,00","660,30","671,00","660,30","171,68K","0,45%"
"27/04/2025","663,00","661,00","666,00","659,00","165,88K","0,00%"
"20/04/2025","663,00","665,00","673,00","660,00","181,23K","-1,04%"
"13/04/2025","670,00","636,10","670,00","636,10","255,23K","6,33%"
"06/04/2025","630,10","650,00","675,00","625,20","758,20K","-6,65%"
"30/03/2025","675,00","697,00","697,00","675,00","348,93K","-3,54%"
"23/03/2025","699,80","687,00","706,00","680,00","582,52K","1,86%"
"16/03/2025","687,00","649,40","687,00","643,10","1,09M","5,86%"
"09/03/2025","649,00","635,00","650,00","630,90","367,30K","2,20%"
"02/03/2025","635,00","641,10","658,00","631,20","262,23K","-0,80%"
"23/02/2025","640,10","665,20","676,00","640,10","143,13K","-3,89%"
"16/02/2025","666,00","641,00","671,00","641,00","407,45K","3,26%"
"09/02/2025","645,00","627,00","645,00","623,10","320,75K","2,63%"
"02/02/2025","628,50","630,00","630,10","621,50","200,48K","-0,40%"
"26/01/2025","631,00","612,10","650,00","612,10","307,15K","2,60%"
"19/01/2025","615,00","620,10","625,00","610,00","425,47K","-0,97%"
"12/01/2025","621,00","620,00","630,00","607,00","211,46K","0,16%"
"05/01/2025","620,00","602,00","634,00","602,00","686,50K","1,82%"
"29/12/2024","608,90","560,00","610,10","560,00","608,40K","7,58%"
"22/12/2024","566,00","565,60","575,00","565,00","867,96K","-1,39%"
"15/12/2024","574,00","568,00","585,00","567,00","298,35K","0,38%"
"08/12/2024","571,80","572,50","584,00","565,00","109,22K","-0,56%"
"01/12/2024","575,00","576,00","600,00","562,30","115,34K","0,17%"
"24/11/2024","574,00","572,00","580,00","560,60","174,23K","-0,17%"
"17/11/2024","575,00","579,00","590,00","571,00","160,65K","-0,52%"
"10/11/2024","578,00","570,00","578,00","565,00","196,85K","1,39%"
"03/11/2024","570,10","548,00","570,10","541,00","251,34K","3,67%"
"27/10/2024","549,90","545,00","549,90","538,00","203,59K","0,90%"
"20/10/2024","545,00","534,00","545,00","534,00","165,74K","1,30%"
"13/10/2024","538,00","538,00","543,00","530,10","107,08K","0,00%"
"06/10/2024","538,00","538,00","540,00","524,00","218,84K","0,00%"
"29/09/2024","538,00","548,00","555,00","533,20","212,17K","-3,06%"
"22/09/2024","555,00","546,10","564,90","545,20","600,79K","0,96%"
"15/09/2024","549,70","539,00","554,90","535,10","199,57K","1,89%"
"08/09/2024","539,50","538,00","539,90","531,00","187,23K","0,24%"
"01/09/2024","538,20","544,90","544,90","534,20","159,84K","-1,21%"
"25/08/2024","544,80","543,00","546,90","535,00","599,12K","0,15%"
"18/08/2024","544,00","548,00","548,00","542,00","68,22K","0,48%"
"11/08/2024","541,40","538,00","546,00","538,00","85,09K","0,07%"
"04/08/2024","541,00","547,60","553,00","532,00","212,46K","-2,36%"
"28/07/2024","554,10","545,00","575,00","540,00","193,98K","2,61%"
"21/07/2024","540,00","523,00","543,00","505,00","231,71K","2,31%"
"14/07/2024","527,80","511,00","530,00","510,20","289,18K","1,56%"
"07/07/2024","519,70","521,00","532,00","506,00","134,98K","-1,03%"
"30/06/2024","525,10","511,50","525,10","511,10","167,49K","1,86%"
"23/06/2024","515,50","508,50","526,00","508,30","150,48K","1,08%"
"16/06/2024","510,00","510,00","512,00","508,30","102,69K","0,20%"
"09/06/2024","509,00","515,00","515,00","508,00","173,73K","-0,41%"
"02/06/2024","511,10","511,00","518,00","508,10","230,63K","-0,76%"
"26/05/2024","515,00","508,00","522,00","506,10","393,27K","1,36%"
"19/05/2024","508,10","506,10","519,00","506,10","226,38K","-0,08%"
"12/05/2024","508,50","515,00","515,00","508,20","167,58K","-0,88%"
"05/05/2024","513,00","503,00","519,90","502,00","184,12K","0,81%"
"28/04/2024","508,90","507,00","508,90","498,60","159,86K","0,77%"
"21/04/2024","505,00","505,00","507,00","497,00","224,31K","0,00%"
"14/04/2024","505,00","509,00","509,40","504,00","237,49K","-0,79%"
"07/04/2024","509,00","505,00","512,00","505,00","68,94K","0,79%"
"31/03/2024","505,00","505,00","509,90","501,20","96,39K","-0,57%"
"24/03/2024","507,90","504,00","508,00","500,20","101,99K","0,63%"
"17/03/2024","504,70","506,60","514,00","495,10","157,02K","-1,81%"
"10/03/2024","514,00","495,10","514,00","490,00","129,80K","3,84%"
"03/03/2024","495,00","502,30","503,00","492,00","108,09K","-1,88%"
"25/02/2024","504,50","513,30","520,00","502,50","676,99K","-2,02%"
"18/02/2024","514,90","505,00","514,90","505,00","216,03K","1,96%"
"11/02/2024","505,00","504,50","506,00","500,20","246,14K","0,10%"
"04/02/2024","504,50","483,65","504,50","483,65","545,78K","4,02%"
"28/01/2024","485,00","481,00","485,50","478,30","206,49K","0,21%"
"21/01/2024","484,00","486,15","486,95","480,15","149,98K","-0,52%"
"14/01/2024","486,55","476,05","489,00","476,05","290,73K","1,36%"
"07/01/2024","480,00","466,60","480,00","466,60","311,67K","2,13%"
"31/12/2023","470,00","460,20","471,00","460,00","103,68K","2,17%"
"24/12/2023","460,00","466,00","469,50","460,00","282,51K","-1,71%"
"17/12/2023","468,00","469,00","470,05","463,05","368,09K","0,21%"
"10/12/2023","467,00","458,20","469,85","458,20","188,22K","1,01%"
"03/12/2023","462,35","462,00","462,35","450,00","280,40K","0,95%"
"26/11/2023","458,00","459,00","465,00","456,00","490,93K","-1,99%"
"19/11/2023","467,30","468,00","472,00","463,10","1,57M","0,06%"
