"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"06/03/2026","30,00","31,20","31,60","29,10","839,89K","-1,80%"
"05/03/2026","30,55","29,50","30,55","29,30","765,04K","7,19%"
"04/03/2026","28,50","26,30","28,58","26,30","454,21K","9,62%"
"03/03/2026","26,00","27,00","27,50","25,01","594,42K","-5,45%"
"02/03/2026","27,50","26,24","27,90","26,21","499,93K","-3,47%"
"27/02/2026","28,49","28,50","29,28","28,42","625,64K","-1,72%"
"26/02/2026","28,99","29,35","29,49","28,86","175,55K","-1,73%"
"25/02/2026","29,50","30,45","30,45","29,22","140,26K","-2,35%"
"24/02/2026","30,21","30,60","30,60","30,15","162,34K","-0,95%"
"23/02/2026","30,50","31,09","31,17","30,50","85,50K","0,00%"
"20/02/2026","30,50","30,40","30,50","30,10","181,26K","0,33%"
"19/02/2026","30,40","31,50","31,50","30,30","127,49K","-1,94%"
"18/02/2026","31,00","30,30","31,19","29,51","346,47K","3,37%"
"17/02/2026","29,99","29,58","30,60","29,50","282,85K","-0,03%"
"16/02/2026","30,00","30,01","30,80","29,80","1,78M","6,38%"
"13/02/2026","28,20","30,00","30,00","28,20","1,21M","-7,24%"
"12/02/2026","30,40","30,46","30,60","30,20","95,88K","0,46%"
"11/02/2026","30,26","30,29","30,29","30,02","15,98K","0,87%"
"10/02/2026","30,00","30,60","30,66","30,00","48,04K","-0,50%"
"09/02/2026","30,15","30,33","30,80","30,06","76,78K","0,84%"
