"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/03/2026","30,00","26,24","31,60","25,01","3,15M","5,30%"
"22/02/2026","28,49","31,09","31,17","28,42","1,19M","-6,59%"
"15/02/2026","30,50","30,01","31,50","29,50","2,72M","8,16%"
"08/02/2026","28,20","30,33","30,80","28,20","1,44M","-5,69%"
"01/02/2026","29,90","32,45","32,45","28,40","1,97M","-4,01%"
"25/01/2026","31,15","32,05","33,99","30,52","1,11M","-2,66%"
"18/01/2026","32,00","34,32","34,70","32,00","1,56M","-7,11%"
"11/01/2026","34,45","35,04","35,75","34,11","1,08M","-2,05%"
"04/01/2026","35,17","35,97","36,48","34,73","1,09M","-2,01%"
"28/12/2025","35,89","35,01","36,20","34,00","1,30M","-0,31%"
"21/12/2025","36,00","35,10","36,00","34,00","1,12M","2,86%"
"14/12/2025","35,00","35,40","35,90","34,50","827,00K","-1,13%"
"07/12/2025","35,40","36,40","37,40","34,80","671,19K","-3,15%"
"30/11/2025","36,55","36,90","36,90","35,53","667,05K","-2,79%"
"23/11/2025","37,60","37,20","37,95","36,30","1,02M","3,84%"
"16/11/2025","36,21","38,48","38,48","36,01","872,25K","-4,23%"
"09/11/2025","37,81","39,80","40,25","37,16","468,20K","-4,78%"
"02/11/2025","39,71","42,10","42,78","39,05","711,88K","-2,93%"
"26/10/2025","40,91","40,60","42,20","39,39","2,01M","0,02%"
"19/10/2025","40,90","37,00","40,94","37,00","2,20M","11,17%"
"12/10/2025","36,79","36,99","37,00","34,03","976,00K","1,77%"
"05/10/2025","36,15","39,00","39,25","36,15","700,49K","-5,81%"
"28/09/2025","38,38","38,87","39,50","34,50","1,40M","-4,05%"
"21/09/2025","40,00","39,85","40,98","38,64","611,80K","2,04%"
"14/09/2025","39,20","41,48","41,50","39,20","485,83K","-3,92%"
"07/09/2025","40,80","41,60","41,88","40,00","1,22M","-2,16%"
"31/08/2025","41,70","41,97","44,30","40,00","7,06M","8,31%"
"24/08/2025","38,50","39,20","40,95","38,50","1,06M","-1,41%"
"17/08/2025","39,05","39,70","40,00","38,15","906,00K","-3,34%"
"10/08/2025","40,40","42,00","42,47","39,92","1,12M","-3,23%"
"03/08/2025","41,75","37,00","41,75","36,01","3,67M","13,76%"
"27/07/2025","36,70","38,00","38,30","36,50","1,62M","-3,09%"
"20/07/2025","37,87","36,50","37,90","35,50","1,50M","2,63%"
"13/07/2025","36,90","35,55","37,00","35,50","1,23M","3,02%"
"06/07/2025","35,82","36,01","36,33","35,50","699,55K","-0,53%"
"29/06/2025","36,01","36,02","36,99","35,01","604,44K","-2,33%"
"22/06/2025","36,87","35,60","37,05","34,01","1,43M","5,34%"
"15/06/2025","35,00","36,45","36,50","32,50","2,81M","-5,48%"
"08/06/2025","37,03","38,60","39,34","35,35","1,91M","-3,82%"
"01/06/2025","38,50","36,90","38,66","36,12","2,38M","6,94%"
"25/05/2025","36,00","35,62","37,44","34,00","2,09M","1,07%"
"18/05/2025","35,62","36,79","38,40","35,00","1,68M","-3,73%"
"11/05/2025","37,00","39,80","40,49","37,00","2,12M","-6,28%"
"04/05/2025","39,48","39,00","40,50","38,56","1,40M","2,60%"
"27/04/2025","38,48","38,95","39,00","37,92","777,10K","1,00%"
"20/04/2025","38,10","41,00","41,00","37,85","1,93M","-4,80%"
"13/04/2025","40,02","39,00","42,60","39,00","2,43M","5,85%"
"06/04/2025","37,81","40,10","41,40","37,61","4,09M","-12,07%"
"30/03/2025","43,00","45,57","45,80","41,50","1,46M","-5,66%"
"23/03/2025","45,58","45,05","47,55","45,05","3,65M","-0,81%"
"16/03/2025","45,95","41,00","47,25","40,75","4,04M","12,07%"
"09/03/2025","41,00","41,80","41,90","39,50","1,32M","0,00%"
"02/03/2025","41,00","42,00","43,09","40,01","647,18K","-1,84%"
"23/02/2025","41,77","44,00","45,49","41,10","1,74M","-5,07%"
"16/02/2025","44,00","44,60","45,80","43,80","1,52M","0,00%"
"09/02/2025","44,00","44,11","44,80","42,80","1,81M","-1,01%"
"02/02/2025","44,45","45,00","45,70","43,81","710,05K","-0,78%"
"26/01/2025","44,80","46,05","46,80","44,75","1,31M","-2,82%"
"19/01/2025","46,10","47,25","47,25","42,80","2,40M","-0,99%"
"12/01/2025","46,56","46,00","47,60","45,00","1,47M","2,31%"
"05/01/2025","45,51","44,61","48,00","43,00","6,14M","2,71%"
"29/12/2024","44,31","38,45","45,00","38,02","7,30M","15,09%"
"22/12/2024","38,50","36,92","38,50","35,40","6,31M","4,90%"
"15/12/2024","36,70","37,91","39,30","36,66","1,66M","-3,17%"
"08/12/2024","37,90","39,59","39,80","37,70","1,31M","-2,82%"
"01/12/2024","39,00","38,10","40,00","36,60","4,18M","-3,96%"
"24/11/2024","40,61","37,50","40,89","36,65","5,37M","8,01%"
"17/11/2024","37,60","36,51","39,15","36,51","4,67M","3,87%"
"10/11/2024","36,20","37,00","37,15","35,00","1,24M","-2,16%"
"03/11/2024","37,00","35,08","37,10","34,20","1,42M","7,25%"
"27/10/2024","34,50","35,15","36,19","33,50","2,03M","-1,43%"
"20/10/2024","35,00","33,50","35,45","33,00","1,36M","4,48%"
"13/10/2024","33,50","33,99","35,70","31,27","3,30M","0,60%"
"06/10/2024","33,30","36,83","36,95","33,30","1,85M","-8,26%"
"29/09/2024","36,30","40,45","40,45","36,10","3,17M","-7,63%"
"22/09/2024","39,30","37,70","39,39","36,61","2,60M","4,24%"
"15/09/2024","37,70","36,50","38,53","36,21","2,11M","3,29%"
"08/09/2024","36,50","35,40","38,50","35,25","2,86M","3,99%"
"01/09/2024","35,10","34,09","36,23","32,62","6,07M","13,23%"
"25/08/2024","31,00","30,30","31,15","29,90","1,50M","1,81%"
"18/08/2024","30,45","30,35","30,98","30,12","535,12K","0,53%"
"11/08/2024","30,29","29,89","30,84","29,75","574,94K","1,30%"
"04/08/2024","29,90","30,10","31,00","28,51","2,51M","-4,17%"
"28/07/2024","31,20","30,52","33,38","30,51","2,23M","2,43%"
"21/07/2024","30,46","29,00","30,99","28,99","1,93M","5,07%"
"14/07/2024","28,99","29,22","29,99","28,60","1,05M","0,90%"
"07/07/2024","28,73","29,80","29,80","28,52","271,68K","-3,27%"
"30/06/2024","29,70","29,70","30,00","27,40","908,50K","-1,92%"
"23/06/2024","30,28","29,60","31,00","28,40","1,39M","2,26%"
"16/06/2024","29,61","29,74","30,20","29,60","222,19K","-0,44%"
"09/06/2024","29,74","30,00","30,00","29,02","537,46K","0,13%"
"02/06/2024","29,70","31,05","32,50","28,95","3,38M","-1,00%"
"26/05/2024","30,00","29,60","31,40","29,15","2,22M","1,73%"
"19/05/2024","29,49","31,89","31,99","28,80","1,11M","-6,38%"
"12/05/2024","31,50","31,36","33,35","30,50","6,59M","1,29%"
"05/05/2024","31,10","29,61","31,49","28,01","4,53M","1,97%"
"28/04/2024","30,50","33,44","34,00","30,50","2,54M","-7,58%"
"21/04/2024","33,00","35,50","35,50","28,77","10,00M","-7,04%"
"14/04/2024","35,50","32,00","37,95","30,10","17,15M","14,29%"
"07/04/2024","31,06","27,25","31,06","27,00","7,65M","20,95%"
"31/03/2024","25,68","22,20","26,00","22,00","9,69M","24,66%"
"24/03/2024","20,60","22,00","22,40","20,58","5,11M","-4,19%"
"17/03/2024","21,50","20,20","22,64","20,20","8,66M","7,50%"
"10/03/2024","20,00","19,18","20,09","18,87","5,85M","5,88%"
"03/03/2024","18,89","18,50","19,79","18,50","4,59M","2,66%"
"25/02/2024","18,40","17,48","18,49","17,16","5,70M","7,29%"
"18/02/2024","17,15","16,79","17,30","16,20","3,60M","2,39%"
"11/02/2024","16,75","16,15","16,95","15,85","1,86M","2,76%"
"04/02/2024","16,30","16,00","16,64","15,75","980,85K","2,26%"
"28/01/2024","15,94","16,27","16,50","15,84","1,76M","-2,21%"
"21/01/2024","16,30","16,79","16,87","16,10","1,89M","-3,49%"
"14/01/2024","16,89","15,99","17,15","15,50","2,77M","5,56%"
"07/01/2024","16,00","16,19","16,75","15,78","3,90M","1,59%"
"31/12/2023","15,75","14,69","15,85","14,36","2,34M","9,91%"
"24/12/2023","14,33","14,74","14,74","14,05","1,39M","-1,85%"
"17/12/2023","14,60","15,00","15,18","14,52","613,13K","-2,34%"
"10/12/2023","14,95","14,75","15,24","14,55","1,74M","0,54%"
"03/12/2023","14,87","14,86","15,20","14,40","1,63M","0,07%"
"26/11/2023","14,86","16,11","16,50","14,86","4,09M","-7,18%"
"19/11/2023","16,01","16,30","16,80","15,90","1,78M","-1,23%"
"12/11/2023","16,21","15,41","16,38","15,41","2,17M","5,33%"
"05/11/2023","15,39","15,00","15,47","14,95","609,90K","2,60%"
"29/10/2023","15,00","14,89","15,59","14,81","1,58M","1,35%"
"22/10/2023","14,80","15,60","15,84","14,38","1,91M","-7,38%"
"15/10/2023","15,98","14,51","16,57","13,70","7,50M","10,21%"
"08/10/2023","14,50","14,20","15,29","14,00","1,67M","0,00%"
"01/10/2023","14,50","15,36","15,99","13,95","9,05M","-11,21%"
"24/09/2023","16,33","16,89","17,70","16,01","5,87M","0,18%"
"17/09/2023","16,30","14,26","17,59","14,26","15,46M","15,19%"
"10/09/2023","14,15","12,31","14,28","12,00","7,86M","11,42%"
"03/09/2023","12,70","12,39","13,60","12,37","5,99M","4,61%"
"27/08/2023","12,14","10,20","12,14","10,20","6,30M","19,84%"
"20/08/2023","10,13","10,30","10,30","10,10","209,98K","0,00%"
"13/08/2023","10,13","10,51","10,58","10,10","557,94K","-3,06%"
"06/08/2023","10,45","10,21","10,61","10,02","1,48M","2,15%"
"30/07/2023","10,23","10,10","10,48","9,91","511,52K","2,30%"
