"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"23/01/2025","90,90","89,51","90,90","89,26","355,87K","1,91%"
"22/01/2025","89,20","89,20","89,35","88,50","287,91K","-0,34%"
"21/01/2025","89,50","90,98","90,99","88,92","434,87K","-1,65%"
"20/01/2025","91,00","92,52","92,52","91,00","215,29K","-1,61%"
"17/01/2025","92,49","92,98","93,00","92,49","326,96K","-0,14%"
"16/01/2025","92,62","92,15","93,35","92,15","271,01K","0,67%"
"15/01/2025","92,00","89,66","92,00","89,35","184,27K","2,97%"
"13/01/2025","89,35","90,19","90,19","89,10","94,17K","-0,22%"
"10/01/2025","89,55","87,51","91,70","87,51","1,09M","2,69%"
"09/01/2025","87,20","86,50","87,93","86,50","107,76K","0,23%"
"08/01/2025","87,00","87,87","87,87","86,63","266,92K","-1,02%"
"07/01/2025","87,90","87,98","88,50","87,71","309,48K","-0,79%"
"06/01/2025","88,60","86,85","88,89","86,50","282,94K","2,43%"
"03/01/2025","86,50","83,19","86,80","83,19","258,41K","4,34%"
"02/01/2025","82,90","83,50","83,50","82,12","196,31K","1,09%"
"31/12/2024","82,01","83,50","83,58","82,01","817,17K","-1,19%"
"30/12/2024","83,00","83,95","83,95","83,00","212,73K","-0,72%"
"27/12/2024","83,60","84,00","84,35","83,60","731,16K","-0,24%"
"26/12/2024","83,80","84,71","85,00","83,50","383,71K","-1,06%"
"25/12/2024","84,70","85,00","85,00","84,70","520,39K","-0,35%"
"24/12/2024","85,00","85,40","85,70","84,87","42,39K","-0,82%"
"23/12/2024","85,70","86,00","86,00","85,25","624,24K","0,59%"
"20/12/2024","85,20","85,30","85,49","84,90","131,26K","0,24%"
"19/12/2024","85,00","86,50","86,50","85,00","102,26K","-1,16%"
"18/12/2024","86,00","86,60","87,10","86,00","64,41K","-0,35%"
"17/12/2024","86,30","86,24","89,00","86,03","441,10K","0,07%"
"16/12/2024","86,24","86,24","86,84","86,15","10,87K","0,00%"
"13/12/2024","86,24","85,61","86,47","85,61","20,97K","0,79%"
"12/12/2024","85,56","85,11","86,10","85,11","16,25K","0,36%"
"11/12/2024","85,25","85,50","85,95","85,04","42,90K","0,18%"
"10/12/2024","85,10","85,90","85,99","85,10","87,28K","-1,04%"
"09/12/2024","85,99","86,00","86,29","85,75","24,28K","0,00%"
"06/12/2024","85,99","86,00","86,88","85,73","38,76K","-0,03%"
"05/12/2024","86,02","86,88","87,15","85,70","108,31K","-0,99%"
"04/12/2024","86,88","85,66","87,60","85,65","54,64K","1,42%"
"03/12/2024","85,66","85,70","85,70","85,60","55,82K","-0,05%"
"02/12/2024","85,70","86,00","86,00","85,60","61,08K","-0,23%"
"29/11/2024","85,90","87,00","87,00","85,81","189,10K","-0,23%"
"28/11/2024","86,10","86,10","88,00","86,00","263,44K","-0,65%"
"27/11/2024","86,66","86,74","87,00","86,00","816,32K","-0,05%"
"26/11/2024","86,70","87,00","87,90","86,70","89,28K","0,06%"
"25/11/2024","86,65","89,00","89,00","86,65","184,30K","-1,65%"
"22/11/2024","88,10","89,00","89,35","88,10","40,10K","0,00%"
"21/11/2024","88,10","88,71","89,50","88,10","95,62K","-0,56%"
"20/11/2024","88,60","88,00","88,70","87,52","185,24K","1,26%"
"19/11/2024","87,50","87,61","88,11","87,50","410,97K","0,00%"
"15/11/2024","87,50","89,89","89,89","87,50","388,13K","-1,69%"
"14/11/2024","89,00","89,60","90,30","89,00","112,22K","-0,63%"
"13/11/2024","89,56","90,00","90,32","89,56","8,13K","-0,49%"
"12/11/2024","90,00","90,50","90,98","90,00","34,98K","-1,09%"
"11/11/2024","90,99","91,39","91,80","90,99","71,30K","-0,28%"
"08/11/2024","91,25","90,00","91,40","90,00","472,65K","0,83%"
"07/11/2024","90,50","89,00","91,00","89,00","690,03K","1,80%"
"05/11/2024","88,90","88,99","89,52","88,70","39,87K","0,00%"
"04/11/2024","88,90","88,50","89,30","88,00","199,14K","0,75%"
"01/11/2024","88,24","88,50","88,50","88,00","89,01K","-0,57%"
"31/10/2024","88,75","89,00","89,00","88,71","55,60K","-0,28%"
"30/10/2024","89,00","89,45","89,45","89,00","64,97K","-0,50%"
"29/10/2024","89,45","89,90","89,90","89,45","41,30K","-0,27%"
"28/10/2024","89,69","89,91","90,22","89,28","39,52K","-0,24%"
"25/10/2024","89,91","90,32","90,62","89,84","235,05K","-0,10%"
"24/10/2024","90,00","91,00","91,31","89,90","74,55K","-1,10%"
"23/10/2024","91,00","91,00","91,31","90,68","43,40K","0,00%"
"22/10/2024","91,00","91,50","91,75","89,81","18,88K","-0,55%"
"21/10/2024","91,50","91,50","92,11","91,50","104,58K","-0,32%"
"18/10/2024","91,79","91,68","92,30","91,36","141,18K","-0,23%"
"17/10/2024","92,00","90,79","92,20","90,70","59,97K","2,45%"
"16/10/2024","89,80","90,50","90,50","89,80","88,58K","-0,22%"
"15/10/2024","90,00","91,72","91,72","90,00","115,28K","-1,53%"
"14/10/2024","91,40","91,40","91,99","91,40","31,86K","-0,01%"
"11/10/2024","91,41","92,00","92,00","91,41","65,24K","-0,64%"
"10/10/2024","92,00","91,70","92,32","91,70","192,22K","0,00%"
"09/10/2024","92,00","91,71","92,31","91,60","85,27K","0,66%"
"08/10/2024","91,40","92,32","92,32","91,36","125,83K","-0,65%"
"07/10/2024","92,00","93,02","93,02","91,90","38,01K","-0,76%"
"04/10/2024","92,70","93,05","93,50","92,70","39,54K","-0,22%"
"03/10/2024","92,90","93,85","93,85","92,90","72,87K","0,32%"
"02/10/2024","92,60","92,80","92,99","91,70","69,24K","-0,47%"
"01/10/2024","93,04","93,55","94,30","93,04","48,87K","-1,02%"
"30/09/2024","94,00","95,00","95,00","94,00","108,13K","-1,05%"
"27/09/2024","95,00","95,01","95,23","94,61","205,10K","0,11%"
"26/09/2024","94,90","94,61","95,00","94,30","127,03K","0,32%"
"25/09/2024","94,60","94,83","95,50","94,35","74,46K","0,11%"
"24/09/2024","94,50","95,00","97,99","94,00","562,24K","0,48%"
"23/09/2024","94,05","94,00","94,05","93,00","125,08K","0,37%"
"20/09/2024","93,70","90,50","95,00","90,01","440,08K","3,59%"
"19/09/2024","90,45","89,65","90,82","89,35","318,51K","1,24%"
"18/09/2024","89,34","89,60","89,60","89,30","88,25K","-0,29%"
"13/09/2024","89,60","89,50","89,71","89,40","109,91K","0,22%"
"12/09/2024","89,40","90,00","90,00","89,40","37,76K","-0,56%"
"11/09/2024","89,90","89,90","90,00","89,70","5,29K","0,00%"
"10/09/2024","89,90","90,02","90,30","89,69","65,73K","-0,11%"
"09/09/2024","90,00","90,00","90,13","89,75","81,04K","0,56%"
"06/09/2024","89,50","89,75","90,20","89,50","61,82K","-0,21%"
"05/09/2024","89,69","90,32","90,32","89,60","202,96K","-0,34%"
"04/09/2024","90,00","91,09","91,40","90,00","127,01K","-1,53%"
"03/09/2024","91,40","92,00","92,05","91,00","24,89K","-3,28%"
"02/09/2024","94,50","94,98","95,50","94,00","130,90K","1,44%"
"30/08/2024","93,16","96,00","96,34","93,16","280,99K","-2,96%"
"29/08/2024","96,00","96,33","96,33","96,00","62,24K","0,00%"
"28/08/2024","96,00","96,06","96,98","96,00","167,54K","-0,02%"
"27/08/2024","96,02","95,60","96,24","95,50","390,64K","0,74%"
"26/08/2024","95,31","95,34","95,96","95,00","146,81K","0,32%"
"23/08/2024","95,01","93,80","96,00","93,80","107,93K","1,61%"
"22/08/2024","93,50","92,99","93,69","92,99","130,19K","1,51%"
"19/08/2024","92,11","91,84","92,44","91,84","23,21K","0,64%"
"16/08/2024","91,52","90,81","91,58","90,81","35,92K","0,79%"
"15/08/2024","90,80","90,01","90,99","90,01","72,67K","0,89%"
"13/08/2024","90,00","90,02","90,81","90,00","15,14K","0,10%"
"12/08/2024","89,91","90,00","90,63","89,91","28,26K","-0,10%"
"09/08/2024","90,00","90,00","91,54","90,00","83,13K","0,00%"
"08/08/2024","90,00","90,00","90,00","89,82","44,26K","0,00%"
"07/08/2024","90,00","90,00","90,31","89,81","36,36K","0,00%"
"06/08/2024","90,00","90,00","90,30","89,69","52,90K","0,00%"
"05/08/2024","90,00","90,68","91,00","88,50","120,37K","-1,10%"
"02/08/2024","91,00","90,90","91,00","90,52","83,41K","0,19%"
"01/08/2024","90,83","90,50","90,85","90,50","23,52K","0,25%"
"31/07/2024","90,60","90,35","90,99","90,00","116,31K","0,55%"
"29/07/2024","90,10","89,61","90,50","89,61","90,53K","0,56%"
"26/07/2024","89,60","89,84","90,50","89,50","45,63K","-0,33%"
"25/07/2024","89,90","90,00","90,96","89,81","173,22K","-0,11%"
"24/07/2024","90,00","90,99","90,99","89,82","37,70K","-0,88%"
"23/07/2024","90,80","90,90","90,90","90,20","12,70K","-0,22%"
"22/07/2024","91,00","90,00","91,50","90,00","21,65K","0,44%"
"19/07/2024","90,60","91,31","91,80","90,20","57,35K","-0,99%"
"18/07/2024","91,51","92,70","92,70","91,30","73,12K","-0,53%"
"17/07/2024","92,00","91,15","92,00","91,15","132,21K","0,55%"
"16/07/2024","91,50","92,00","92,25","91,37","9,57K","-0,54%"
"15/07/2024","92,00","92,75","92,75","92,00","20,54K","-0,49%"
"12/07/2024","92,45","92,90","93,00","92,38","64,81K","-0,27%"
"11/07/2024","92,70","92,72","93,00","92,00","43,98K","0,00%"
"10/07/2024","92,70","90,31","92,70","90,31","360,25K","3,10%"
"09/07/2024","89,91","89,21","89,91","89,21","50,11K","0,44%"
"08/07/2024","89,52","89,86","89,95","89,24","17,08K","-0,03%"
"05/07/2024","89,55","89,02","90,00","89,02","63,95K","0,06%"
"04/07/2024","89,50","89,15","90,98","89,00","118,55K","-0,56%"
"03/07/2024","90,00","90,36","91,00","84,00","344,94K","-0,39%"
"02/07/2024","90,35","90,05","91,00","90,02","13,38K","-0,11%"
"01/07/2024","90,45","92,00","92,00","90,45","4,26K","-0,06%"
"28/06/2024","90,50","91,50","92,00","90,50","50,92K","-1,20%"
"27/06/2024","91,60","92,90","92,90","91,50","72,45K","-1,40%"
"26/06/2024","92,90","94,20","94,20","92,60","50,88K","-0,11%"
"25/06/2024","93,00","87,69","93,80","87,31","841,61K","6,52%"
"24/06/2024","87,31","87,51","88,00","87,00","555,57K","-0,23%"
"21/06/2024","87,51","88,94","88,94","87,51","93,34K","-0,73%"
"20/06/2024","88,15","88,83","88,83","88,15","55,40K","0,00%"
"19/06/2024","88,15","89,90","89,94","88,15","48,62K","-1,29%"
"14/06/2024","89,30","90,28","90,28","89,30","15,02K","-0,76%"
"13/06/2024","89,98","90,31","90,60","89,98","154,41K","-0,35%"
"12/06/2024","90,30","90,69","91,00","90,30","42,96K","-0,66%"
"11/06/2024","90,90","91,20","91,32","90,85","327,59K","-0,11%"
"10/06/2024","91,00","92,80","92,80","91,00","62,25K","-1,09%"
"07/06/2024","92,00","92,50","92,82","91,58","60,29K","-0,54%"
"06/06/2024","92,50","90,60","92,50","90,60","56,06K","2,38%"
"05/06/2024","90,35","91,41","91,41","90,30","78,15K","-0,82%"
"04/06/2024","91,10","91,80","92,00","91,00","89,86K","-0,76%"
"03/06/2024","91,80","92,00","92,32","91,68","27,06K","-0,22%"
