"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"06/03/2026","2.190,00","2.375,00","2.375,00","2.190,00","7,46K","-4,58%"
"05/03/2026","2.295,00","2.277,00","2.295,00","2.200,00","5,21K","6,60%"
"04/03/2026","2.153,00","2.200,00","2.298,00","2.153,00","4,40K","0,00%"
"03/03/2026","2.153,00","2.275,00","2.350,00","2.153,00","8,93K","-9,99%"
"02/03/2026","2.392,00","2.350,00","2.464,00","2.341,00","6,96K","-8,00%"
"27/02/2026","2.600,00","2.603,00","2.673,00","2.600,00","4,25K","-2,80%"
"26/02/2026","2.675,00","2.602,00","2.675,00","2.571,00","0,78K","1,36%"
"25/02/2026","2.639,00","2.622,00","2.689,00","2.601,00","3,20K","-0,42%"
"24/02/2026","2.650,00","2.685,00","2.685,00","2.631,00","4,62K","0,76%"
"23/02/2026","2.630,00","2.650,00","2.727,00","2.605,00","0,95K","-3,56%"
"20/02/2026","2.727,00","2.651,00","2.727,00","2.632,00","0,70K","0,00%"
"19/02/2026","2.727,00","2.730,00","2.730,00","2.630,00","0,58K","-0,11%"
"18/02/2026","2.730,00","2.720,00","2.745,00","2.660,00","4,50K","0,37%"
"17/02/2026","2.720,00","2.649,00","2.802,00","2.649,00","8,06K","2,64%"
"16/02/2026","2.650,00","2.649,00","2.650,00","2.610,00","27,05K","1,92%"
"13/02/2026","2.600,00","2.680,00","2.680,00","2.600,00","1,47K","-1,89%"
"12/02/2026","2.650,00","2.531,00","2.659,00","2.531,00","6,03K","1,96%"
"11/02/2026","2.599,00","2.618,00","2.618,00","2.525,00","0,32K","0,58%"
"10/02/2026","2.584,00","2.615,00","2.615,00","2.525,00","5,73K","2,46%"
"09/02/2026","2.522,00","2.595,00","2.627,00","2.522,00","0,49K","-3,00%"
