"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/03/2026","2.190,00","2.350,00","2.464,00","2.153,00","32,96K","-15,77%"
"22/02/2026","2.600,00","2.650,00","2.727,00","2.571,00","13,80K","-4,66%"
"15/02/2026","2.727,00","2.649,00","2.802,00","2.610,00","40,90K","4,88%"
"08/02/2026","2.600,00","2.595,00","2.680,00","2.522,00","14,03K","0,00%"
"01/02/2026","2.600,00","2.640,00","2.696,00","2.491,00","30,18K","-3,70%"
"25/01/2026","2.700,00","2.604,00","2.770,00","2.500,00","11,96K","2,00%"
"18/01/2026","2.647,00","2.640,00","2.699,00","2.601,00","5,24K","-1,93%"
"11/01/2026","2.699,00","2.844,00","2.844,00","2.646,00","11,72K","-4,73%"
"04/01/2026","2.833,00","2.689,00","2.915,00","2.650,00","26,92K","5,71%"
"28/12/2025","2.680,00","2.665,00","2.700,00","2.630,00","4,30K","-2,19%"
"21/12/2025","2.740,00","2.700,00","2.740,00","2.633,00","11,72K","1,44%"
"14/12/2025","2.701,00","2.516,00","2.750,00","2.509,00","15,92K","4,29%"
"07/12/2025","2.590,00","2.479,00","2.590,00","2.467,00","7,94K","1,65%"
"30/11/2025","2.548,00","2.500,00","2.548,00","2.426,00","10,77K","0,91%"
"23/11/2025","2.525,00","2.401,00","2.588,00","2.400,00","15,50K","5,21%"
"16/11/2025","2.400,00","2.550,00","2.550,00","2.301,00","5,49K","-5,88%"
"09/11/2025","2.550,00","2.629,00","2.629,00","2.463,00","5,85K","-3,00%"
"02/11/2025","2.629,00","2.800,00","2.820,00","2.590,00","10,44K","-2,63%"
"26/10/2025","2.700,00","2.514,00","2.767,00","2.498,00","34,08K","5,97%"
"19/10/2025","2.548,00","2.480,00","2.575,00","2.400,00","15,05K","4,55%"
"12/10/2025","2.437,00","2.455,00","2.455,00","2.307,00","7,66K","-1,30%"
"05/10/2025","2.469,00","2.451,00","2.499,00","2.401,00","16,06K","1,23%"
"28/09/2025","2.439,00","2.405,00","2.449,00","2.196,00","69,45K","0,16%"
"21/09/2025","2.435,00","2.500,00","2.539,00","2.420,00","16,47K","-3,91%"
"14/09/2025","2.534,00","2.531,00","2.564,00","2.480,00","13,73K","-1,21%"
"07/09/2025","2.565,00","2.564,00","2.565,00","2.432,00","41,28K","0,00%"
"31/08/2025","2.565,00","2.400,00","2.585,00","2.375,00","45,31K","8,23%"
"24/08/2025","2.370,00","2.700,00","2.700,00","2.360,00","56,64K","-8,74%"
"17/08/2025","2.597,00","2.479,00","2.597,00","2.360,00","11,11K","4,76%"
"10/08/2025","2.479,00","2.266,00","2.498,00","2.266,00","28,37K","9,45%"
"03/08/2025","2.265,00","2.112,00","2.280,00","2.112,00","38,51K","7,86%"
"27/07/2025","2.100,00","2.179,00","2.179,00","2.090,00","48,53K","-2,37%"
"20/07/2025","2.151,00","2.198,00","2.200,00","2.129,00","12,63K","-2,23%"
"13/07/2025","2.200,00","2.035,00","2.220,00","2.031,00","19,05K","5,82%"
"06/07/2025","2.079,00","2.003,00","2.099,00","2.003,00","10,43K","1,27%"
"29/06/2025","2.053,00","2.000,00","2.100,00","1.943,00","21,75K","2,55%"
"22/06/2025","2.002,00","1.900,00","2.033,00","1.864,00","26,88K","3,25%"
"15/06/2025","1.939,00","1.939,00","1.980,00","1.700,00","41,72K","-1,02%"
"08/06/2025","1.959,00","2.159,00","2.185,00","1.831,00","39,89K","-8,88%"
"01/06/2025","2.150,00","2.265,00","2.265,00","2.120,00","23,04K","-4,02%"
"25/05/2025","2.240,00","2.270,00","2.338,00","2.100,00","58,79K","-6,67%"
"18/05/2025","2.400,00","2.378,00","2.440,00","2.320,00","17,95K","-0,66%"
"11/05/2025","2.416,00","2.111,00","2.448,00","2.111,00","62,26K","11,65%"
"04/05/2025","2.164,00","2.170,00","2.170,00","2.080,00","23,20K","-0,28%"
"27/04/2025","2.170,00","2.196,00","2.280,00","2.150,00","13,28K","-0,32%"
"20/04/2025","2.177,00","2.150,00","2.223,00","2.050,00","27,56K","2,21%"
"13/04/2025","2.130,00","2.090,00","2.190,00","2.070,00","40,11K","3,40%"
"06/04/2025","2.060,00","2.100,00","2.150,00","1.905,00","60,79K","-9,25%"
"30/03/2025","2.270,00","2.406,00","2.450,00","2.054,00","44,82K","-5,42%"
"23/03/2025","2.400,00","2.690,00","2.699,00","2.340,00","75,95K","-11,11%"
"16/03/2025","2.700,00","2.470,00","2.739,00","2.470,00","64,13K","9,31%"
"09/03/2025","2.470,00","2.521,00","2.530,00","2.330,00","28,86K","-4,96%"
"02/03/2025","2.599,00","2.550,00","2.599,00","2.400,00","13,20K","3,96%"
"23/02/2025","2.500,00","2.630,00","2.750,00","2.485,00","35,35K","-4,76%"
"16/02/2025","2.625,00","2.351,00","2.799,00","2.351,00","71,70K","14,13%"
"09/02/2025","2.300,00","2.270,00","2.300,00","2.230,00","22,53K","1,55%"
"02/02/2025","2.265,00","2.275,00","2.275,00","2.215,00","7,72K","1,03%"
"26/01/2025","2.242,00","2.249,00","2.298,00","2.200,00","13,14K","0,54%"
