"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2026","1,298.99","1,316.05","1,344.49","1,298.99","","-1.30%"
"03/05/2026","1,316.05","1,255.55","1,316.05","1,255.55","","4.82%"
"03/04/2026","1,255.55","1,238.53","1,309.05","1,238.53","","1.37%"
"03/03/2026","1,238.53","1,309.34","1,314.39","1,238.53","","-5.41%"
"03/02/2026","1,309.34","1,379.74","1,379.74","1,309.34","","-5.10%"
"02/27/2026","1,379.74","1,411.45","1,414.32","1,379.50","","-2.25%"
"02/26/2026","1,411.45","1,426.24","1,430.09","1,408.43","","-1.04%"
"02/25/2026","1,426.24","1,433.74","1,442.74","1,426.24","","-0.52%"
"02/24/2026","1,433.74","1,439.26","1,444.14","1,433.74","","-0.38%"
"02/23/2026","1,439.26","1,445.24","1,446.76","1,438.56","","-0.41%"
"02/20/2026","1,445.24","1,449.89","1,452.97","1,437.29","","-0.32%"
"02/19/2026","1,449.89","1,446.66","1,452.03","1,442.99","","0.22%"
"02/18/2026","1,446.66","1,448.67","1,452.95","1,441.50","","-0.14%"
"02/17/2026","1,448.67","1,457.09","1,457.09","1,442.62","","-0.58%"
"02/16/2026","1,457.09","1,431.63","1,457.09","1,431.63","","1.78%"
"02/13/2026","1,431.63","1,440.50","1,446.24","1,431.63","","-0.62%"
"02/12/2026","1,440.50","1,419.73","1,440.50","1,419.73","","1.46%"
"02/11/2026","1,419.73","1,417.02","1,422.28","1,413.97","","0.19%"
"02/10/2026","1,417.02","1,417.87","1,424.89","1,413.98","","-0.06%"
"02/09/2026","1,417.87","1,423.18","1,432.06","1,414.51","","-0.37%"
"02/06/2026","1,423.18","1,406.32","1,423.18","1,391.26","","1.20%"
"02/05/2026","1,406.32","1,427.67","1,433.95","1,405.93","","-1.50%"
"02/04/2026","1,427.67","1,430.13","1,441.35","1,425.27","","-0.17%"
"02/03/2026","1,430.13","1,440.76","1,447.43","1,429.51","","-0.74%"
"02/02/2026","1,440.76","1,443.29","1,451.41","1,428.60","","-0.18%"
"01/30/2026","1,443.29","1,464.22","1,465.55","1,443.29","","-1.43%"
"01/29/2026","1,464.22","1,468.98","1,478.27","1,462.23","","-0.32%"
"01/28/2026","1,468.98","1,446.22","1,469.56","1,445.07","","1.57%"
"01/27/2026","1,446.22","1,424.32","1,446.29","1,424.28","","1.54%"
"01/26/2026","1,424.32","1,448.25","1,454.34","1,422.06","","-1.65%"
"01/23/2026","1,448.25","1,462.77","1,476.39","1,445.83","","-0.99%"
"01/22/2026","1,462.77","1,448.06","1,484.91","1,448.06","","1.02%"
"01/21/2026","1,448.06","1,468.33","1,476.99","1,448.06","","-1.38%"
"01/20/2026","1,468.33","1,479.11","1,488.89","1,462.46","","-0.73%"
"01/19/2026","1,479.11","1,499.73","1,504.44","1,478.36","","-1.38%"
"01/16/2026","1,499.73","1,499.28","1,508.11","1,495.50","","0.03%"
"01/15/2026","1,499.28","1,510.42","1,517.44","1,495.04","","-0.74%"
"01/13/2026","1,510.42","1,528.14","1,528.14","1,510.42","","-1.16%"
