"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2026","17,097.54","17,351.61","17,654.96","17,093.96","","-1.46%"
"03/05/2026","17,351.61","16,655.58","17,351.61","16,655.58","","4.18%"
"03/04/2026","16,655.58","16,399.25","17,169.08","16,382.81","","1.56%"
"03/03/2026","16,399.25","17,377.00","17,415.99","16,399.21","","-5.63%"
"03/02/2026","17,377.00","18,140.55","18,140.55","17,369.86","","-4.21%"
"02/27/2026","18,140.55","18,369.94","18,472.13","18,138.36","","-1.25%"
"02/26/2026","18,369.94","18,526.39","18,553.17","18,328.17","","-0.84%"
"02/25/2026","18,526.39","18,582.49","18,672.08","18,526.39","","-0.30%"
"02/24/2026","18,582.49","18,651.76","18,682.06","18,582.49","","-0.37%"
"02/23/2026","18,651.76","18,701.04","18,731.31","18,633.92","","-0.26%"
"02/20/2026","18,701.04","18,736.57","18,744.14","18,597.25","","-0.19%"
"02/19/2026","18,736.57","18,687.90","18,736.57","18,639.79","","0.26%"
"02/18/2026","18,687.90","18,724.05","18,763.41","18,630.01","","-0.19%"
"02/17/2026","18,724.05","18,827.60","18,829.45","18,675.88","","-0.55%"
"02/16/2026","18,827.60","18,573.12","18,827.60","18,567.09","","1.37%"
"02/13/2026","18,573.12","18,645.43","18,682.13","18,561.44","","-0.39%"
"02/12/2026","18,645.43","18,365.69","18,645.96","18,365.69","","1.52%"
"02/11/2026","18,365.69","18,303.36","18,391.71","18,275.77","","0.34%"
"02/10/2026","18,303.36","18,338.87","18,405.84","18,266.59","","-0.19%"
"02/09/2026","18,338.87","18,306.80","18,481.69","18,292.11","","0.18%"
