"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","17,097.54","18,140.55","18,140.55","16,382.81","","-5.75%"
"02/01/2026","18,140.55","18,666.95","18,829.45","17,924.37","","-2.82%"
"01/01/2026","18,666.95","18,846.35","19,638.15","18,360.24","","-0.95%"
"12/01/2025","18,846.35","18,603.59","19,144.14","18,318.91","","1.30%"
"11/01/2025","18,603.59","19,636.52","20,060.07","18,106.62","","-5.26%"
"10/01/2025","19,636.52","19,024.82","19,728.29","17,765.29","","3.22%"
"09/01/2025","19,024.82","20,037.32","20,264.26","18,404.41","","-5.14%"
"08/01/2025","20,054.88","19,634.87","20,340.23","19,433.67","","2.14%"
"07/01/2025","19,634.87","18,288.58","19,674.84","18,253.69","","7.31%"
"06/01/2025","18,296.60","17,976.11","18,927.07","17,461.20","","1.78%"
"05/01/2025","17,976.11","17,390.38","18,248.79","17,390.38","","3.37%"
"04/01/2025","17,390.38","17,756.02","17,938.77","16,006.92","","-2.06%"
"03/01/2025","17,756.02","16,723.79","17,964.66","16,243.11","","6.17%"
"02/01/2025","16,723.79","16,248.20","17,217.42","16,197.72","","2.93%"
"01/01/2025","16,248.20","14,773.19","16,446.14","14,764.86","0.02K","9.98%"
"12/01/2024","14,773.19","14,837.22","14,929.68","14,595.38","","-0.43%"
"11/01/2024","14,837.22","14,168.10","15,050.12","14,168.10","","4.72%"
"10/01/2024","14,168.10","14,372.84","14,441.89","13,795.07","","-1.42%"
"09/01/2024","14,372.84","13,933.46","14,519.38","13,845.94","","3.15%"
"08/01/2024","13,933.46","13,983.40","14,032.60","13,527.31","","-0.36%"
"07/01/2024","13,984.33","13,301.37","14,129.82","13,118.39","","5.13%"
"06/01/2024","13,301.37","13,310.40","13,447.20","13,011.49","","-0.07%"
"05/01/2024","13,310.40","13,319.36","13,589.67","13,279.15","","-0.07%"
"04/01/2024","13,319.36","13,009.23","13,508.68","12,996.01","","2.38%"
"03/01/2024","13,009.23","13,031.16","13,139.28","12,836.00","","-0.17%"
"02/01/2024","13,031.16","12,465.28","13,147.96","12,420.38","","4.54%"
"01/01/2024","12,465.28","12,092.88","12,783.75","12,092.63","","3.08%"
"12/01/2023","12,092.88","11,781.56","12,273.00","11,702.27","","2.64%"
"11/01/2023","11,781.56","12,021.64","12,032.26","11,754.07","","-2.00%"
"10/01/2023","12,021.64","11,865.32","12,552.70","11,621.20","","1.32%"
"09/01/2023","11,865.32","11,954.29","11,968.68","11,694.36","","-0.74%"
"08/01/2023","11,954.29","12,083.34","12,231.76","11,833.85","","-1.07%"
"07/01/2023","12,083.34","11,494.06","12,083.74","11,448.90","","4.35%"
"06/01/2023","11,579.76","11,040.92","11,822.93","10,982.74","","4.80%"
"05/01/2023","11,049.08","10,525.17","11,079.71","10,347.00","","4.98%"
"04/01/2023","10,525.22","10,391.39","10,551.85","10,383.94","","1.29%"
"03/01/2023","10,391.39","10,907.51","10,958.40","10,315.38","","-4.73%"
"02/01/2023","10,907.51","10,275.45","10,925.75","10,206.98","","6.15%"
"01/01/2023","10,275.45","10,720.25","10,833.46","9,717.99","","-4.15%"
"12/01/2022","10,720.25","10,910.91","11,365.06","10,696.38","","-1.75%"
"11/01/2022","10,910.91","10,822.58","10,960.51","10,292.88","","0.82%"
"10/01/2022","10,822.58","11,613.11","11,782.26","10,715.72","","-6.81%"
"09/01/2022","11,613.11","12,128.72","12,267.30","11,548.23","","-4.25%"
"08/01/2022","12,128.72","11,818.46","12,231.82","11,796.27","","2.63%"
"07/01/2022","11,818.46","12,003.29","12,072.68","11,518.12","","-1.59%"
"06/01/2022","12,009.41","12,303.94","12,728.19","11,930.64","","-2.68%"
"05/01/2022","12,339.60","13,136.65","13,173.92","12,306.00","","-6.07%"
"04/01/2022","13,136.65","12,818.11","13,183.37","12,803.95","","2.49%"
"03/01/2022","12,818.11","13,071.04","13,186.82","12,353.78","","-1.94%"
