"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","17,097.54","18,140.55","18,140.55","16,382.81","","-5.75%"
"02/22/2026","18,140.55","18,701.04","18,731.31","18,138.36","","-3.00%"
"02/15/2026","18,701.04","18,573.12","18,829.45","18,567.09","","0.69%"
"02/08/2026","18,573.12","18,306.80","18,682.13","18,266.59","","1.45%"
"02/01/2026","18,306.80","18,666.95","18,730.57","17,924.37","","-1.93%"
"01/25/2026","18,666.95","18,643.56","19,109.49","18,360.24","","0.13%"
"01/18/2026","18,643.56","19,200.47","19,284.29","18,627.81","","-2.90%"
"01/11/2026","19,200.47","19,469.47","19,550.71","19,136.28","","-1.38%"
"01/04/2026","19,469.47","19,208.36","19,638.15","19,180.38","","1.36%"
"12/28/2025","19,208.36","18,476.19","19,208.36","18,378.58","","3.96%"
"12/21/2025","18,476.19","18,938.30","19,144.14","18,476.19","","-2.44%"
"12/14/2025","18,938.30","18,566.51","19,005.82","18,515.19","","2.00%"
"12/07/2025","18,566.51","18,469.38","18,622.63","18,396.95","","0.53%"
"11/30/2025","18,469.38","18,603.59","18,603.59","18,318.91","","-0.72%"
"11/23/2025","18,603.59","18,205.28","18,662.77","18,187.32","","2.19%"
"11/16/2025","18,205.28","18,645.53","18,935.71","18,106.62","","-2.36%"
"11/09/2025","18,645.53","19,268.40","19,286.21","18,614.20","","-3.23%"
"11/02/2025","19,268.40","19,636.52","20,060.07","19,254.84","","-1.87%"
"10/26/2025","19,636.52","19,443.32","19,728.29","19,367.20","","0.99%"
"10/19/2025","19,443.32","18,457.86","19,516.70","18,457.86","","5.34%"
"10/12/2025","18,457.86","18,549.37","18,762.61","18,064.53","","-0.49%"
"10/05/2025","18,549.37","18,820.18","19,230.22","18,549.07","","-1.44%"
"09/28/2025","18,820.18","19,342.98","19,393.68","17,765.29","","-2.70%"
"09/21/2025","19,342.98","19,944.13","20,029.47","19,265.38","","-3.01%"
"09/14/2025","19,944.13","19,828.99","19,946.14","19,585.38","","0.58%"
"09/07/2025","19,828.99","20,086.49","20,141.03","19,521.16","","-1.29%"
"08/31/2025","20,088.14","20,037.32","20,264.26","19,978.55","","0.17%"
"08/24/2025","20,054.88","19,979.97","20,340.23","19,786.28","","0.36%"
"08/17/2025","19,982.27","19,845.09","19,982.71","19,619.47","","0.69%"
"08/10/2025","19,845.09","19,818.76","19,967.91","19,792.00","","0.13%"
"08/03/2025","19,818.76","19,562.64","19,915.16","19,433.67","","1.27%"
"07/27/2025","19,570.63","19,404.79","19,768.92","19,283.62","","0.85%"
"07/20/2025","19,404.79","19,128.47","19,404.79","19,055.38","","1.23%"
"07/13/2025","19,168.83","18,998.71","19,179.38","18,698.34","","0.90%"
"07/06/2025","18,998.71","18,648.61","19,003.89","18,510.21","","1.88%"
"06/29/2025","18,648.61","18,452.08","18,649.64","18,253.69","","0.94%"
"06/22/2025","18,474.97","17,957.33","18,511.77","17,720.26","","2.88%"
"06/15/2025","17,957.33","18,414.16","18,424.16","17,461.20","","-2.50%"
"06/08/2025","18,417.52","18,553.17","18,733.99","18,019.19","","-0.78%"
"06/01/2025","18,562.47","17,976.11","18,927.07","17,976.11","","3.26%"
"05/25/2025","17,976.11","18,112.39","18,173.53","17,898.51","","-0.75%"
"05/18/2025","18,112.39","17,772.15","18,248.79","17,772.15","","1.91%"
"05/11/2025","17,772.15","17,765.30","18,117.48","17,765.30","","0.04%"
"05/04/2025","17,765.30","17,508.82","17,788.87","17,396.23","","1.46%"
"04/27/2025","17,508.82","17,319.69","17,508.82","17,308.86","","1.09%"
"04/20/2025","17,319.69","17,243.69","17,352.87","17,190.67","","0.44%"
"04/13/2025","17,243.69","16,070.49","17,302.79","16,070.49","","7.30%"
"04/06/2025","16,070.49","17,232.49","17,233.40","16,006.92","","-6.74%"
"03/30/2025","17,232.49","17,756.02","17,938.77","17,194.79","","-2.95%"
"03/23/2025","17,756.02","17,621.40","17,964.66","17,438.63","","0.76%"
"03/16/2025","17,621.40","16,613.70","17,621.40","16,613.70","","6.07%"
"03/09/2025","16,613.70","16,609.78","16,692.66","16,243.11","","0.02%"
"03/02/2025","16,609.78","16,723.79","16,887.21","16,551.73","","-0.68%"
"02/23/2025","16,723.79","16,843.03","17,217.42","16,695.04","","-0.71%"
"02/16/2025","16,843.03","16,452.23","17,120.60","16,452.22","","2.38%"
"02/09/2025","16,452.23","16,325.77","16,513.39","16,252.67","","0.77%"
"02/02/2025","16,325.77","16,248.20","16,363.33","16,197.72","","0.48%"
"01/26/2025","16,248.20","15,882.04","16,446.14","15,881.75","0.00K","2.31%"
"01/19/2025","15,882.04","16,021.76","16,123.59","15,706.53","0.01K","-0.87%"
"01/12/2025","16,021.76","15,875.76","16,211.52","15,790.89","0.00K","0.92%"
"01/05/2025","15,875.76","15,516.30","16,070.66","15,446.33","0.01K","2.32%"
"12/29/2024","15,516.30","14,648.53","15,516.30","14,620.87","0.00K","5.92%"
"12/22/2024","14,648.53","14,721.45","14,776.54","14,595.38","","-0.50%"
"12/15/2024","14,721.45","14,704.81","14,929.68","14,666.65","","0.11%"
"12/08/2024","14,704.81","14,762.43","14,819.03","14,651.35","","-0.39%"
"12/01/2024","14,762.43","14,837.22","14,889.84","14,689.92","","-0.50%"
"11/24/2024","14,837.22","14,886.65","14,964.95","14,687.03","","-0.33%"
"11/17/2024","14,886.65","14,862.45","15,050.12","14,841.27","","0.16%"
"11/10/2024","14,862.45","14,663.22","14,881.50","14,612.38","","1.36%"
"11/03/2024","14,663.22","14,269.96","14,699.28","14,219.39","","2.76%"
"10/27/2024","14,269.96","14,181.53","14,291.15","14,163.09","","0.62%"
"10/20/2024","14,181.53","14,080.57","14,195.21","14,021.09","","0.72%"
"10/13/2024","14,080.57","14,101.61","14,219.87","13,795.07","","-0.15%"
"10/06/2024","14,101.61","14,167.03","14,220.98","14,019.63","","-0.46%"
"09/29/2024","14,167.03","14,449.05","14,519.38","13,959.67","","-1.95%"
"09/22/2024","14,449.05","14,246.86","14,463.48","14,183.46","","1.42%"
"09/15/2024","14,246.86","13,998.63","14,283.90","13,961.29","","1.77%"
"09/08/2024","13,998.92","13,911.18","14,048.85","13,867.15","","0.63%"
"09/01/2024","13,911.35","13,933.46","13,997.00","13,845.94","","-0.16%"
"08/25/2024","13,933.46","13,954.07","14,020.19","13,874.26","","-0.15%"
"08/18/2024","13,954.07","13,895.42","13,984.12","13,809.95","","0.42%"
"08/11/2024","13,895.42","13,792.96","13,912.07","13,764.93","","0.74%"
"08/04/2024","13,792.96","14,001.09","14,001.39","13,527.31","","-1.49%"
"07/28/2024","14,001.09","13,773.16","14,129.82","13,773.16","","1.65%"
"07/21/2024","13,773.16","13,623.01","13,804.64","13,561.82","","1.10%"
"07/14/2024","13,623.01","13,515.20","13,666.34","13,422.03","","0.79%"
"07/07/2024","13,516.89","13,367.73","13,516.89","13,264.71","","1.12%"
"06/30/2024","13,367.73","13,301.37","13,368.63","13,118.39","","0.50%"
"06/23/2024","13,301.37","13,140.91","13,447.20","13,122.14","","1.22%"
