"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"06/03/2026","730,00","760,00","764,00","720,00","53,85K","-2,01%"
"05/03/2026","745,00","714,90","745,00","714,00","44,15K","6,43%"
"04/03/2026","700,00","699,00","720,00","689,00","192,87K","-0,01%"
"03/03/2026","700,10","735,00","740,00","683,00","106,75K","-7,52%"
"02/03/2026","757,00","759,00","780,00","742,00","230,54K","-7,68%"
"27/02/2026","820,00","834,90","835,00","820,00","97,86K","-0,61%"
"26/02/2026","825,00","829,00","830,00","821,40","8,76K","-0,60%"
"25/02/2026","830,00","822,20","833,00","822,00","8,29K","0,24%"
"24/02/2026","828,00","820,00","829,50","820,00","25,15K","0,36%"
"23/02/2026","825,00","826,10","830,00","825,00","19,53K","-1,55%"
"20/02/2026","838,00","829,00","838,00","823,10","13,25K","0,36%"
"19/02/2026","835,00","830,00","835,00","820,10","11,46K","0,59%"
"18/02/2026","830,10","830,00","835,00","830,00","6,87K","0,01%"
"17/02/2026","830,00","840,00","845,00","830,00","10,11K","-2,12%"
"16/02/2026","848,00","840,00","848,00","830,10","225,51K","-0,24%"
"13/02/2026","850,00","832,10","850,00","826,00","43,75K","0,59%"
"12/02/2026","845,00","820,00","845,00","810,50","23,89K","3,05%"
"11/02/2026","820,00","810,00","820,00","810,00","7,37K","0,24%"
"10/02/2026","818,00","811,00","824,50","808,00","32,28K","-1,09%"
"09/02/2026","827,00","826,00","832,00","816,00","9,10K","-0,96%"
"06/02/2026","835,00","805,00","835,00","795,00","56,02K","2,33%"
"05/02/2026","816,00","815,00","830,00","815,00","32,86K","-0,37%"
"04/02/2026","819,00","817,10","830,00","817,10","21,01K","-0,73%"
"03/02/2026","825,00","824,00","838,00","820,30","13,77K","-1,21%"
"02/02/2026","835,10","840,00","841,00","800,00","15,66K","-1,52%"
"30/01/2026","848,00","846,00","870,00","840,10","12,74K","-1,40%"
"29/01/2026","860,00","888,00","892,00","855,10","36,05K","-2,38%"
"28/01/2026","881,00","825,00","881,00","825,00","54,58K","8,89%"
"27/01/2026","809,10","806,10","819,90","805,00","35,11K","-1,09%"
"26/01/2026","818,00","832,10","838,00","806,00","31,57K","-2,50%"
"23/01/2026","839,00","836,00","842,00","835,00","19,88K","0,84%"
"22/01/2026","832,00","820,00","864,00","820,00","38,72K","0,95%"
"21/01/2026","824,20","830,20","838,90","822,30","19,76K","-2,91%"
"20/01/2026","848,90","849,00","849,00","822,00","48,15K","-0,25%"
"19/01/2026","851,00","866,00","870,00","850,30","21,74K","-2,74%"
"16/01/2026","875,00","870,00","875,00","860,10","47,97K","-0,40%"
"15/01/2026","878,50","880,00","885,00","863,50","34,91K","-0,85%"
"13/01/2026","886,00","885,30","899,90","885,30","61,28K","-1,54%"
"12/01/2026","899,90","905,50","920,00","894,60","37,19K","-1,65%"
"09/01/2026","915,00","903,20","915,00","891,10","76,35K","1,09%"
"08/01/2026","905,10","923,00","930,00","900,00","68,19K","-2,57%"
"07/01/2026","929,00","943,00","960,00","921,20","188,98K","-1,48%"
"06/01/2026","943,00","931,00","953,00","931,00","125,38K","-0,74%"
"05/01/2026","950,00","930,00","960,00","930,00","250,53K","1,06%"
"02/01/2026","940,00","910,00","940,00","882,00","161,69K","2,73%"
"31/12/2025","915,00","861,20","915,00","861,20","379,09K","9,46%"
"30/12/2025","835,90","790,00","835,90","781,00","490,62K","9,99%"
"29/12/2025","760,00","770,00","798,00","734,00","925,52K","-6,15%"
"26/12/2025","809,80","989,00","989,00","809,80","2,04M","-9,99%"
"25/12/2025","899,70","899,70","899,70","899,70","635,78K","9,99%"
"24/12/2025","818,00","818,00","818,00","818,00","506,01K","9,99%"
"23/12/2025","743,70","743,70","743,70","743,70","289,30K","10,00%"
"22/12/2025","676,10","676,10","676,10","676,10","93,14K","9,99%"
"19/12/2025","614,70","614,70","614,70","614,70","57,92K","9,98%"
"18/12/2025","558,90","558,90","558,90","558,90","12,21K","10,00%"
"17/12/2025","508,10","508,10","508,10","508,10","5,04K","9,99%"
