"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"06/03/2026","760,00","788,00","788,00","756,00","92,91K","0,68%"
"05/03/2026","754,90","748,80","759,00","740,00","134,89K","4,85%"
"04/03/2026","720,00","730,00","759,00","720,00","95,17K","2,55%"
"03/03/2026","702,10","780,00","780,00","702,10","121,60K","-9,99%"
"02/03/2026","780,00","798,00","798,00","770,00","51,64K","-6,02%"
"27/02/2026","830,00","884,00","884,00","830,00","69,50K","-5,47%"
"26/02/2026","878,00","890,00","890,00","878,00","24,16K","-0,79%"
"25/02/2026","885,00","905,00","905,00","885,00","9,31K","-0,45%"
"24/02/2026","889,00","900,00","900,10","889,00","20,37K","-1,22%"
"23/02/2026","900,00","907,00","907,00","900,00","9,06K","-0,55%"
"20/02/2026","905,00","907,40","907,70","898,00","48,38K","-0,26%"
"19/02/2026","907,40","909,00","912,00","905,00","7,21K","0,04%"
"18/02/2026","907,00","912,00","915,00","902,00","14,25K","-0,66%"
"17/02/2026","913,00","914,00","915,00","911,00","10,03K","-1,30%"
"16/02/2026","925,00","914,00","925,00","902,00","27,50K","2,78%"
"13/02/2026","900,00","915,00","915,00","900,00","49,28K","-0,99%"
"12/02/2026","909,00","900,00","909,00","897,00","27,64K","1,34%"
"11/02/2026","897,00","900,00","900,00","891,00","2,07K","0,90%"
"10/02/2026","889,00","900,00","900,00","883,00","16,22K","0,68%"
"09/02/2026","883,00","919,00","919,00","883,00","8,14K","-2,00%"
"06/02/2026","901,00","885,00","910,00","871,00","60,15K","1,35%"
