"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/03/2026","760,00","798,00","798,00","702,10","496,21K","-8,43%"
"01/02/2026","830,00","920,00","939,00","830,00","468,68K","-10,94%"
"01/01/2026","932,00","951,00","993,00","895,10","380,55K","-1,89%"
"01/12/2025","950,00","977,90","999,90","930,00","1,28M","-2,86%"
"01/11/2025","978,00","1.040,00","1.042,00","935,00","486,78K","-2,00%"
"01/10/2025","998,00","930,00","999,00","852,00","646,72K","5,05%"
"01/09/2025","950,00","984,00","1.018,00","900,00","1,04M","-2,26%"
"01/08/2025","972,00","914,00","999,90","888,00","593,43K","6,93%"
"01/07/2025","909,00","830,00","917,00","829,00","644,36K","12,22%"
"01/06/2025","810,00","804,00","886,60","781,30","921,10K","2,53%"
"01/05/2025","790,00","742,00","813,90","730,00","626,82K","6,33%"
"01/04/2025","743,00","750,00","798,90","632,00","1,47M","-0,93%"
"01/03/2025","750,00","730,00","764,90","686,00","1,06M","2,88%"
"01/02/2025","729,00","609,90","760,00","597,00","1,01M","20,34%"
"01/01/2025","605,80","540,00","630,00","536,00","1,09M","13,02%"
"01/12/2024","536,00","545,00","551,00","520,00","621,15K","-2,30%"
"01/11/2024","548,60","468,00","569,00","463,00","971,48K","17,98%"
"01/10/2024","465,00","475,00","479,90","411,00","1,12M","-1,48%"
"01/09/2024","472,00","381,90","478,90","380,00","593,87K","23,24%"
"01/08/2024","383,00","373,00","383,00","355,10","385,12K","2,13%"
"01/07/2024","375,00","315,00","393,00","300,00","811,31K","20,19%"
"01/06/2024","312,00","290,00","316,00","283,15","1,03M","8,33%"
"01/05/2024","288,00","284,00","291,00","280,15","367,81K","1,03%"
"01/04/2024","285,05","283,85","297,90","276,00","586,91K","1,80%"
"01/03/2024","280,00","290,00","292,20","276,00","228,17K","-3,95%"
"01/02/2024","291,50","276,95","294,00","272,50","568,93K","5,98%"
"01/01/2024","275,05","272,00","280,00","270,00","382,92K","-1,06%"
"01/12/2023","278,00","267,20","280,00","267,05","426,37K","2,06%"
"01/11/2023","272,40","266,00","272,40","265,00","248,66K","1,26%"
"01/10/2023","269,00","263,05","284,90","263,05","710,65K","0,00%"
"01/09/2023","269,00","264,00","270,00","255,30","300,93K","1,55%"
"01/08/2023","264,90","276,00","279,00","256,00","550,15K","-3,67%"
"01/07/2023","275,00","255,00","277,00","252,00","452,11K","9,13%"
"01/06/2023","252,00","249,05","258,85","240,05","955,78K","0,84%"
"01/05/2023","249,90","230,00","252,90","221,10","388,08K","6,93%"
"01/04/2023","233,70","219,00","233,70","213,50","427,38K","9,21%"
"01/03/2023","214,00","218,00","221,80","208,10","175,80K","-1,83%"
"01/02/2023","218,00","204,95","223,85","202,00","765,37K","6,39%"
"01/01/2023","204,90","215,00","215,00","178,00","702,83K","-5,14%"
"01/12/2022","216,00","209,90","230,00","207,20","1,18M","4,85%"
"01/11/2022","206,00","220,90","222,00","198,00","781,17K","-6,79%"
"01/10/2022","221,00","240,00","249,45","204,00","295,46K","-7,92%"
"01/09/2022","240,00","259,95","261,75","236,00","367,99K","-6,61%"
"01/08/2022","257,00","259,00","265,00","256,00","181,40K","-0,77%"
"01/07/2022","259,00","262,50","264,70","243,50","224,63K","-1,11%"
"01/06/2022","261,90","264,85","272,50","251,00","492,67K","0,73%"
"01/05/2022","260,00","280,00","281,00","260,00","445,97K","-5,80%"
"01/04/2022","276,00","265,00","283,00","261,00","601,94K","4,15%"
