"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"06/03/2026","1.800,00","1.920,00","1.920,00","1.799,00","24,60K","0,00%"
"05/03/2026","1.800,00","1.725,00","1.819,00","1.720,00","4,52K","5,20%"
"04/03/2026","1.711,00","1.630,00","1.783,00","1.630,00","2,64K","4,90%"
"03/03/2026","1.631,00","1.744,00","1.769,00","1.600,00","4,95K","-6,53%"
"02/03/2026","1.745,00","1.820,00","1.860,00","1.706,00","2,75K","-7,92%"
"27/02/2026","1.895,00","1.899,00","1.899,00","1.800,00","9,39K","-0,26%"
"26/02/2026","1.900,00","1.919,00","1.919,00","1.900,00","0,37K","-0,99%"
"25/02/2026","1.919,00","1.919,00","1.920,00","1.910,00","0,04K","0,00%"
"24/02/2026","1.919,00","1.939,00","1.939,00","1.901,00","0,15K","-0,57%"
"23/02/2026","1.930,00","1.948,00","1.948,00","1.900,00","0,35K","2,12%"
"20/02/2026","1.890,00","1.989,00","1.990,00","1.890,00","1,57K","-4,55%"
"19/02/2026","1.980,00","1.999,00","1.999,00","1.973,00","0,11K","0,00%"
"18/02/2026","1.980,00","2.000,00","2.000,00","1.960,00","0,16K","0,00%"
"17/02/2026","1.980,00","2.016,00","2.020,00","1.980,00","1,80K","-1,10%"
"16/02/2026","2.002,00","2.023,00","2.024,00","1.955,00","1,01K","2,67%"
"13/02/2026","1.950,00","2.020,00","2.020,00","1.950,00","2,25K","-1,52%"
"12/02/2026","1.980,00","2.045,00","2.045,00","1.980,00","8,21K","0,46%"
"11/02/2026","1.971,00","2.015,00","2.059,00","1.971,00","0,71K","-1,45%"
"10/02/2026","2.000,00","2.020,00","2.026,00","1.960,00","0,68K","-0,45%"
"09/02/2026","2.009,00","1.999,00","2.009,00","1.955,00","0,37K","3,29%"
"06/02/2026","1.945,00","2.000,00","2.000,00","1.920,00","2,31K","-2,75%"
