"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/03/2026","1.800,00","1.820,00","1.920,00","1.600,00","39,46K","-5,01%"
"01/02/2026","1.895,00","2.065,00","2.095,00","1.800,00","42,82K","-9,29%"
"01/01/2026","2.089,00","2.146,00","2.269,00","2.025,00","91,28K","-1,46%"
"01/12/2025","2.120,00","2.277,00","2.400,00","2.120,00","145,23K","-6,90%"
"01/11/2025","2.277,00","2.594,00","2.594,00","2.145,00","26,49K","-7,02%"
"01/10/2025","2.449,00","2.350,00","2.600,00","2.200,00","60,28K","4,21%"
"01/09/2025","2.350,00","2.899,00","2.900,00","2.321,00","55,33K","-18,54%"
"01/08/2025","2.885,00","2.941,00","2.977,00","2.800,00","71,81K","-2,20%"
"01/07/2025","2.950,00","2.930,00","3.100,00","2.800,00","97,53K","5,36%"
"01/06/2025","2.800,00","3.048,00","3.100,00","2.602,00","64,45K","-9,39%"
"01/05/2025","3.090,00","2.400,00","3.240,00","2.329,00","146,12K","28,80%"
"01/04/2025","2.399,00","2.389,00","2.455,00","1.826,00","193,02K","3,85%"
"01/03/2025","2.310,00","1.622,00","2.350,00","1.571,00","210,39K","41,80%"
"01/02/2025","1.629,00","1.390,00","1.720,00","1.380,00","253,97K","17,62%"
"01/01/2025","1.385,00","1.396,00","1.493,00","1.345,00","75,66K","3,36%"
"01/12/2024","1.340,00","1.314,00","1.438,00","1.303,00","156,35K","1,82%"
"01/11/2024","1.316,00","1.461,00","1.529,00","1.304,00","39,01K","-10,23%"
"01/10/2024","1.466,00","1.500,00","1.599,00","1.415,00","182,06K","1,10%"
"01/09/2024","1.450,00","1.300,00","1.490,00","1.272,00","91,79K","12,40%"
"01/08/2024","1.290,00","1.340,00","1.349,00","1.260,00","127,88K","-4,44%"
"01/07/2024","1.350,00","1.335,00","1.370,00","1.281,00","24,77K","3,85%"
"01/06/2024","1.300,00","1.329,00","1.382,00","1.276,00","41,04K","-2,26%"
"01/05/2024","1.330,00","1.330,00","1.500,00","1.315,00","307,68K","2,31%"
"01/04/2024","1.300,00","1.218,00","1.350,00","1.204,00","47,41K","8,24%"
"01/03/2024","1.201,00","1.228,00","1.250,00","1.175,00","22,85K","0,08%"
"01/02/2024","1.200,00","1.210,00","1.288,00","1.165,00","107,58K","0,84%"
"01/01/2024","1.190,00","1.100,00","1.290,00","1.082,00","60,61K","8,18%"
"01/12/2023","1.100,00","1.010,00","1.124,00","995,00","99,20K","8,91%"
"01/11/2023","1.010,00","1.075,00","1.075,00","980,00","33,89K","-6,39%"
"01/10/2023","1.079,00","1.002,00","1.139,00","1.002,00","37,47K","4,05%"
"01/09/2023","1.037,00","1.115,00","1.115,00","980,00","30,91K","-7,41%"
"01/08/2023","1.120,00","1.100,00","1.148,00","1.075,00","9,12K","-2,52%"
"01/07/2023","1.149,00","1.070,00","1.150,00","1.025,00","40,19K","13,09%"
"01/06/2023","1.016,00","972,50","1.100,00","961,00","56,98K","1,70%"
"01/05/2023","999,00","951,00","1.000,00","940,00","20,40K","4,06%"
"01/04/2023","960,00","960,00","980,00","955,00","25,08K","0,00%"
"01/03/2023","960,00","999,00","1.000,00","935,00","145,41K","-3,03%"
"01/02/2023","990,00","949,00","1.030,00","930,00","30,35K","4,32%"
"01/01/2023","949,00","1.100,00","1.101,00","882,00","11,99K","-13,57%"
"01/12/2022","1.098,00","1.052,00","1.197,00","1.040,00","28,97K","-0,18%"
"01/11/2022","1.100,00","1.050,00","1.100,00","1.005,00","8,56K","2,80%"
"01/10/2022","1.070,00","1.187,00","1.187,00","1.010,00","44,85K","-6,14%"
"01/09/2022","1.140,00","1.161,00","1.240,00","1.110,00","52,66K","-4,36%"
"01/08/2022","1.192,00","1.119,00","1.205,00","1.110,00","11,45K","8,36%"
"01/07/2022","1.100,00","1.080,00","1.130,00","1.021,00","9,60K","1,85%"
"01/06/2022","1.080,00","1.079,00","1.143,00","1.020,00","75,03K","0,19%"
"01/05/2022","1.078,00","1.118,00","1.145,00","1.054,00","18,06K","-5,85%"
"01/04/2022","1.145,00","1.090,00","1.165,00","1.051,00","7,13K","7,01%"
"01/03/2022","1.070,00","1.159,00","1.159,00","1.000,00","19,82K","-7,76%"
"01/02/2022","1.160,00","1.156,00","1.268,00","1.105,00","33,86K","-3,33%"
"01/01/2022","1.200,00","1.053,00","1.270,00","1.053,00","22,23K","14,29%"
"01/12/2021","1.050,00","1.079,00","1.150,00","1.050,00","59,34K","-2,87%"
"01/11/2021","1.081,00","1.080,00","1.150,00","1.050,00","50,22K","-1,73%"
"01/10/2021","1.100,00","1.024,00","1.105,00","1.008,00","28,01K","7,00%"
"01/09/2021","1.028,00","962,00","1.028,00","962,00","22,74K","6,75%"
"01/08/2021","963,00","980,00","1.000,00","961,00","6,97K","-3,60%"
"01/07/2021","999,00","1.027,00","1.040,00","970,10","9,12K","-2,73%"
"01/06/2021","1.027,00","1.015,00","1.050,00","1.015,00","90,29K","0,39%"
"01/05/2021","1.023,00","983,00","1.050,00","982,00","61,83K","4,18%"
"01/04/2021","982,00","965,00","1.018,00","937,50","52,54K","1,76%"
"01/03/2021","965,00","940,00","970,00","920,10","28,17K","2,78%"
"01/02/2021","938,90","945,00","945,00","920,00","22,86K","0,41%"
"01/01/2021","935,10","902,60","950,00","897,00","30,83K","2,20%"
"01/12/2020","915,00","940,00","952,00","911,00","239,80K","-4,59%"
"01/11/2020","959,00","920,00","970,00","915,00","127,51K","4,24%"
"01/10/2020","920,00","888,90","930,00","870,20","99,10K","4,07%"
"01/09/2020","884,00","885,00","895,00","855,10","27,57K","0,68%"
"01/08/2020","878,00","861,10","884,90","843,90","9,38K","0,92%"
"01/07/2020","870,00","875,00","890,00","850,00","128,77K","0,81%"
"01/06/2020","863,00","900,00","925,00","861,00","85,18K","-4,11%"
"01/05/2020","900,00","850,00","900,00","850,00","56,24K","5,88%"
"01/04/2020","850,00","786,00","850,00","786,00","39,05K","6,92%"
"01/03/2020","795,00","935,10","940,00","684,60","108,11K","-15,78%"
"01/02/2020","944,00","956,10","964,00","925,00","31,42K","-2,68%"
"01/01/2020","970,00","929,00","976,00","900,00","56,06K","4,41%"
"01/12/2019","929,00","891,00","950,00","882,20","42,08K","0,98%"
"01/11/2019","920,00","884,00","920,00","870,20","162,42K","4,07%"
"01/10/2019","884,00","890,00","900,00","867,00","54,73K","-0,67%"
"01/09/2019","890,00","928,00","928,00","880,00","16,21K","-2,20%"
"01/08/2019","910,00","889,00","937,00","880,00","12,70K","1,11%"
"01/07/2019","900,00","865,00","908,00","860,00","26,91K","3,45%"
"01/06/2019","870,00","867,00","885,00","858,00","36,51K","0,58%"
"01/05/2019","865,00","871,00","888,00","855,10","40,32K","-0,57%"
"01/04/2019","870,00","913,00","913,00","855,00","18,74K","-2,80%"
"01/03/2019","895,10","922,00","981,00","895,00","20,90K","-3,34%"
"01/02/2019","926,00","931,00","964,00","911,00","69,06K","-0,54%"
"01/01/2019","931,00","874,10","935,00","865,40","23,24K","4,61%"
"01/12/2018","890,00","855,00","908,00","845,00","78,11K","1,71%"
"01/11/2018","875,00","844,00","910,00","844,00","21,23K","3,92%"
"01/10/2018","842,00","872,00","895,00","836,00","59,65K","-5,39%"
"01/09/2018","890,00","842,10","900,00","810,10","58,22K","3,49%"
"01/08/2018","860,00","845,00","886,00","820,00","54,23K","1,18%"
"01/07/2018","850,00","873,00","923,00","815,00","42,30K","-3,41%"
"01/06/2018","880,00","861,00","940,00","860,00","41,25K","2,17%"
"01/05/2018","861,30","993,50","993,50","850,00","47,07K","-11,67%"
"01/04/2018","975,10","950,00","996,00","950,00","25,17K","1,57%"
"01/03/2018","960,00","1.010,00","1.017,00","940,00","40,73K","-4,00%"
"01/02/2018","1.000,00","1.040,00","1.060,00","986,50","47,13K","-3,85%"
"01/01/2018","1.040,00","911,10","1.040,00","907,10","54,05K","13,04%"
"01/12/2017","920,00","910,00","920,00","885,10","294,77K","-1,08%"
"01/11/2017","930,00","873,00","949,00","860,00","59,89K","6,90%"
"01/10/2017","870,00","830,00","895,00","830,00","12,03K","4,82%"
"01/09/2017","830,00","852,00","948,00","830,00","23,40K","-2,58%"
"01/08/2017","852,00","857,90","864,00","844,10","20,62K","0,78%"
"01/07/2017","845,40","850,00","877,00","840,50","33,41K","-2,04%"
"01/06/2017","863,00","845,00","894,00","790,00","63,84K","2,13%"
"01/05/2017","845,00","812,90","845,00","792,00","65,36K","4,84%"
"01/04/2017","806,00","773,60","815,00","760,00","21,83K","4,00%"
"01/03/2017","775,00","781,00","802,00","753,20","52,72K","-3,13%"
"01/02/2017","800,00","791,00","820,00","770,00","36,10K","-0,06%"
"01/01/2017","800,50","780,00","840,00","750,30","130,05K","2,63%"
"01/12/2016","780,00","740,00","799,50","725,10","276,28K","5,41%"
"01/11/2016","740,00","700,00","745,00","700,00","72,12K","5,71%"
"01/10/2016","700,00","700,00","713,80","683,00","50,49K","0,00%"
"01/09/2016","700,00","754,00","754,00","673,00","32,27K","-7,15%"
"01/08/2016","753,90","630,00","779,00","630,00","42,45K","15,10%"
"01/07/2016","655,00","635,00","655,00","601,00","18,50K","1,55%"
"01/06/2016","645,00","649,00","650,00","608,20","16,96K","1,08%"
"01/05/2016","638,10","662,00","695,00","635,10","70,90K","-7,25%"
"01/04/2016","688,00","606,00","720,00","601,60","44,93K","12,79%"
"01/03/2016","610,00","590,00","630,00","590,00","63,63K","1,67%"
"01/02/2016","600,00","596,00","636,00","590,00","80,83K","-1,15%"
"01/01/2016","607,00","572,00","607,00","559,00","19,27K","6,30%"
"01/12/2015","571,00","572,10","588,50","561,40","1,03M","-0,70%"
"01/11/2015","575,00","570,00","595,00","570,00","82,41K","-1,68%"
