"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"11/03/2026","703,00","727,00","727,00","703,00","16,32K","-1,13%"
"10/03/2026","711,00","734,00","739,80","711,00","60,44K","2,30%"
"09/03/2026","695,00","700,00","700,00","690,00","33,99K","-3,47%"
"06/03/2026","720,00","764,00","764,00","720,00","120,28K","-3,36%"
"05/03/2026","745,00","719,00","745,00","715,00","32,40K","8,76%"
"04/03/2026","685,00","681,00","728,00","681,00","131,20K","1,33%"
"03/03/2026","676,00","725,00","725,00","675,10","99,01K","-7,14%"
"02/03/2026","728,00","731,00","765,00","728,00","274,08K","-9,00%"
"27/02/2026","800,00","812,00","814,90","800,00","41,20K","-1,23%"
"26/02/2026","810,00","820,00","820,00","810,00","7,28K","-1,22%"
"25/02/2026","820,00","827,00","830,00","820,00","4,83K","-0,67%"
"24/02/2026","825,50","830,00","834,00","825,50","17,20K","-0,53%"
"23/02/2026","829,90","826,00","835,00","826,00","17,12K","-1,08%"
"20/02/2026","839,00","838,00","839,00","830,00","21,26K","-0,56%"
"19/02/2026","843,70","840,00","844,00","830,20","3,42K","0,44%"
"18/02/2026","840,00","840,00","845,00","837,00","15,94K","-1,06%"
"17/02/2026","849,00","850,00","850,00","836,00","16,39K","-0,59%"
"16/02/2026","854,00","846,00","859,00","846,00","20,83K","1,07%"
"13/02/2026","845,00","865,00","865,00","838,00","28,89K","-0,12%"
"12/02/2026","846,00","825,00","846,00","825,00","15,44K","3,05%"
"11/02/2026","821,00","828,00","830,00","819,00","31,09K","0,12%"
"10/02/2026","820,00","830,00","833,00","820,00","8,71K","-1,20%"
"09/02/2026","830,00","835,00","839,80","826,10","3,26K","-0,52%"
"06/02/2026","834,30","830,00","839,00","821,00","51,32K","-0,32%"
"05/02/2026","837,00","842,00","843,90","830,10","80,33K","-0,36%"
"04/02/2026","840,00","841,00","849,00","840,00","39,43K","-0,94%"
"03/02/2026","848,00","840,00","850,00","837,00","6,07K","-0,24%"
"02/02/2026","850,00","844,10","860,00","835,00","21,99K","-1,73%"
"30/01/2026","865,00","850,00","865,00","842,00","18,37K","0,12%"
"29/01/2026","864,00","890,00","890,00","861,00","5,40K","-2,37%"
"28/01/2026","885,00","860,00","885,00","842,50","19,71K","1,72%"
"27/01/2026","870,00","829,00","870,00","825,00","22,13K","4,69%"
"26/01/2026","831,00","869,00","869,00","825,00","29,01K","-5,46%"
"23/01/2026","879,00","884,00","889,00","869,10","15,63K","-0,68%"
"22/01/2026","885,00","880,00","889,90","872,00","13,92K","1,84%"
"21/01/2026","869,00","870,00","874,90","866,20","7,89K","-0,91%"
"20/01/2026","877,00","884,00","884,00","870,00","10,29K","-0,79%"
"19/01/2026","884,00","886,00","900,00","882,50","10,88K","-1,78%"
"16/01/2026","900,00","888,00","900,00","888,00","13,19K","1,35%"
"15/01/2026","888,00","910,00","910,00","881,00","18,51K","-2,51%"
"13/01/2026","910,90","910,00","915,00","910,00","18,31K","-0,45%"
"12/01/2026","915,00","908,60","929,00","908,60","14,41K","-1,61%"
"09/01/2026","930,00","911,00","930,00","905,20","30,46K","0,00%"
"08/01/2026","930,00","946,00","946,00","924,00","36,97K","-1,69%"
"07/01/2026","946,00","943,00","946,00","941,20","8,03K","-0,42%"
