"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"28/06/2018","293,00","293,00","293,00","293,00","0,05K","-2,98%"
"27/06/2018","302,00","302,00","302,00","302,00","0,10K","-4,61%"
"26/06/2018","316,60","322,00","323,00","316,10","5,45K","-1,98%"
"25/06/2018","323,00","323,00","328,00","323,00","16,09K","-1,79%"
"22/06/2018","328,90","328,90","328,90","328,90","0,02K","1,51%"
"21/06/2018","324,00","324,00","324,00","324,00","0,20K","-0,31%"
"20/06/2018","325,00","326,90","327,00","323,00","0,68K","0,00%"
"18/06/2018","325,00","325,00","325,00","325,00","0,13K","0,00%"
"14/06/2018","325,00","325,00","325,00","325,00","11,11K","-0,58%"
"13/06/2018","326,90","319,25","326,90","319,25","0,20K","1,21%"
"12/06/2018","323,00","320,50","323,00","320,20","7,01K","-0,62%"
"11/06/2018","325,00","325,00","325,00","325,00","3,00K","0,60%"
"08/06/2018","323,05","323,05","323,05","323,05","5,00K","0,02%"
"07/06/2018","323,00","323,00","323,00","320,00","0,25K","1,25%"
"06/06/2018","319,00","314,50","319,00","314,50","0,03K","-1,24%"
"05/06/2018","323,00","320,00","323,00","320,00","1,62K","0,78%"
"01/06/2018","320,50","323,00","323,00","320,50","10,41K","-0,77%"
"31/05/2018","323,00","323,00","323,00","323,00","28,50K","2,52%"
"29/05/2018","315,05","324,50","329,00","315,05","9,62K","-1,55%"
"28/05/2018","320,00","313,20","320,00","313,20","2,50K","-0,31%"
"25/05/2018","321,00","320,00","321,00","318,10","5,75K","0,31%"
"24/05/2018","320,00","320,00","320,00","320,00","0,02K","-0,31%"
"23/05/2018","321,00","319,00","321,00","319,00","0,53K","0,31%"
"18/05/2018","320,00","321,00","321,00","320,00","3,87K","0,00%"
"16/05/2018","320,00","320,00","320,00","316,00","4,39K","-0,31%"
"15/05/2018","321,00","321,50","321,50","321,00","2,00K","0,31%"
"14/05/2018","320,00","321,00","321,00","320,00","1,86K","-0,62%"
"11/05/2018","322,00","323,00","326,00","322,00","2,37K","1,58%"
"10/05/2018","317,00","313,00","317,00","313,00","0,04K","-1,25%"
"09/05/2018","321,00","320,90","321,00","320,00","5,23K","2,23%"
"08/05/2018","314,00","320,00","320,00","314,00","7,02K","-1,64%"
"07/05/2018","319,25","320,00","320,00","310,00","91,34K","-0,23%"
"04/05/2018","320,00","318,20","320,00","318,10","0,34K","-1,51%"
"03/05/2018","324,90","324,90","324,90","324,90","0,13K","0,00%"
"02/05/2018","324,90","316,75","325,00","316,75","1,83K","1,52%"
"30/04/2018","320,05","317,00","326,00","316,20","8,40K","0,49%"
