"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"08/03/2026","376,50","375,00","388,50","365,00","14,83K","-0,92%"
"01/03/2026","380,00","375,00","392,80","340,00","142,98K","-5,00%"
"22/02/2026","400,00","396,05","406,90","393,10","46,57K","-1,23%"
"15/02/2026","405,00","408,00","408,50","395,00","143,54K","-0,71%"
"08/02/2026","407,90","391,10","407,90","386,25","27,70K","1,97%"
"01/02/2026","400,00","399,00","400,00","381,00","24,46K","0,25%"
"25/01/2026","399,00","392,05","400,00","390,10","7,07K","2,05%"
"18/01/2026","391,00","405,00","407,85","390,00","109,23K","-3,46%"
"11/01/2026","405,00","410,10","414,00","401,05","82,71K","-0,74%"
"04/01/2026","408,00","405,50","416,90","405,50","105,11K","-1,33%"
"28/12/2025","413,50","410,00","417,00","395,90","428,79K","-0,12%"
"21/12/2025","414,00","420,90","420,90","407,25","61,79K","-1,43%"
"14/12/2025","420,00","415,00","420,00","408,70","79,34K","1,27%"
"07/12/2025","414,75","416,90","416,90","405,15","6,61K","-0,06%"
"30/11/2025","415,00","409,00","415,00","402,00","101,98K","3,23%"
"23/11/2025","402,00","401,00","411,80","401,00","25,82K","-1,95%"
"16/11/2025","410,00","415,20","420,00","401,00","25,32K","-2,38%"
"09/11/2025","420,00","427,80","427,80","410,10","12,16K","-1,96%"
"02/11/2025","428,40","430,00","432,00","417,00","26,72K","0,80%"
"26/10/2025","425,00","425,80","425,80","410,00","41,72K","-0,23%"
"19/10/2025","426,00","418,00","426,00","413,00","114,72K","2,16%"
"12/10/2025","417,00","406,10","417,00","398,00","29,51K","3,73%"
"05/10/2025","402,00","427,35","427,35","402,00","63,46K","-4,06%"
"28/09/2025","419,00","417,50","428,00","393,00","78,75K","-2,56%"
"21/09/2025","430,00","427,80","444,00","415,00","234,86K","0,51%"
"14/09/2025","427,80","418,90","427,80","408,05","149,22K","2,94%"
"07/09/2025","415,60","425,00","427,00","402,00","49,11K","-2,90%"
"31/08/2025","428,00","430,10","439,80","423,40","25,38K","-0,47%"
"24/08/2025","430,00","429,40","430,00","415,10","120,73K","0,14%"
"17/08/2025","429,40","430,00","430,00","422,00","39,98K","-0,12%"
"10/08/2025","429,90","437,00","438,40","422,00","44,14K","-1,62%"
"03/08/2025","437,00","427,00","450,00","425,00","246,41K","-1,14%"
"27/07/2025","442,05","439,95","459,00","431,50","347,51K","1,04%"
"20/07/2025","437,50","412,00","439,90","410,00","40,88K","6,68%"
"13/07/2025","410,10","407,00","410,10","405,00","15,91K","-0,63%"
"06/07/2025","412,70","418,95","418,95","403,20","12,74K","0,66%"
"29/06/2025","410,00","408,47","427,00","408,42","35,15K","-4,23%"
"22/06/2025","428,11","406,45","433,03","399,57","18,75K","5,33%"
"15/06/2025","406,45","411,82","411,82","393,66","39,35K","0,00%"
"08/06/2025","406,45","418,17","418,17","394,64","14,59K","-1,82%"
"01/06/2025","414,00","402,00","429,95","400,00","57,47K","3,24%"
"25/05/2025","401,00","400,00","409,90","392,00","39,11K","0,25%"
"18/05/2025","400,00","403,00","412,00","398,10","50,74K","0,00%"
"11/05/2025","400,00","412,10","418,90","400,00","7,24K","-3,59%"
"04/05/2025","414,90","409,00","415,00","399,00","23,07K","1,44%"
"27/04/2025","409,00","405,15","411,00","400,60","29,09K","1,24%"
