"Date","Price","Open","High","Low","Vol.","Change %"
"06/14/2022","319.33","325.32","325.32","319.33","1.84K","-4.18%"
"06/13/2022","333.25","325.32","333.25","324.32","0.17K","-0.52%"
"06/10/2022","335.00","330.00","335.00","330.00","1.93K","0.00%"
"06/08/2022","335.00","335.00","335.00","335.00","0.02K","1.52%"
"06/07/2022","330.00","330.00","335.00","330.00","5.68K","-1.49%"
"06/03/2022","335.00","321.00","335.00","321.00","2.04K","4.04%"
"06/01/2022","322.00","322.10","322.10","322.00","0.05K","0.00%"
"05/31/2022","322.00","320.00","322.10","320.00","0.38K","-2.25%"
"05/30/2022","329.40","329.50","329.50","329.40","0.04K","0.73%"
"05/27/2022","327.00","329.70","329.70","320.00","2.30K","2.19%"
"05/26/2022","320.00","316.00","320.00","301.20","2.45K","0.00%"
"05/25/2022","320.00","320.00","320.00","315.05","0.65K","1.59%"
"05/24/2022","315.00","320.20","324.50","315.00","1.22K","-1.56%"
"05/23/2022","320.00","330.00","330.00","320.00","0.30K","-3.03%"
"05/20/2022","330.00","328.00","330.00","325.00","1.87K","0.30%"
"05/19/2022","329.00","332.00","332.00","329.00","0.40K","-0.89%"
"05/18/2022","331.95","330.00","331.95","322.10","1.03K","-0.02%"
"05/17/2022","332.00","336.90","336.90","330.00","0.49K","-0.90%"
"05/13/2022","335.00","335.00","336.00","335.00","0.31K","0.00%"
"05/12/2022","335.00","330.05","336.90","330.05","0.11K","0.00%"
"05/11/2022","335.00","327.50","335.00","327.50","0.00K","3.08%"
"05/10/2022","325.00","338.10","338.10","325.00","6.60K","-3.56%"
"05/09/2022","337.00","337.00","337.00","337.00","0.01K","-2.03%"
"05/06/2022","344.00","344.00","344.00","344.00","0.00K","0.58%"
"05/05/2022","342.00","342.00","342.00","342.00","0.01K","-0.70%"
"05/04/2022","344.40","344.40","344.40","344.40","0.00K","1.29%"
"04/29/2022","340.00","341.00","341.00","340.00","2.97K","-0.29%"
"04/28/2022","341.00","341.00","341.00","341.00","0.00K","1.34%"
"04/27/2022","336.50","338.10","338.10","336.50","0.15K","-2.46%"
"04/26/2022","345.00","345.00","345.00","345.00","3.58K","-0.23%"
"04/25/2022","345.80","345.80","345.80","345.80","0.04K","2.58%"
"04/22/2022","337.10","337.30","337.30","337.10","0.01K","0.03%"
"04/21/2022","337.00","336.30","337.15","336.30","1.33K","-2.32%"
"04/20/2022","345.00","345.00","345.00","345.00","2.47K","0.00%"
"04/19/2022","345.00","344.00","345.00","335.00","1.79K","0.00%"
"04/18/2022","345.00","344.80","345.00","344.80","4.60K","0.29%"
"04/15/2022","344.00","344.10","344.10","344.00","2.35K","0.00%"
"04/13/2022","344.00","344.00","344.00","344.00","2.87K","0.00%"
"04/12/2022","344.00","340.00","344.00","336.00","0.08K","0.00%"
"04/11/2022","344.00","344.00","344.00","344.00","0.10K","0.00%"
"04/08/2022","344.00","340.00","345.00","340.00","10.01K","-0.12%"
"04/07/2022","344.40","344.00","344.40","335.20","0.40K","0.12%"
"04/06/2022","344.00","345.00","345.00","343.00","15.41K","0.58%"
"04/05/2022","342.00","342.00","342.00","342.00","0.10K","-0.58%"
"03/31/2022","344.00","346.00","346.00","344.00","11.04K","0.29%"
"03/30/2022","343.00","343.00","343.00","343.00","0.16K","0.88%"
"03/29/2022","340.00","345.00","348.00","340.00","2.94K","0.00%"
"03/25/2022","340.00","332.00","340.00","330.00","3.11K","2.26%"
"03/24/2022","332.50","332.50","332.50","332.50","3.09K","0.76%"
"03/23/2022","330.00","343.00","344.00","330.00","1.84K","-2.94%"
"03/22/2022","340.00","341.00","341.00","340.00","10.21K","-0.87%"
"03/21/2022","343.00","342.00","343.00","340.00","3.49K","-0.58%"
"03/18/2022","345.00","342.00","345.00","342.00","2.24K","0.86%"
"03/17/2022","342.05","342.00","342.05","342.00","1.71K","0.01%"
"03/16/2022","342.00","342.00","342.00","342.00","0.50K","0.59%"
"03/15/2022","340.00","342.00","342.00","340.00","0.18K","-0.58%"
"03/14/2022","342.00","350.00","350.00","342.00","0.05K","-0.87%"
"03/11/2022","345.00","345.00","345.00","340.00","5.41K","1.17%"
"03/10/2022","341.00","341.00","341.00","341.00","7.50K","0.00%"
"03/09/2022","341.00","338.00","347.90","338.00","13.91K","0.29%"
"03/08/2022","340.00","350.00","350.00","331.00","26.60K","-3.41%"
"03/07/2022","352.00","352.00","352.00","352.00","0.11K","-0.85%"
"03/04/2022","355.00","350.00","355.00","340.10","3.32K","0.28%"
"03/02/2022","354.00","350.00","354.00","350.00","0.15K","-0.28%"
"03/01/2022","355.00","355.00","355.00","355.00","0.01K","-0.84%"
"02/28/2022","358.00","358.00","358.00","358.00","0.10K","0.85%"
"02/25/2022","355.00","326.20","355.00","326.20","2.61K","2.31%"
"02/24/2022","347.00","347.85","348.00","337.00","5.56K","-0.86%"
"02/23/2022","350.00","347.50","350.00","347.50","5.02K","-0.28%"
"02/22/2022","351.00","351.60","351.60","351.00","1.21K","-1.13%"
"02/18/2022","355.00","350.00","355.00","350.00","10.10K","1.72%"
"02/17/2022","349.00","348.40","349.00","348.25","1.57K","0.29%"
"02/16/2022","348.00","348.00","348.00","348.00","0.02K","-2.93%"
"02/15/2022","358.50","358.50","358.50","358.50","0.00K","2.43%"
"02/14/2022","350.00","353.10","359.50","350.00","3.91K","-1.41%"
"02/11/2022","355.00","358.40","358.40","354.00","0.42K","-0.95%"
"02/10/2022","358.40","358.50","358.50","350.00","452.73K","2.37%"
"02/09/2022","350.10","349.00","350.10","349.00","1.90K","1.18%"
"02/08/2022","346.00","346.00","346.00","346.00","0.20K","-1.14%"
"02/07/2022","350.00","350.00","350.00","350.00","0.01K","0.00%"
"02/04/2022","350.00","355.00","355.00","350.00","5.66K","0.00%"
"02/03/2022","350.00","349.50","350.00","349.50","0.14K","0.00%"
"02/02/2022","350.00","347.00","350.00","347.00","1.85K","1.01%"
"02/01/2022","346.50","346.55","349.00","346.50","0.03K","0.43%"
"01/31/2022","345.00","345.00","345.00","345.00","0.00K","-1.15%"
"01/28/2022","349.00","347.00","349.00","347.00","0.93K","0.58%"
"01/27/2022","347.00","345.10","347.00","345.10","2.19K","-0.57%"
"01/26/2022","349.00","342.00","349.00","342.00","0.09K","-0.29%"
"01/25/2022","350.00","349.00","350.00","348.00","1.36K","0.29%"
"01/24/2022","349.00","350.00","350.00","348.00","2.89K","-1.13%"
"01/21/2022","353.00","350.00","353.00","350.00","12.84K","0.86%"
"01/20/2022","350.00","354.00","354.00","350.00","0.21K","-1.13%"
"01/19/2022","354.00","355.50","355.50","345.00","10.50K","-0.28%"
"01/18/2022","355.00","351.00","359.00","351.00","22.17K","1.57%"
"01/17/2022","349.50","345.00","350.00","345.00","0.02K","-0.14%"
"01/14/2022","350.00","350.00","350.00","348.05","11.51K","0.57%"
"01/13/2022","348.00","348.00","350.00","348.00","5.22K","-0.27%"
"01/12/2022","348.95","347.80","348.95","347.00","5.00K","-0.01%"
"01/10/2022","349.00","349.00","349.00","349.00","0.01K","0.01%"
"01/07/2022","348.95","336.10","348.95","335.00","15.74K","2.63%"
"01/06/2022","340.00","339.00","340.00","336.10","0.54K","1.80%"
"01/05/2022","334.00","334.00","334.00","334.00","0.06K","-1.47%"
"12/31/2021","339.00","337.90","339.00","333.20","16.63K","0.59%"
"12/30/2021","337.00","337.00","337.00","337.00","5.00K","-0.27%"
"12/29/2021","337.90","338.00","338.00","337.90","2.00K","2.36%"
"12/28/2021","330.10","337.00","337.00","330.10","0.72K","-1.17%"
"12/27/2021","334.00","332.00","334.00","330.50","3.94K","0.01%"
"12/24/2021","333.95","333.95","333.95","333.95","2.20K","-0.01%"
"12/23/2021","334.00","331.90","334.00","331.90","3.80K","-0.27%"
"12/22/2021","334.90","330.05","334.90","330.05","1.31K","-0.03%"
"12/21/2021","335.00","331.00","335.00","330.00","0.82K","0.60%"
"12/20/2021","333.00","330.00","333.00","330.00","0.33K","-1.48%"
"12/16/2021","338.00","332.00","338.00","332.00","0.21K","0.00%"
"12/15/2021","338.00","338.90","338.90","338.00","0.28K","-0.29%"
"12/13/2021","339.00","339.00","339.00","339.00","0.20K","0.00%"
"12/10/2021","339.00","334.00","339.00","334.00","2.42K","1.50%"
"12/09/2021","334.00","332.95","334.00","330.00","0.81K","0.30%"
"12/08/2021","333.00","329.00","333.00","329.00","0.15K","0.91%"
"12/07/2021","330.00","330.00","330.00","330.00","0.00K","-0.30%"
"12/06/2021","331.00","332.00","337.50","331.00","0.45K","-1.19%"
"12/03/2021","335.00","330.70","335.00","330.00","6.05K","0.30%"
"12/02/2021","334.00","333.50","334.00","330.50","0.31K","0.09%"
"12/01/2021","333.70","334.00","334.00","333.70","0.17K","-0.39%"
"11/30/2021","335.00","329.45","335.00","323.00","5.44K","1.68%"
