symbol,trade_date,price,open,high,low,volume,change_pct,source_name,scraped_at
AKDITAL,2026-03-09,1009.0,,1035.0,1000.0,29680.0,-5.26,medias24,2026-03-10 22:15:28.683210
AKDITAL,2026-03-06,1065.0,,1138.0,1065.0,37323.0,-2.29,medias24,2026-03-10 22:15:28.683785
AKDITAL,2026-03-05,1090.0,,1090.0,1021.0,37006.0,9.0,medias24,2026-03-10 22:15:28.684384
AKDITAL,2026-03-04,1000.0,,1045.0,982.0,39376.0,2.04,medias24,2026-03-10 22:15:28.684903
AKDITAL,2026-03-03,980.0,,1029.0,975.0,46508.0,-6.67,medias24,2026-03-10 22:15:28.685398
AKDITAL,2026-03-02,1050.0,,1099.0,1045.0,22256.0,-7.49,medias24,2026-03-10 22:15:28.685951
AKDITAL,2026-02-27,1135.0,,1175.0,1135.0,13489.0,-2.99,medias24,2026-03-10 22:15:28.686781
AKDITAL,2026-02-26,1170.0,,1173.0,1165.0,5685.0,0.34,medias24,2026-03-10 22:15:28.687560
AKDITAL,2026-02-25,1166.0,,1175.0,1160.0,4925.0,0.0,medias24,2026-03-10 22:15:28.688095
AKDITAL,2026-02-24,1166.0,,1175.0,1150.0,23630.0,2.01,medias24,2026-03-10 22:15:28.688581
AKDITAL,2026-02-23,1143.0,,1151.0,1132.0,8908.0,-0.7,medias24,2026-03-10 22:15:28.689051
AKDITAL,2026-02-20,1151.0,,1151.0,1131.0,34368.0,1.32,medias24,2026-03-10 22:15:28.689513
AKDITAL,2026-02-19,1136.0,,1136.0,1128.0,13143.0,0.09,medias24,2026-03-10 22:15:28.689966
AKDITAL,2026-02-18,1135.0,,1138.0,1121.0,1549.0,0.8,medias24,2026-03-10 22:15:28.690415
AKDITAL,2026-02-17,1126.0,,1140.0,1117.0,9244.0,-1.92,medias24,2026-03-10 22:15:28.690865
AKDITAL,2026-02-16,1148.0,,1148.0,1112.0,6900.0,4.36,medias24,2026-03-10 22:15:28.691311
AKDITAL,2026-02-13,1100.0,,1120.0,1100.0,34200.0,-0.63,medias24,2026-03-10 22:15:28.691902
AKDITAL,2026-02-12,1107.0,,1130.0,1091.0,28560.0,1.75,medias24,2026-03-10 22:15:28.692764
ALLIANCES,2026-03-09,391.5,,395.0,378.05,69524.0,-6.56,medias24,2026-03-10 22:15:35.898506
ALLIANCES,2026-03-06,419.0,,450.0,410.0,46591.0,-3.01,medias24,2026-03-10 22:15:35.899083
ALLIANCES,2026-03-05,432.0,,432.0,408.0,31780.0,7.73,medias24,2026-03-10 22:15:35.899624
ALLIANCES,2026-03-04,401.0,,429.0,400.0,73262.0,1.22,medias24,2026-03-10 22:15:35.900145
ALLIANCES,2026-03-03,396.15,,420.0,396.15,168304.0,-10.0,medias24,2026-03-10 22:15:35.900663
ALLIANCES,2026-03-02,440.15,,455.0,440.15,69518.0,-9.99,medias24,2026-03-10 22:15:35.901199
ALLIANCES,2026-02-27,489.0,,510.0,489.0,20406.0,-2.2,medias24,2026-03-10 22:15:35.901800
ALLIANCES,2026-02-26,500.0,,509.0,500.0,5135.0,-1.77,medias24,2026-03-10 22:15:35.902353
ALLIANCES,2026-02-25,509.0,,530.0,500.0,15288.0,0.47,medias24,2026-03-10 22:15:35.902855
ALLIANCES,2026-02-24,506.6,,511.6,506.6,5610.0,-1.13,medias24,2026-03-10 22:15:35.903357
ALLIANCES,2026-02-23,512.4,,522.0,511.0,8304.0,-1.46,medias24,2026-03-10 22:15:35.903861
ALLIANCES,2026-02-20,520.0,,525.0,510.0,17980.0,1.36,medias24,2026-03-10 22:15:35.904358
ALLIANCES,2026-02-19,513.0,,533.7,513.0,23320.0,-1.54,medias24,2026-03-10 22:15:35.905031
ALLIANCES,2026-02-18,521.0,,533.0,507.0,17651.0,0.97,medias24,2026-03-10 22:15:35.905575
