symbol,snapshot_time,bid_price,bid_qty,ask_price,ask_qty,ordres_achat,ordres_vente,source_name
AKDITAL,2026-03-10 22:15:32.139517,1060.0,5.0,1080.0,3.0,1.0,1.0,medias24
AKDITAL,2026-03-10 22:15:32.139517,1050.0,1130.0,1089.0,1.0,9.0,1.0,medias24
AKDITAL,2026-03-10 22:15:32.139517,1040.0,25.0,1090.0,155.0,2.0,4.0,medias24
AKDITAL,2026-03-10 22:15:32.139517,1030.0,1.0,1094.0,5.0,1.0,1.0,medias24
AKDITAL,2026-03-10 22:15:32.139517,1025.0,400.0,1097.0,20.0,1.0,1.0,medias24
AKDITAL,2026-03-10 22:15:32.139517,1020.0,111.0,1100.0,21.0,6.0,3.0,medias24
AKDITAL,2026-03-10 22:15:32.139517,1015.0,206.0,1107.0,10.0,4.0,1.0,medias24
AKDITAL,2026-03-10 22:15:32.139517,1014.0,20.0,1111.0,6.0,1.0,1.0,medias24
AKDITAL,2026-03-10 22:15:32.139517,1013.0,22.0,1115.0,1.0,2.0,1.0,medias24
AKDITAL,2026-03-10 22:15:32.139517,1012.0,30.0,1120.0,70.0,1.0,2.0,medias24
ALLIANCES,2026-03-10 22:15:39.192223,415.15,3.0,417.5,200.0,1.0,1.0,medias24
ALLIANCES,2026-03-10 22:15:39.192223,410.0,100.0,417.95,1.0,1.0,1.0,medias24
ALLIANCES,2026-03-10 22:15:39.192223,405.0,202.0,418.0,112.0,2.0,1.0,medias24
ALLIANCES,2026-03-10 22:15:39.192223,400.0,640.0,419.0,539.0,3.0,1.0,medias24
ALLIANCES,2026-03-10 22:15:39.192223,397.2,227.0,422.95,1.0,1.0,1.0,medias24
ALLIANCES,2026-03-10 22:15:39.192223,396.0,70.0,427.0,125.0,1.0,1.0,medias24
ALLIANCES,2026-03-10 22:15:39.192223,394.0,50.0,430.0,30.0,1.0,2.0,medias24
ALLIANCES,2026-03-10 22:15:39.192223,393.2,55.0,435.0,15.0,2.0,1.0,medias24
ALLIANCES,2026-03-10 22:15:39.192223,392.0,7.0,436.5,20.0,2.0,1.0,medias24
ALLIANCES,2026-03-10 22:15:39.192223,385.0,100.0,437.0,20.0,2.0,1.0,medias24
ATW,2026-03-10 22:15:46.448104,690.0,238.0,700.0,15.0,5.0,1.0,medias24
ATW,2026-03-10 22:15:46.448104,683.0,10.0,704.8,309.0,1.0,1.0,medias24
ATW,2026-03-10 22:15:46.448104,682.0,262.0,704.9,500.0,3.0,1.0,medias24
ATW,2026-03-10 22:15:46.448104,681.0,55.0,705.0,15.0,2.0,1.0,medias24
ATW,2026-03-10 22:15:46.448104,680.0,1608.0,709.0,3.0,9.0,1.0,medias24
ATW,2026-03-10 22:15:46.448104,675.0,34.0,709.9,285.0,6.0,1.0,medias24
ATW,2026-03-10 22:15:46.448104,0.0,0.0,710.0,815.0,0.0,3.0,medias24
ATW,2026-03-10 22:15:46.448104,0.0,0.0,711.0,198.0,0.0,1.0,medias24
ATW,2026-03-10 22:15:46.448104,0.0,0.0,715.0,85.0,0.0,2.0,medias24
ATW,2026-03-10 22:15:46.448104,0.0,0.0,720.0,249.0,0.0,3.0,medias24
CIH,2026-03-10 22:15:54.874061,362.0,174.0,380.0,200.0,1.0,1.0,medias24
CIH,2026-03-10 22:15:54.874061,361.0,315.0,387.9,625.0,1.0,1.0,medias24
CIH,2026-03-10 22:15:54.874061,360.0,90.0,388.45,1.0,4.0,1.0,medias24
CIH,2026-03-10 22:15:54.874061,358.0,20.0,388.6,100.0,1.0,1.0,medias24
CIH,2026-03-10 22:15:54.874061,355.1,40.0,390.0,83.0,1.0,2.0,medias24
CIH,2026-03-10 22:15:54.874061,355.0,5.0,394.0,26.0,1.0,1.0,medias24
CIH,2026-03-10 22:15:54.874061,350.2,30.0,395.0,13.0,1.0,1.0,medias24
CIH,2026-03-10 22:15:54.874061,350.0,243.0,399.0,150.0,3.0,1.0,medias24
CIH,2026-03-10 22:15:54.874061,349.6,3.0,400.0,397.0,1.0,2.0,medias24
CIH,2026-03-10 22:15:54.874061,346.0,36.0,406.9,210.0,1.0,1.0,medias24
ADDOHA-P,2026-03-10 22:16:01.553422,28.85,50.0,29.7,800.0,1.0,1.0,medias24
ADDOHA-P,2026-03-10 22:16:01.553422,28.8,1000.0,30.0,7184.0,1.0,5.0,medias24
ADDOHA-P,2026-03-10 22:16:01.553422,28.56,3150.0,30.1,100.0,1.0,1.0,medias24
ADDOHA-P,2026-03-10 22:16:01.553422,28.51,50.0,30.5,430.0,1.0,2.0,medias24
ADDOHA-P,2026-03-10 22:16:01.553422,28.5,125.0,0.0,0.0,2.0,0.0,medias24
ADDOHA-P,2026-03-10 22:16:01.553422,28.0,1260.0,0.0,0.0,8.0,0.0,medias24
ADDOHA-P,2026-03-10 22:16:01.553422,27.9,33.0,0.0,0.0,1.0,0.0,medias24
ADDOHA-P,2026-03-10 22:16:01.553422,27.5,9.0,0.0,0.0,1.0,0.0,medias24
ADDOHA-P,2026-03-10 22:16:01.553422,27.0,400.0,0.0,0.0,2.0,0.0,medias24
ADDOHA-P,2026-03-10 22:16:01.553422,0.0,0.0,0.0,0.0,0.0,0.0,medias24
IAM,2026-03-10 22:16:09.133164,92.5,250.0,93.9,500.0,1.0,1.0,medias24
IAM,2026-03-10 22:16:09.133164,92.0,3605.0,93.98,2169.0,6.0,2.0,medias24
IAM,2026-03-10 22:16:09.133164,91.5,263.0,94.0,2500.0,3.0,1.0,medias24
IAM,2026-03-10 22:16:09.133164,91.1,700.0,94.89,1.0,1.0,1.0,medias24
IAM,2026-03-10 22:16:09.133164,91.0,672.0,94.99,1500.0,5.0,1.0,medias24
IAM,2026-03-10 22:16:09.133164,90.75,10.0,95.0,90.0,1.0,1.0,medias24
IAM,2026-03-10 22:16:09.133164,90.5,262.0,95.77,10.0,2.0,1.0,medias24
IAM,2026-03-10 22:16:09.133164,90.4,1090.0,96.0,868.0,1.0,3.0,medias24
IAM,2026-03-10 22:16:09.133164,0.0,0.0,96.3,1200.0,0.0,1.0,medias24
IAM,2026-03-10 22:16:09.133164,0.0,0.0,96.5,500.0,0.0,1.0,medias24
JET CONTRACTORS,2026-03-10 22:16:15.642917,2090.0,50.0,2185.0,5.0,1.0,1.0,medias24
JET CONTRACTORS,2026-03-10 22:16:15.642917,2080.0,8.0,2205.0,500.0,2.0,1.0,medias24
JET CONTRACTORS,2026-03-10 22:16:15.642917,2051.0,3.0,2299.0,5.0,1.0,1.0,medias24
JET CONTRACTORS,2026-03-10 22:16:15.642917,2050.0,101.0,2320.0,10.0,5.0,1.0,medias24
JET CONTRACTORS,2026-03-10 22:16:15.642917,2010.0,2.0,2375.0,16.0,2.0,2.0,medias24
JET CONTRACTORS,2026-03-10 22:16:15.642917,2006.0,9.0,0.0,0.0,1.0,0.0,medias24
JET CONTRACTORS,2026-03-10 22:16:15.642917,0.0,0.0,0.0,0.0,0.0,0.0,medias24
JET CONTRACTORS,2026-03-10 22:16:15.642917,0.0,0.0,0.0,0.0,0.0,0.0,medias24
JET CONTRACTORS,2026-03-10 22:16:15.642917,0.0,0.0,0.0,0.0,0.0,0.0,medias24
JET CONTRACTORS,2026-03-10 22:16:15.642917,0.0,0.0,0.0,0.0,0.0,0.0,medias24
SGTM,2026-03-10 22:16:26.432384,700.0,600.0,730.0,150.0,7.0,4.0,medias24
SGTM,2026-03-10 22:16:26.432384,600.0,1.0,735.0,5.0,1.0,1.0,medias24
SGTM,2026-03-10 22:16:26.432384,0.0,0.0,739.0,30.0,0.0,1.0,medias24
SGTM,2026-03-10 22:16:26.432384,0.0,0.0,740.0,3.0,0.0,1.0,medias24
SGTM,2026-03-10 22:16:26.432384,0.0,0.0,744.0,500.0,0.0,1.0,medias24
SGTM,2026-03-10 22:16:26.432384,0.0,0.0,744.9,151.0,0.0,2.0,medias24
SGTM,2026-03-10 22:16:26.432384,0.0,0.0,750.0,212.0,0.0,4.0,medias24
SGTM,2026-03-10 22:16:26.432384,0.0,0.0,751.0,13.0,0.0,1.0,medias24
SGTM,2026-03-10 22:16:26.432384,0.0,0.0,0.0,0.0,0.0,0.0,medias24
SGTM,2026-03-10 22:16:26.432384,0.0,0.0,0.0,0.0,0.0,0.0,medias24
SODEP,2026-03-10 22:16:33.538921,750.0,70.0,755.0,15.0,1.0,1.0,medias24
SODEP,2026-03-10 22:16:33.538921,745.0,8.0,770.8,50.0,1.0,1.0,medias24
SODEP,2026-03-10 22:16:33.538921,741.0,13.0,774.9,1.0,1.0,1.0,medias24
SODEP,2026-03-10 22:16:33.538921,740.0,675.0,788.0,10.0,1.0,1.0,medias24
SODEP,2026-03-10 22:16:33.538921,725.0,5.0,790.0,45.0,1.0,2.0,medias24
SODEP,2026-03-10 22:16:33.538921,720.0,46.0,798.0,83.0,3.0,1.0,medias24
SODEP,2026-03-10 22:16:33.538921,705.0,40.0,800.0,31.0,2.0,2.0,medias24
SODEP,2026-03-10 22:16:33.538921,702.1,4.0,807.0,15.0,1.0,1.0,medias24
SODEP,2026-03-10 22:16:33.538921,0.0,0.0,810.0,15.0,0.0,2.0,medias24
SODEP,2026-03-10 22:16:33.538921,0.0,0.0,829.0,12.0,0.0,2.0,medias24
TAQA,2026-03-10 22:16:41.844555,1800.0,7.0,1819.0,255.0,2.0,1.0,medias24
TAQA,2026-03-10 22:16:41.844555,1790.0,2.0,1879.0,2.0,1.0,1.0,medias24
TAQA,2026-03-10 22:16:41.844555,1751.0,1.0,1889.0,300.0,1.0,1.0,medias24
