"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","1,065.00","1,051.00","1,138.00","975.00","182.47K","-6.17%"
"02/22/2026","1,135.00","1,150.00","1,175.00","1,132.00","56.64K","-1.39%"
"02/15/2026","1,151.00","1,120.00","1,151.00","1,112.00","65.20K","4.64%"
"02/08/2026","1,100.00","1,140.00","1,140.00","1,088.00","96.23K","-1.70%"
"02/01/2026","1,119.00","1,160.00","1,169.00","1,080.00","74.33K","-2.95%"
"01/25/2026","1,153.00","1,210.00","1,250.00","1,150.00","48.45K","-3.92%"
"01/18/2026","1,200.00","1,270.00","1,272.00","1,190.00","36.14K","-4.31%"
"01/11/2026","1,254.00","1,294.00","1,297.00","1,226.00","46.37K","-2.49%"
"01/04/2026","1,286.00","1,271.00","1,313.00","1,195.00","107.04K","3.71%"
"12/28/2025","1,240.00","1,134.00","1,240.00","1,067.00","130.46K","13.76%"
"12/21/2025","1,090.00","1,180.00","1,190.00","1,090.00","360.66K","-7.63%"
"12/14/2025","1,180.00","1,250.00","1,250.00","1,161.00","210.98K","-4.07%"
"12/07/2025","1,230.00","1,290.00","1,290.00","1,230.00","167.30K","-1.76%"
"11/30/2025","1,252.00","1,340.00","1,340.00","1,252.00","104.97K","-7.26%"
"11/23/2025","1,350.00","1,255.00","1,350.00","1,255.00","67.74K","8.87%"
"11/16/2025","1,240.00","1,350.00","1,350.00","1,240.00","42.07K","-6.77%"
"11/09/2025","1,330.00","1,367.00","1,370.00","1,315.00","36.15K","-4.32%"
"11/02/2025","1,390.00","1,484.00","1,484.00","1,390.00","30.42K","-3.47%"
"10/26/2025","1,440.00","1,389.00","1,480.00","1,375.00","112.26K","5.11%"
"10/19/2025","1,370.00","1,254.00","1,384.00","1,254.00","91.01K","10.93%"
"10/12/2025","1,235.00","1,300.00","1,320.00","1,159.00","226.26K","-3.89%"
"10/05/2025","1,285.00","1,380.00","1,380.00","1,282.00","129.79K","-6.41%"
"09/28/2025","1,373.00","1,470.00","1,475.00","1,212.00","311.80K","-7.23%"
"09/21/2025","1,480.00","1,540.00","1,540.00","1,470.00","83.01K","-3.90%"
"09/14/2025","1,540.00","1,550.00","1,550.00","1,500.00","44.78K","-0.65%"
"09/07/2025","1,550.00","1,575.00","1,580.00","1,515.00","57.83K","-1.90%"
"08/31/2025","1,580.00","1,589.00","1,590.00","1,550.00","48.53K","0.57%"
"08/24/2025","1,571.00","1,545.00","1,623.00","1,537.00","69.29K","2.15%"
"08/17/2025","1,538.00","1,553.00","1,565.00","1,520.00","13.03K","-1.35%"
"08/10/2025","1,559.00","1,565.00","1,580.00","1,559.00","11.22K","-0.45%"
"08/03/2025","1,566.00","1,555.00","1,588.00","1,550.00","61.04K","-0.13%"
"07/27/2025","1,568.00","1,485.00","1,599.00","1,480.00","73.69K","5.23%"
"07/20/2025","1,490.00","1,458.00","1,495.00","1,450.00","44.88K","2.19%"
"07/13/2025","1,458.00","1,452.00","1,465.00","1,445.00","36.19K","0.28%"
"07/06/2025","1,454.00","1,478.00","1,480.00","1,452.00","51.04K","-1.69%"
"06/29/2025","1,479.00","1,460.00","1,490.00","1,450.00","24.37K","1.30%"
"06/22/2025","1,460.00","1,381.00","1,499.00","1,381.00","39.96K","2.10%"
"06/15/2025","1,430.00","1,470.00","1,470.00","1,336.00","79.89K","-3.25%"
"06/08/2025","1,478.00","1,506.00","1,518.00","1,418.00","57.59K","-1.47%"
"06/01/2025","1,500.00","1,454.00","1,533.00","1,444.00","70.08K","3.81%"
"05/25/2025","1,445.00","1,450.00","1,479.00","1,445.00","37.18K","0.42%"
"05/18/2025","1,439.00","1,469.00","1,478.00","1,430.00","71.85K","-0.69%"
"05/11/2025","1,449.00","1,498.00","1,515.00","1,449.00","69.40K","-2.09%"
"05/04/2025","1,480.00","1,460.00","1,515.00","1,453.00","44.85K","1.37%"
"04/27/2025","1,460.00","1,411.00","1,479.00","1,411.00","59.33K","3.55%"
"04/20/2025","1,410.00","1,414.00","1,420.00","1,325.00","786.92K","1.00%"
"04/13/2025","1,396.00","1,296.00","1,425.00","1,280.00","111.73K","9.06%"
"04/06/2025","1,280.00","1,230.00","1,298.00","1,151.00","236.53K","2.40%"
"03/30/2025","1,250.00","1,273.00","1,280.00","1,211.00","148.32K","-1.57%"
"03/23/2025","1,270.00","1,275.00","1,305.00","1,230.00","122.17K","1.11%"
"03/16/2025","1,256.00","1,170.00","1,260.00","1,170.00","335.54K","7.35%"
"03/09/2025","1,170.00","1,176.00","1,195.00","1,135.00","66.72K","-1.18%"
"03/02/2025","1,184.00","1,185.00","1,194.00","1,168.00","36.53K","0.25%"
"02/23/2025","1,181.00","1,199.00","1,235.00","1,175.00","210.92K","-0.76%"
"02/16/2025","1,190.00","1,200.00","1,215.00","1,189.00","111.18K","-0.50%"
"02/09/2025","1,196.00","1,185.00","1,210.00","1,177.00","90.31K","1.61%"
"02/02/2025","1,177.00","1,180.00","1,194.00","1,161.00","26.91K","-0.34%"
"01/26/2025","1,181.00","1,139.00","1,185.00","1,125.00","100.85K","4.05%"
"01/19/2025","1,135.00","1,151.00","1,166.00","1,095.00","64.21K","-1.30%"
"01/12/2025","1,150.00","1,164.00","1,173.00","1,136.00","38.72K","0.97%"
"01/05/2025","1,139.00","1,130.00","1,199.00","1,090.00","205.78K","0.80%"
"12/29/2024","1,130.00","1,040.00","1,132.00","1,032.00","95.49K","8.65%"
