"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"06/03/2026","701,10","720,00","724,90","701,10","121,73K","-0,97%"
"05/03/2026","708,00","707,00","708,00","700,00","111,54K","3,36%"
"04/03/2026","685,00","710,00","720,00","685,00","187,97K","0,74%"
"03/03/2026","680,00","703,00","710,00","671,00","279,09K","-4,21%"
"02/03/2026","709,90","715,00","719,00","700,00","181,54K","-2,22%"
"27/02/2026","726,00","739,00","745,00","726,00","121,93K","-1,76%"
"26/02/2026","739,00","746,20","749,00","732,00","26,96K","-1,34%"
"25/02/2026","749,00","754,00","754,00","746,30","18,76K","-0,65%"
"24/02/2026","753,90","751,00","755,00","751,00","20,48K","-0,15%"
"23/02/2026","755,00","751,00","755,00","751,00","7,34K","-0,66%"
"20/02/2026","760,00","755,00","760,00","750,30","97,47K","0,00%"
"19/02/2026","760,00","750,20","760,00","750,20","143,83K","0,62%"
"18/02/2026","755,30","750,00","760,00","750,00","27,87K","0,04%"
"17/02/2026","755,00","750,00","755,00","745,20","53,62K","0,00%"
"16/02/2026","755,00","740,30","755,00","740,30","72,01K","0,67%"
"13/02/2026","750,00","740,50","755,00","740,30","112,96K","0,00%"
"12/02/2026","750,00","730,00","750,00","730,00","56,93K","2,74%"
"11/02/2026","730,00","721,00","733,00","721,00","15,19K","0,41%"
"10/02/2026","727,00","723,00","729,00","720,00","27,03K","0,00%"
"09/02/2026","727,00","725,00","731,00","720,00","3,79K","-0,55%"
"06/02/2026","731,00","723,10","731,00","715,10","169,92K","0,98%"
