"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/03/2026","701,10","715,00","724,90","671,00","881,86K","-3,43%"
"01/02/2026","726,00","729,50","760,00","715,10","1,24M","-1,22%"
"01/01/2026","735,00","728,00","772,00","718,00","1,34M","0,67%"
"01/12/2025","730,10","720,10","764,10","670,00","1,64M","-0,19%"
"01/11/2025","731,50","790,00","804,00","702,50","754,74K","-5,86%"
"01/10/2025","777,00","735,10","785,00","690,00","1,53M","4,30%"
"01/09/2025","745,00","780,00","790,00","725,00","1,39M","-4,61%"
"01/08/2025","781,00","765,00","790,00","743,00","870,34K","4,13%"
"01/07/2025","750,00","685,00","755,00","675,00","1,02M","10,29%"
"01/06/2025","680,00","670,00","695,00","656,10","1,28M","2,41%"
"01/05/2025","664,00","660,00","701,00","659,10","1,16M","0,61%"
"01/04/2025","660,00","697,00","697,00","625,20","1,68M","-5,69%"
"01/03/2025","699,80","641,10","706,00","630,90","2,30M","9,33%"
"01/02/2025","640,10","630,00","676,00","621,50","1,07M","1,44%"
"01/01/2025","631,00","571,00","650,00","571,00","2,07M","10,90%"
"01/12/2024","569,00","576,00","600,00","560,00","1,56M","-0,87%"
"01/11/2024","574,00","544,00","590,00","540,10","842,28K","6,08%"
"01/10/2024","541,10","550,00","550,00","524,00","813,96K","-0,35%"
"01/09/2024","543,00","544,90","564,90","531,00","1,18M","-0,33%"
"01/08/2024","544,80","546,10","557,00","532,00","1,10M","-1,84%"
"01/07/2024","555,00","511,50","575,00","505,00","885,49K","7,66%"
"01/06/2024","515,50","511,00","526,00","508,00","657,53K","0,10%"
"01/05/2024","515,00","504,90","522,00","501,10","1,02M","2,67%"
"01/04/2024","501,60","505,00","512,00","497,00","735,03K","-1,24%"
"01/03/2024","507,90","508,00","514,00","490,00","539,07K","0,57%"
"01/02/2024","505,00","483,50","520,00","483,50","1,70M","4,12%"
"01/01/2024","485,00","460,20","489,00","460,00","1,00M","5,43%"
"01/12/2023","460,00","456,50","470,05","450,00","1,28M","0,44%"
"01/11/2023","458,00","454,25","472,00","452,00","2,13M","-1,33%"
"01/10/2023","464,15","447,50","480,00","447,00","1,28M","1,79%"
"01/09/2023","456,00","451,50","459,00","435,05","1,36M","-0,41%"
"01/08/2023","457,90","455,15","461,00","444,25","699,59K","0,64%"
"01/07/2023","455,00","440,00","455,00","423,05","568,14K","2,48%"
"01/06/2023","444,00","427,50","455,50","422,00","657,31K","3,86%"
"01/05/2023","427,50","404,90","428,25","395,00","757,23K","5,58%"
"01/04/2023","404,90","400,00","405,00","396,60","486,13K","2,21%"
"01/03/2023","396,15","425,10","430,00","383,00","781,70K","-6,13%"
"01/02/2023","422,00","360,00","425,00","360,00","903,47K","17,22%"
"01/01/2023","360,00","400,00","400,00","355,05","858,06K","-8,16%"
"01/12/2022","392,00","405,00","412,00","390,00","1,76M","-2,73%"
"01/11/2022","403,00","390,00","411,00","370,10","641,75K","4,68%"
"01/10/2022","385,00","421,00","429,00","375,50","439,62K","-9,41%"
"01/09/2022","425,00","433,95","443,00","411,00","1,07M","-2,63%"
"01/08/2022","436,50","432,90","450,20","425,00","367,98K","1,51%"
"01/07/2022","430,00","428,60","438,00","410,00","355,32K","0,35%"
"01/06/2022","428,50","436,50","464,00","423,00","1,43M","-1,83%"
"01/05/2022","436,50","463,00","465,00","435,00","407,90K","-6,14%"
"01/04/2022","465,05","460,00","470,00","456,00","470,31K","1,10%"
