"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/03/2026","30,00","26,24","31,60","25,01","3,15M","5,30%"
"01/02/2026","28,49","32,45","32,45","28,20","7,32M","-8,54%"
"01/01/2026","31,15","36,00","36,48","30,52","4,87M","-13,42%"
"01/12/2025","35,98","36,90","37,40","34,00","4,55M","-4,31%"
"01/11/2025","37,60","42,10","42,78","36,01","3,08M","-8,09%"
"01/10/2025","40,91","38,10","42,20","34,03","6,68M","5,71%"
"01/09/2025","38,70","41,97","44,30","36,50","9,98M","0,52%"
"01/08/2025","38,50","37,00","42,47","36,01","7,26M","4,05%"
"01/07/2025","37,00","36,68","38,30","35,01","4,96M","0,03%"
"01/06/2025","36,99","36,90","39,34","32,50","8,74M","2,75%"
"01/05/2025","36,00","38,10","40,50","34,00","7,33M","-5,51%"
"01/04/2025","38,10","45,57","45,80","37,61","10,65M","-16,41%"
"01/03/2025","45,58","42,00","47,55","39,50","9,66M","9,12%"
"01/02/2025","41,77","45,00","45,80","41,10","5,78M","-6,76%"
"01/01/2025","44,80","39,69","48,00","39,50","17,06M","13,99%"
"01/12/2024","39,30","38,10","40,00","35,40","15,01M","-3,23%"
"01/11/2024","40,61","34,49","40,89","34,00","13,18M","19,44%"
"01/10/2024","34,00","39,50","39,60","31,27","10,40M","-13,38%"
"01/09/2024","39,25","34,09","40,45","32,62","14,45M","26,61%"
"01/08/2024","31,00","32,21","32,35","28,51","5,68M","-3,13%"
"01/07/2024","32,00","29,70","33,38","27,40","5,84M","5,68%"
"01/06/2024","30,28","31,05","32,50","28,40","5,54M","0,93%"
"01/05/2024","30,00","32,50","33,35","28,01","16,01M","-7,41%"
"01/04/2024","32,40","22,20","37,95","22,00","45,45M","57,28%"
"01/03/2024","20,60","18,10","22,64","18,03","24,73M","14,44%"
"01/02/2024","18,00","16,10","18,15","15,75","11,91M","11,94%"
"01/01/2024","16,08","14,69","17,15","14,36","12,39M","12,21%"
"01/12/2023","14,33","15,40","15,74","14,05","6,71M","-13,15%"
"01/11/2023","16,50","15,50","16,80","14,81","8,06M","7,00%"
"01/10/2023","15,42","15,36","16,57","13,70","20,96M","-5,57%"
"01/09/2023","16,33","11,99","17,70","11,71","40,24M","42,50%"
"01/08/2023","11,46","9,91","11,46","9,91","3,93M","13,47%"
"01/07/2023","10,10","9,81","11,06","9,81","5,69M","3,06%"
"01/06/2023","9,80","8,17","11,00","8,11","25,04M","27,11%"
"01/05/2023","7,71","6,56","8,10","6,41","7,44M","19,53%"
"01/04/2023","6,45","5,80","6,77","5,64","4,78M","11,21%"
"01/03/2023","5,80","6,49","6,60","5,40","1,75M","-10,22%"
"01/02/2023","6,46","6,18","6,70","5,92","992,90K","6,08%"
"01/01/2023","6,09","6,25","6,42","5,60","1,10M","-3,03%"
"01/12/2022","6,28","6,40","6,64","6,25","1,60M","-4,99%"
"01/11/2022","6,61","6,88","7,00","6,05","2,59M","-3,64%"
"01/10/2022","6,86","7,37","7,90","6,80","2,25M","-7,92%"
"01/09/2022","7,45","8,17","8,65","7,33","2,55M","-8,02%"
"01/08/2022","8,10","7,60","8,40","7,51","1,64M","6,58%"
"01/07/2022","7,60","7,70","7,84","7,21","2,35M","-1,30%"
"01/06/2022","7,70","8,26","8,90","7,52","3,25M","-1,28%"
"01/05/2022","7,80","8,14","8,30","7,40","2,48M","-3,70%"
"01/04/2022","8,10","7,68","9,13","7,45","4,63M","11,72%"
"01/03/2022","7,25","10,72","10,72","6,97","12,96M","-36,40%"
"01/02/2022","11,40","11,68","12,24","10,50","15,19M","-2,15%"
"01/01/2022","11,65","10,65","12,09","10,60","7,60M","9,80%"
"01/12/2021","10,61","10,82","11,49","10,20","7,72M","1,53%"
"01/11/2021","10,45","11,21","11,39","9,90","5,26M","-6,78%"
"01/10/2021","11,21","11,29","11,74","10,41","3,95M","-4,68%"
"01/09/2021","11,76","12,50","13,80","11,35","15,12M","-6,44%"
"01/08/2021","12,57","9,61","12,57","9,42","10,85M","30,67%"
"01/07/2021","9,62","10,55","10,74","9,34","7,48M","-8,21%"
"01/06/2021","10,48","8,21","11,86","8,05","26,32M","30,67%"
"01/05/2021","8,02","6,67","8,24","6,67","11,82M","20,06%"
"01/04/2021","6,68","6,18","6,81","6,16","1,93M","7,92%"
"01/03/2021","6,19","6,52","6,52","6,03","1,12M","-3,28%"
"01/02/2021","6,40","7,13","7,24","6,34","2,25M","-9,60%"
"01/01/2021","7,08","6,59","7,51","6,36","4,68M","10,80%"
"01/12/2020","6,39","6,31","7,15","5,93","4,68M","1,43%"
"01/11/2020","6,30","5,80","6,90","5,64","4,07M","7,69%"
"01/10/2020","5,85","5,94","6,13","5,60","2,23M","0,52%"
"01/09/2020","5,82","6,11","6,42","5,72","1,87M","-6,43%"
"01/08/2020","6,22","6,93","6,93","6,18","1,64M","-8,26%"
"01/07/2020","6,78","7,00","7,30","6,58","1,70M","-3,14%"
"01/06/2020","7,00","7,50","8,25","6,94","6,67M","-3,05%"
"01/05/2020","7,22","5,71","7,22","5,71","3,58M","22,37%"
"01/04/2020","5,90","6,63","6,78","5,60","15,69M","-11,14%"
"01/03/2020","6,64","8,40","8,70","6,24","3,30M","-20,95%"
"01/02/2020","8,40","9,40","9,69","8,35","1,95M","-9,58%"
"01/01/2020","9,29","11,00","11,19","8,80","6,03M","-18,08%"
"01/12/2019","11,34","8,35","14,65","7,80","24,79M","39,83%"
"01/11/2019","8,11","8,96","9,08","7,44","3,33M","-9,39%"
"01/10/2019","8,95","9,50","10,10","8,92","1,37M","-5,79%"
"01/09/2019","9,50","9,90","9,90","8,79","1,74M","-1,66%"
"01/08/2019","9,66","9,50","10,20","9,50","901,22K","1,68%"
"01/07/2019","9,50","9,85","10,43","9,13","1,17M","-3,55%"
"01/06/2019","9,85","10,26","10,66","9,85","2,91M","-3,90%"
"01/05/2019","10,25","11,70","11,70","10,22","1,36M","-11,56%"
"01/04/2019","11,59","11,30","12,48","10,10","2,90M","-0,26%"
"01/03/2019","11,62","12,95","13,25","11,62","1,21M","-9,22%"
"01/02/2019","12,80","14,00","14,00","12,60","1,66M","-8,57%"
"01/01/2019","14,00","17,25","17,25","12,96","3,23M","-17,65%"
"01/12/2018","17,00","15,20","17,00","14,00","9,92M","12,29%"
"01/11/2018","15,14","12,80","16,34","12,42","9,32M","20,64%"
"01/10/2018","12,55","14,84","15,44","12,55","5,84M","-14,92%"
"01/09/2018","14,75","15,55","16,80","14,01","3,53M","-13,03%"
"01/08/2018","16,96","18,14","18,75","16,92","2,00M","-6,45%"
"01/07/2018","18,13","18,20","19,48","17,60","5,54M","2,37%"
"01/06/2018","17,71","22,00","22,89","17,70","15,17M","-17,63%"
"01/05/2018","21,50","25,00","25,00","21,00","5,63M","-13,48%"
"01/04/2018","24,85","27,67","28,00","22,76","8,43M","-19,16%"
"01/03/2018","30,74","34,03","34,62","30,74","2,58M","-9,56%"
"01/02/2018","33,99","33,40","39,90","32,80","6,76M","1,46%"
"01/01/2018","33,50","34,00","37,72","31,94","5,74M","1,52%"
"01/12/2017","33,00","37,80","38,00","30,62","5,73M","-12,51%"
"01/11/2017","37,72","43,15","43,75","37,65","4,91M","-12,58%"
"01/10/2017","43,15","43,26","46,69","42,65","2,61M","-0,23%"
"01/09/2017","43,25","49,79","49,89","43,20","6,47M","-12,00%"
"01/08/2017","49,15","47,05","50,00","46,50","2,67M","4,55%"
"01/07/2017","47,01","48,50","49,90","47,00","3,86M","-3,47%"
"01/06/2017","48,70","47,90","49,28","46,80","6,19M","3,18%"
"01/05/2017","47,20","46,75","48,80","45,60","4,42M","-0,21%"
"01/04/2017","47,30","42,60","47,79","41,70","2,66M","10,00%"
"01/03/2017","43,00","49,09","49,90","42,51","3,62M","-11,34%"
"01/02/2017","48,50","48,00","52,40","46,00","5,08M","1,04%"
"01/01/2017","48,00","42,85","57,00","42,00","15,34M","11,68%"
"01/12/2016","42,98","36,05","45,00","35,90","14,05M","19,39%"
"01/11/2016","36,00","37,36","37,76","36,00","2,38M","-4,71%"
"01/10/2016","37,78","36,95","39,50","36,50","3,61M","2,97%"
"01/09/2016","36,69","36,00","37,10","35,00","3,07M","2,77%"
"01/08/2016","35,70","36,90","38,40","35,70","2,47M","-2,99%"
"01/07/2016","36,80","37,40","38,90","36,00","2,73M","1,24%"
"01/06/2016","36,35","39,00","39,60","36,35","6,74M","-5,83%"
"01/05/2016","38,60","38,70","42,88","37,94","8,61M","-1,03%"
"01/04/2016","39,00","34,00","39,49","33,54","6,52M","14,71%"
"01/03/2016","34,00","30,73","40,59","30,70","13,09M","10,39%"
"01/02/2016","30,80","26,40","33,94","25,70","10,11M","16,71%"
"01/01/2016","26,39","23,67","28,90","23,20","5,95M","11,26%"
"01/12/2015","23,72","27,79","28,00","23,61","21,90M","-14,68%"
"01/11/2015","27,80","27,19","29,65","26,81","4,33M","2,96%"
"01/10/2015","27,00","25,13","27,79","22,33","4,83M","7,57%"
"01/09/2015","25,10","27,60","29,63","24,91","2,61M","-10,68%"
"01/08/2015","28,10","28,50","29,49","27,20","1,00M","-2,43%"
"01/07/2015","28,80","28,60","30,77","27,52","2,23M","1,23%"
"01/06/2015","28,45","30,00","30,90","26,08","10,15M","-5,17%"
"01/05/2015","30,00","30,98","31,85","29,80","1,15M","-3,23%"
"01/04/2015","31,00","31,28","31,74","29,20","2,76M","-2,52%"
"01/03/2015","31,80","31,80","34,50","30,07","2,87M","0,76%"
"01/02/2015","31,56","31,40","32,98","29,14","6,91M","0,51%"
"01/01/2015","31,40","37,40","40,80","30,00","8,22M","-16,49%"
"01/12/2014","37,60","43,80","44,80","37,25","33,27M","-12,15%"
"01/11/2014","42,80","49,02","49,45","42,52","3,43M","-12,65%"
"01/10/2014","49,00","50,51","51,15","44,18","2,93M","-3,81%"
"01/09/2014","50,94","51,99","54,70","49,00","2,45M","-0,14%"
"01/08/2014","51,01","56,90","57,35","51,01","2,84M","-10,35%"
"01/07/2014","56,90","56,31","58,30","56,31","1,93M","-0,18%"
"01/06/2014","57,00","59,62","59,90","56,10","2,15M","-4,92%"
"01/05/2014","59,95","60,10","60,60","59,00","1,84M","-0,07%"
"01/04/2014","59,99","61,50","64,99","58,02","3,83M","-1,66%"
"01/03/2014","61,00","60,00","68,48","60,00","5,34M","3,39%"
"01/02/2014","59,00","57,00","59,00","56,50","2,20M","3,51%"
"01/01/2014","57,00","55,90","58,80","55,50","2,74M","1,97%"
"01/12/2013","55,90","54,30","59,60","54,20","4,17M","3,31%"
"01/11/2013","54,11","59,00","59,40","52,05","17,06M","-7,98%"
"01/10/2013","58,80","45,25","59,74","44,24","3,83M","25,11%"
"01/09/2013","47,00","41,76","50,68","39,80","4,23M","14,08%"
"01/08/2013","41,20","44,00","46,00","40,50","585,13K","-6,36%"
"01/07/2013","44,00","47,50","48,00","42,80","1,39M","-8,14%"
"01/06/2013","47,90","53,19","53,19","47,00","6,44M","-9,62%"
"01/05/2013","53,00","55,00","57,35","48,00","3,90M","-3,71%"
"01/04/2013","55,04","59,18","60,60","54,02","1,85M","-7,00%"
"01/03/2013","59,18","60,00","62,00","58,00","2,01M","-2,18%"
"01/02/2013","60,50","61,00","61,80","59,00","1,78M","-0,82%"
"01/01/2013","61,00","64,00","64,00","58,02","2,46M","-3,17%"
"01/12/2012","63,00","64,14","66,24","62,14","3,45M","-2,99%"
"01/11/2012","64,94","62,00","67,42","61,00","2,15M","4,74%"
"01/10/2012","62,00","64,00","65,00","58,28","2,90M","-3,13%"
"01/09/2012","64,00","71,50","73,00","63,68","3,11M","-11,09%"
"01/08/2012","71,98","69,00","71,98","67,20","1,50M","4,32%"
"01/07/2012","69,00","66,20","69,00","64,50","1,37M","2,99%"
"01/06/2012","67,00","68,50","69,00","63,74","2,27M","-2,87%"
"01/05/2012","68,98","62,86","68,98","61,80","2,04M","10,54%"
"01/04/2012","62,40","73,00","73,00","61,04","2,78M","-14,52%"
"01/03/2012","73,00","74,00","76,00","72,14","2,68M","-0,68%"
"01/02/2012","73,50","71,50","75,26","70,10","4,86M","2,08%"
"01/01/2012","72,00","70,40","73,90","67,24","2,33M","3,00%"
"01/12/2011","69,90","69,90","75,98","64,22","8,65M","-0,11%"
"01/11/2011","69,98","76,50","77,00","66,30","3,70M","-8,52%"
"01/10/2011","76,50","81,00","82,34","76,00","3,08M","-5,44%"
"01/09/2011","80,90","91,00","94,50","78,54","3,07M","-9,61%"
"01/08/2011","89,50","92,52","93,40","76,52","4,06M","-3,24%"
"01/07/2011","92,50","96,84","99,26","92,50","1,46M","-5,61%"
"01/06/2011","98,00","102,45","102,45","96,82","2,04M","-4,34%"
"01/05/2011","102,45","97,10","103,00","97,10","2,41M","8,41%"
"01/04/2011","94,50","103,80","103,80","94,50","3,50M","-9,00%"
"01/03/2011","103,85","110,00","110,00","103,50","2,08M","-4,77%"
"01/02/2011","109,05","103,05","109,05","99,50","5,35M","5,87%"
"01/01/2011","103,00","104,50","112,20","102,00","5,47M","-0,96%"
"01/12/2010","104,00","104,00","111,50","102,10","5,64M","-0,10%"
"01/11/2010","104,10","107,10","110,90","103,55","2,07M","-3,57%"
"01/10/2010","107,95","102,10","111,00","101,75","3,52M","5,42%"
"01/09/2010","102,40","106,00","107,30","99,00","3,45M","-3,40%"
"01/08/2010","106,00","114,05","115,00","98,00","3,01M","-7,50%"
"01/07/2010","114,60","117,17","122,51","114,20","2,28M","-2,60%"
"01/06/2010","117,66","114,52","117,66","113,74","4,31M","3,45%"
"01/05/2010","113,74","115,70","122,27","110,80","8,81M","-2,11%"
"01/04/2010","116,19","109,62","117,66","105,06","5,67M","4,86%"
"01/03/2010","110,80","108,79","120,55","101,29","5,44M","1,85%"
"01/02/2010","108,79","111,29","114,67","105,11","3,05M","-1,81%"
"01/01/2010","110,80","101,97","118,59","99,08","6,47M","9,18%"
"01/12/2009","101,48","98,05","108,84","85,89","4,63M","2,47%"
"01/11/2009","99,03","113,74","113,74","94,93","2,68M","-11,75%"
"01/10/2009","112,22","112,02","125,01","109,72","5,10M","-5,49%"
"01/09/2009","118,74","130,90","134,08","118,74","3,78M","-9,29%"
"01/08/2009","130,90","133,35","140,31","130,90","1,62M","-1,11%"
"01/07/2009","132,37","145,61","145,61","127,76","3,30M","-9,09%"
"01/06/2009","145,61","142,17","151,00","130,41","5,27M","3,99%"
"01/05/2009","140,02","131,39","146,59","127,81","3,84M","8,18%"
"01/04/2009","129,43","109,82","132,37","108,35","5,58M","17,86%"
"01/03/2009","109,82","122,56","123,54","104,62","7,35M","-8,94%"
"01/02/2009","120,60","85,30","127,37","80,52","9,60M","41,38%"
"01/01/2009","85,30","95,27","95,27","74,40","4,40M","-15,83%"
"01/12/2008","101,34","107,86","130,11","92,64","11,44M","-6,43%"
"01/11/2008","108,30","135,80","143,15","102,66","7,66M","-20,25%"
"01/10/2008","135,80","149,04","156,78","116,68","10,13M","-12,31%"
"01/09/2008","154,87","205,91","205,91","151,00","8,88M","-24,14%"
"01/08/2008","204,14","205,81","209,83","200,91","1,65M","0,33%"
"01/07/2008","203,46","208,95","229,44","202,97","4,80M","-3,12%"
"01/06/2008","210,02","209,83","213,65","199,24","6,58M","1,27%"
"01/05/2008","207,38","211,79","212,87","201,98","2,38M","-2,08%"
"01/04/2008","211,79","215,71","230,42","208,36","6,30M","-1,82%"
"01/03/2008","215,71","206,89","220,12","201,05","6,16M","4,26%"
"01/02/2008","206,89","191,69","212,28","188,89","5,75M","8,35%"
"01/01/2008","190,95","166,15","193,65","166,15","14,53M","15,57%"
"01/12/2007","165,22","160,97","170,46","156,88","22,10M","2,36%"
"01/11/2007","161,41","154,16","165,91","149,76","4,09M","1,82%"
"01/10/2007","158,52","165,42","169,33","155,53","3,19M","-4,03%"
"01/09/2007","165,17","157,59","185,00","157,15","14,32M","10,22%"
"01/08/2007","149,86","138,50","150,74","138,50","5,07M","7,07%"
"01/07/2007","139,97","136,05","139,97","134,64","2,56M","2,88%"
"01/06/2007","136,05","133,71","139,43","132,14","2,59M","0,00%"
"01/05/2007","136,05","141,88","142,42","118,93","5,83M","-2,97%"
