"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2026","92.51","94.00","94.97","92.50","429.46K","-1.06%"
"03/05/2026","93.50","93.00","94.87","92.50","614.75K","1.63%"
"03/04/2026","92.00","92.00","95.00","91.61","824.40K","0.00%"
"03/03/2026","92.00","95.00","95.00","92.00","407.62K","-3.16%"
"03/02/2026","95.00","97.50","99.00","95.00","1.39M","-4.04%"
"02/27/2026","99.00","102.10","102.45","99.00","452.00K","-2.99%"
"02/26/2026","102.05","103.80","103.80","102.00","78.21K","-0.87%"
"02/25/2026","102.95","103.95","103.95","102.95","59.90K","-0.15%"
"02/24/2026","103.10","103.55","103.80","103.10","70.81K","-0.39%"
"02/23/2026","103.50","103.65","104.00","103.05","239.43K","-0.05%"
"02/20/2026","103.55","104.50","104.50","103.55","225.09K","-0.43%"
"02/19/2026","104.00","104.95","104.95","103.85","111.55K","-0.19%"
"02/18/2026","104.20","106.00","106.50","104.20","66.81K","-1.61%"
"02/17/2026","105.90","106.00","106.00","105.55","110.40K","-0.66%"
"02/16/2026","106.60","106.00","107.00","105.50","95.96K","1.09%"
"02/13/2026","105.45","107.00","107.00","105.45","222.50K","-0.47%"
"02/12/2026","105.95","105.20","106.00","105.00","259.34K","0.43%"
"02/11/2026","105.50","105.50","105.50","105.00","49.88K","0.00%"
"02/10/2026","105.50","106.00","106.90","105.10","23.44K","0.38%"
"02/09/2026","105.10","106.00","107.00","105.00","18.84K","-1.64%"
"02/06/2026","106.85","105.95","106.85","103.70","386.84K","1.81%"
