"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","92.51","97.50","99.00","91.61","3.66M","-6.56%"
"02/01/2026","99.00","106.55","108.85","99.00","2.68M","-7.48%"
"01/01/2026","107.00","109.00","114.40","106.00","2.60M","-1.83%"
"12/01/2025","109.00","114.90","115.40","107.75","7.77M","-5.22%"
"11/01/2025","115.00","120.00","121.20","111.00","2.03M","-4.17%"
"10/01/2025","120.00","116.50","121.45","111.60","3.89M","2.30%"
"09/01/2025","117.30","124.00","130.00","114.00","4.61M","-5.33%"
"08/01/2025","123.90","122.00","125.00","118.40","3.21M","1.14%"
"07/01/2025","122.50","111.00","123.95","110.65","5.09M","10.21%"
"06/01/2025","111.15","109.00","114.70","104.55","3.55M","2.11%"
"05/01/2025","108.85","114.20","116.00","107.50","2.43M","-4.89%"
"04/01/2025","114.45","123.00","123.05","103.00","7.43M","-6.57%"
"03/01/2025","122.50","114.00","123.90","104.20","7.13M","7.46%"
"02/01/2025","114.00","105.25","119.65","100.50","10.01M","7.24%"
"01/01/2025","106.30","83.50","109.00","82.12","9.12M","29.62%"
"12/01/2024","82.01","86.00","89.00","82.01","4.59M","-4.53%"
"11/01/2024","85.90","88.50","91.80","85.81","4.38M","-3.21%"
"10/01/2024","88.75","93.55","94.30","88.71","1.85M","-5.59%"
"09/01/2024","94.00","94.98","97.99","89.30","2.90M","0.90%"
"08/01/2024","93.16","90.50","96.98","88.50","1.91M","2.83%"
"07/01/2024","90.60","92.00","93.00","84.00","1.87M","0.11%"
"06/01/2024","90.50","92.00","94.20","87.00","2.68M","-1.63%"
"05/01/2024","92.00","96.15","96.89","91.91","2.79M","-4.61%"
"04/01/2024","96.45","100.90","100.90","94.67","2.65M","-4.41%"
"03/01/2024","100.90","104.00","105.00","99.51","1.55M","-2.98%"
"02/01/2024","104.00","94.63","108.00","88.85","4.50M","10.05%"
"01/01/2024","94.50","100.95","107.40","93.61","3.42M","-5.50%"
"12/01/2023","100.00","92.21","105.70","92.00","4.04M","7.64%"
"11/01/2023","92.90","96.35","96.35","92.11","814.96K","-3.23%"
"10/01/2023","96.00","100.60","107.20","94.60","1.70M","-4.95%"
"09/01/2023","101.00","106.10","107.70","100.40","1.08M","-4.72%"
"08/01/2023","106.00","109.25","115.50","105.05","1.46M","-3.28%"
"07/01/2023","109.60","95.50","111.40","94.00","1.84M","15.37%"
"06/01/2023","95.00","87.40","101.50","85.85","9.30M","8.32%"
"05/01/2023","87.70","82.00","88.11","75.55","2.38M","8.20%"
"04/01/2023","81.05","84.50","86.19","80.11","854.75K","-4.65%"
"03/01/2023","85.00","92.90","93.00","80.01","2.76M","-8.50%"
"02/01/2023","92.90","96.00","100.75","88.10","4.06M","-4.18%"
"01/01/2023","96.95","98.00","102.00","90.15","2.82M","2.05%"
"12/01/2022","95.00","104.00","114.00","95.00","1.92M","-9.09%"
"11/01/2022","104.50","102.80","105.00","93.50","2.81M","2.30%"
"10/01/2022","102.15","114.00","117.25","101.25","3.12M","-10.63%"
"09/01/2022","114.30","121.00","122.50","114.00","4.24M","-5.54%"
"08/01/2022","121.00","120.00","123.95","118.00","1.60M","1.68%"
"07/01/2022","119.00","119.10","124.90","116.50","1.30M","0.00%"
"06/01/2022","119.00","124.60","128.00","119.00","3.59M","-4.49%"
"05/01/2022","124.60","134.05","134.05","123.25","851.00K","-7.01%"
"04/01/2022","134.00","129.50","135.50","129.25","1.27M","3.55%"
"03/01/2022","129.40","131.70","133.50","128.00","1.34M","-1.97%"
"02/01/2022","132.00","138.00","139.25","130.00","2.67M","-4.35%"
"01/01/2022","138.00","139.00","140.00","137.20","1.73M","-1.04%"
"12/01/2021","139.45","140.10","143.00","137.00","2.24M","-0.39%"
"11/01/2021","140.00","144.00","144.75","140.00","2.32M","-2.30%"
"10/01/2021","143.30","141.20","144.10","141.00","3.08M","0.99%"
"09/01/2021","141.90","140.05","143.40","138.00","3.21M","1.03%"
"08/01/2021","140.45","137.20","141.35","136.50","1.08M","3.42%"
"07/01/2021","135.80","136.90","137.75","134.20","1.38M","-0.88%"
"06/01/2021","137.00","139.50","141.50","136.70","3.72M","-1.79%"
"05/01/2021","139.50","138.50","141.40","138.00","2.94M","1.09%"
"04/01/2021","138.00","139.35","139.65","136.80","1.05M","-0.86%"
"03/01/2021","139.20","137.25","141.75","137.25","1.87M","1.42%"
"02/01/2021","137.25","146.50","148.00","135.00","2.91M","-6.63%"
"01/01/2021","147.00","145.00","148.90","143.50","1.58M","1.38%"
"12/01/2020","145.00","142.65","147.95","142.25","2.94M","1.08%"
"11/01/2020","143.45","141.05","144.95","138.50","1.86M","1.38%"
"10/01/2020","141.50","136.05","141.50","136.00","1.14M","4.04%"
"09/01/2020","136.00","140.00","141.20","135.50","1.07M","-2.51%"
"08/01/2020","139.50","135.00","139.50","131.95","740.68K","0.72%"
"07/01/2020","138.50","138.60","142.50","135.60","1.40M","-0.36%"
"06/01/2020","139.00","133.70","145.95","132.50","2.77M","4.12%"
"05/01/2020","133.50","129.00","137.00","128.00","2.17M","3.73%"
"04/01/2020","128.70","127.00","131.30","121.60","2.07M","1.34%"
"03/01/2020","127.00","149.00","149.00","110.00","9.75M","-14.54%"
