"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","92.51","97.50","99.00","91.61","3.66M","-6.56%"
"02/22/2026","99.00","103.65","104.00","99.00","900.34K","-4.39%"
"02/15/2026","103.55","106.00","107.00","103.55","609.82K","-1.80%"
"02/08/2026","105.45","106.00","107.00","105.00","574.00K","-1.31%"
"02/01/2026","106.85","106.55","108.85","103.70","596.49K","-0.14%"
"01/25/2026","107.00","109.95","109.95","106.00","382.77K","-0.93%"
"01/18/2026","108.00","112.00","112.00","107.80","334.71K","-2.75%"
"01/11/2026","111.05","111.75","114.00","111.00","485.86K","-0.58%"
"01/04/2026","111.70","111.10","114.40","111.00","1.07M","0.54%"
"12/28/2025","111.10","108.40","111.10","107.75","1.62M","2.87%"
"12/21/2025","108.00","112.60","112.60","108.00","1.12M","-3.74%"
"12/14/2025","112.20","112.00","113.00","111.05","2.60M","0.36%"
"12/07/2025","111.80","112.40","112.40","110.50","2.17M","-0.18%"
"11/30/2025","112.00","114.90","115.40","112.00","587.16K","-2.61%"
"11/23/2025","115.00","112.00","117.20","111.75","416.28K","2.68%"
"11/16/2025","112.00","113.30","113.30","111.00","549.07K","-0.80%"
"11/09/2025","112.90","116.80","116.80","112.75","672.29K","-2.63%"
"11/02/2025","115.95","120.00","121.20","115.95","396.51K","-3.38%"
"10/26/2025","120.00","119.75","120.50","117.25","691.51K","0.50%"
"10/19/2025","119.40","116.05","121.45","116.05","975.37K","3.29%"
"10/12/2025","115.60","114.90","115.80","111.90","695.66K","0.96%"
"10/05/2025","114.50","116.90","118.50","114.50","423.95K","-1.63%"
"09/28/2025","116.40","118.70","119.00","111.60","1.63M","-1.77%"
"09/21/2025","118.50","122.60","125.00","117.55","1.47M","-3.66%"
"09/14/2025","123.00","122.00","124.00","119.80","768.14K","0.49%"
"09/07/2025","122.40","127.40","127.40","122.00","1.34M","-3.24%"
"08/31/2025","126.50","124.00","130.00","123.00","508.74K","2.10%"
"08/24/2025","123.90","120.95","125.00","120.50","1.20M","2.82%"
"08/17/2025","120.50","121.00","121.00","119.50","335.76K","0.42%"
"08/10/2025","120.00","123.50","123.50","120.00","348.61K","-2.44%"
"08/03/2025","123.00","122.60","124.00","118.40","1.05M","0.41%"
"07/27/2025","122.50","123.35","123.95","121.50","1.18M","-0.41%"
"07/20/2025","123.00","122.00","123.95","118.55","1.59M","1.65%"
"07/13/2025","121.00","117.60","122.00","116.00","917.87K","2.54%"
"07/06/2025","118.00","114.60","123.25","114.00","1.27M","2.61%"
"06/29/2025","115.00","111.10","115.40","110.65","515.95K","3.60%"
"06/22/2025","111.00","107.00","113.50","106.50","918.33K","2.97%"
"06/15/2025","107.80","108.50","108.90","104.55","673.58K","-1.10%"
"06/08/2025","109.00","110.50","110.90","108.05","813.93K","-1.36%"
"06/01/2025","110.50","109.00","114.70","109.00","1.04M","1.52%"
"05/25/2025","108.85","111.10","111.65","107.50","723.37K","-1.94%"
"05/18/2025","111.00","111.55","114.00","111.00","720.64K","0.00%"
"05/11/2025","111.00","113.60","116.00","111.00","721.97K","-2.46%"
"05/04/2025","113.80","113.90","114.50","112.70","217.09K","-0.31%"
