"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/03/2026","2.190,00","2.350,00","2.464,00","2.153,00","32,96K","-15,77%"
"01/02/2026","2.600,00","2.640,00","2.802,00","2.491,00","98,91K","-3,70%"
"01/01/2026","2.700,00","2.680,00","2.915,00","2.500,00","56,33K","1,89%"
"01/12/2025","2.650,00","2.500,00","2.750,00","2.426,00","50,16K","4,95%"
"01/11/2025","2.525,00","2.800,00","2.820,00","2.301,00","37,28K","-6,48%"
"01/10/2025","2.700,00","2.389,00","2.767,00","2.251,00","96,98K","12,97%"
"01/09/2025","2.390,00","2.400,00","2.585,00","2.196,00","162,11K","0,84%"
"01/08/2025","2.370,00","2.149,00","2.700,00","2.100,00","144,31K","12,32%"
"01/07/2025","2.110,00","1.998,00","2.220,00","1.943,00","91,57K","5,61%"
"01/06/2025","1.998,00","2.265,00","2.265,00","1.700,00","142,68K","-10,80%"
"01/05/2025","2.240,00","2.150,00","2.448,00","2.080,00","163,56K","4,19%"
"01/04/2025","2.150,00","2.406,00","2.450,00","1.905,00","185,20K","-10,42%"
"01/03/2025","2.400,00","2.550,00","2.739,00","2.330,00","182,13K","-4,00%"
"01/02/2025","2.500,00","2.275,00","2.799,00","2.215,00","137,30K","11,51%"
"01/01/2025","2.242,00","1.939,00","2.314,00","1.939,00","175,82K","18,62%"
"01/12/2024","1.890,00","1.556,00","1.910,00","1.510,00","116,85K","19,62%"
"01/11/2024","1.580,00","1.501,00","1.720,00","1.480,00","133,63K","4,91%"
"01/10/2024","1.506,00","1.039,00","1.615,00","961,00","335,14K","53,67%"
"01/09/2024","980,00","760,00","1.010,00","731,00","102,97K","28,95%"
"01/08/2024","760,00","647,80","793,00","596,00","79,42K","20,06%"
"01/07/2024","633,00","574,00","650,00","550,00","69,10K","10,09%"
"01/06/2024","575,00","570,00","590,00","520,00","43,30K","1,23%"
"01/05/2024","568,00","615,00","635,00","545,00","65,12K","-6,12%"
"01/04/2024","605,00","426,10","610,00","426,10","285,41K","42,35%"
"01/03/2024","425,00","370,00","429,00","361,20","107,79K","14,86%"
"01/02/2024","370,00","316,00","380,00","310,00","237,14K","18,40%"
"01/01/2024","312,50","251,00","326,00","250,00","170,54K","22,55%"
"01/12/2023","255,00","244,40","260,00","236,10","52,16K","3,41%"
"01/11/2023","246,60","250,00","251,90","235,00","16,53K","-1,36%"
"01/10/2023","250,00","227,00","270,00","224,00","101,35K","9,65%"
"01/09/2023","228,00","245,70","245,70","225,00","100,66K","-12,76%"
"01/08/2023","261,35","240,00","280,00","232,00","101,19K","9,60%"
"01/07/2023","238,45","215,00","238,45","215,00","28,86K","10,91%"
"01/06/2023","215,00","220,00","237,90","215,00","58,17K","-3,82%"
"01/05/2023","223,55","196,15","223,55","193,00","19,30K","11,78%"
"01/04/2023","200,00","200,00","204,00","196,20","6,62K","-1,96%"
"01/03/2023","204,00","200,00","206,90","193,35","9,78K","-0,49%"
"01/02/2023","205,00","200,00","207,00","190,40","15,60K","2,76%"
"01/01/2023","199,50","203,00","204,00","186,55","5,33K","-3,16%"
"01/12/2022","206,00","195,35","206,00","183,35","59,77K","5,45%"
"01/11/2022","195,35","195,50","195,50","182,40","5,65K","0,70%"
"01/10/2022","194,00","201,00","202,90","183,00","13,53K","-2,95%"
"01/09/2022","199,90","190,00","204,00","188,70","28,64K","2,78%"
"01/08/2022","194,50","190,00","199,00","188,00","4,12K","4,01%"
"01/07/2022","187,00","185,05","193,00","172,10","11,87K","-4,10%"
"01/06/2022","195,00","192,95","200,00","177,20","12,27K","5,41%"
"01/05/2022","185,00","200,00","208,00","185,00","10,15K","-8,87%"
"01/04/2022","203,00","200,00","207,80","194,00","30,51K","1,50%"
"01/03/2022","200,00","238,00","238,00","177,10","54,82K","-13,04%"
"01/02/2022","230,00","248,00","250,00","215,00","87,08K","-7,44%"
"01/01/2022","248,50","230,00","262,00","229,00","77,43K","8,04%"
"01/12/2021","230,00","243,80","251,60","229,00","70,89K","-5,74%"
"01/11/2021","244,00","266,60","267,00","231,25","117,89K","-8,61%"
