"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","1,298.99","1,379.74","1,379.74","1,238.53","","-5.85%"
"02/22/2026","1,379.74","1,445.24","1,446.76","1,379.50","","-4.53%"
"02/15/2026","1,445.24","1,431.63","1,457.09","1,431.63","","0.95%"
"02/08/2026","1,431.63","1,423.18","1,446.24","1,413.97","","0.59%"
"02/01/2026","1,423.18","1,443.29","1,451.41","1,391.26","","-1.39%"
"01/25/2026","1,443.29","1,448.25","1,478.27","1,422.06","","-0.34%"
"01/18/2026","1,448.25","1,499.73","1,504.44","1,445.83","","-3.43%"
"01/11/2026","1,499.73","1,531.78","1,532.09","1,495.04","","-2.09%"
"01/04/2026","1,531.78","1,516.02","1,550.08","1,514.74","","1.04%"
"12/28/2025","1,516.02","1,459.74","1,516.02","1,451.81","","3.86%"
"12/21/2025","1,459.74","1,526.38","1,530.68","1,459.74","","-4.37%"
"12/14/2025","1,526.38","1,502.55","1,531.82","1,498.11","","1.59%"
"12/07/2025","1,502.55","1,500.72","1,511.85","1,493.86","","0.12%"
"11/30/2025","1,500.72","1,516.88","1,516.88","1,490.96","","-1.07%"
"11/23/2025","1,516.88","1,477.76","1,521.40","1,476.10","","2.65%"
"11/16/2025","1,477.76","1,516.84","1,543.63","1,471.99","","-2.58%"
"11/09/2025","1,516.84","1,572.31","1,574.54","1,514.59","","-3.53%"
"11/02/2025","1,572.31","1,603.01","1,646.03","1,571.19","","-1.92%"
"10/26/2025","1,603.01","1,586.89","1,615.49","1,580.50","","1.02%"
"10/19/2025","1,586.89","1,494.47","1,593.71","1,494.47","","6.18%"
"10/12/2025","1,494.47","1,502.07","1,522.17","1,455.07","","-0.51%"
"10/05/2025","1,502.07","1,530.95","1,568.45","1,502.07","","-1.89%"
"09/28/2025","1,530.95","1,575.38","1,581.78","1,442.21","","-2.82%"
"09/21/2025","1,575.38","1,627.22","1,637.50","1,567.61","","-3.19%"
"09/14/2025","1,627.22","1,619.54","1,628.68","1,595.90","","0.47%"
"09/07/2025","1,619.54","1,644.15","1,649.85","1,594.41","","-1.50%"
"08/31/2025","1,644.15","1,642.46","1,660.20","1,637.59","","-0.01%"
"08/24/2025","1,644.27","1,634.53","1,669.54","1,619.21","","0.60%"
"08/17/2025","1,634.53","1,621.58","1,634.57","1,603.34","","0.80%"
"08/10/2025","1,621.58","1,624.16","1,637.97","1,618.21","","-0.16%"
"08/03/2025","1,624.16","1,608.29","1,633.72","1,595.99","","0.94%"
"07/27/2025","1,609.11","1,594.41","1,626.90","1,582.67","","0.92%"
"07/20/2025","1,594.41","1,574.44","1,595.20","1,565.07","","1.03%"
"07/13/2025","1,578.22","1,562.72","1,578.63","1,535.21","","0.99%"
"07/06/2025","1,562.72","1,532.36","1,563.11","1,517.87","","1.98%"
"06/29/2025","1,532.36","1,509.82","1,532.36","1,493.36","","1.37%"
"06/22/2025","1,511.69","1,468.49","1,515.73","1,447.13","","2.94%"
"06/15/2025","1,468.49","1,509.93","1,510.96","1,423.49","","-2.74%"
"06/08/2025","1,509.93","1,519.39","1,535.96","1,473.31","","-0.62%"
"06/01/2025","1,519.39","1,465.56","1,555.37","1,465.56","","3.67%"
"05/25/2025","1,465.56","1,474.51","1,481.24","1,459.02","","-0.61%"
"05/18/2025","1,474.51","1,447.16","1,489.37","1,447.16","","1.89%"
"05/11/2025","1,447.16","1,448.78","1,480.28","1,447.16","","-0.11%"
"05/04/2025","1,448.78","1,425.28","1,450.76","1,416.68","","1.65%"
"04/27/2025","1,425.28","1,408.87","1,426.25","1,408.67","","1.17%"
"04/20/2025","1,408.87","1,401.02","1,412.49","1,397.48","","0.56%"
"04/13/2025","1,401.02","1,304.86","1,408.19","1,304.86","","7.37%"
"04/06/2025","1,304.86","1,403.26","1,403.26","1,298.25","","-7.01%"
