"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/03/2026","730,00","759,00","780,00","683,00","628,17K","-10,98%"
"22/02/2026","820,00","826,10","835,00","820,00","159,59K","-2,15%"
"15/02/2026","838,00","840,00","848,00","820,10","267,19K","-1,41%"
"08/02/2026","850,00","826,00","850,00","808,00","116,39K","1,80%"
"01/02/2026","835,00","840,00","841,00","795,00","139,32K","-1,53%"
"25/01/2026","848,00","832,10","892,00","805,00","170,04K","1,07%"
"18/01/2026","839,00","866,00","870,00","820,00","148,26K","-4,11%"
"11/01/2026","875,00","905,50","920,00","860,10","181,35K","-4,37%"
"04/01/2026","915,00","930,00","960,00","891,10","709,43K","-2,66%"
"28/12/2025","940,00","770,00","940,00","734,00","1,96M","16,08%"
"21/12/2025","809,80","676,10","989,00","676,10","3,56M","31,74%"
