"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/03/2026","760,00","798,00","798,00","702,10","496,21K","-8,43%"
"22/02/2026","830,00","907,00","907,00","830,00","132,41K","-8,29%"
"15/02/2026","905,00","914,00","925,00","898,00","107,38K","0,56%"
"08/02/2026","900,00","919,00","919,00","883,00","103,36K","-0,11%"
"01/02/2026","901,00","920,00","939,00","871,00","125,54K","-3,33%"
"25/01/2026","932,00","920,00","952,00","895,10","100,78K","1,29%"
"18/01/2026","920,10","954,00","954,00","919,00","62,77K","-3,64%"
"11/01/2026","954,90","975,00","984,00","950,00","65,70K","-3,06%"
"04/01/2026","985,00","965,00","993,00","950,00","116,94K","1,96%"
"28/12/2025","966,10","959,00","974,00","930,00","385,18K","1,16%"
"21/12/2025","955,00","985,00","985,00","955,00","555,07K","-3,53%"
"14/12/2025","989,90","966,20","999,90","955,60","267,44K","2,55%"
"07/12/2025","965,30","952,40","969,00","935,00","58,79K","1,35%"
"30/11/2025","952,40","977,90","977,90","950,00","50,68K","-2,62%"
"23/11/2025","978,00","951,00","988,00","951,00","157,70K","2,89%"
"16/11/2025","950,50","960,00","960,00","935,00","150,73K","-0,99%"
"09/11/2025","960,00","975,00","975,00","955,10","95,80K","-2,03%"
"02/11/2025","979,90","1.040,00","1.042,00","979,90","82,56K","-1,81%"
"26/10/2025","998,00","993,40","999,00","985,00","129,59K","1,32%"
"19/10/2025","985,00","940,00","995,00","935,00","132,61K","7,07%"
"12/10/2025","920,00","935,00","949,90","896,00","137,34K","-1,60%"
"05/10/2025","935,00","950,00","969,90","920,00","88,37K","-0,11%"
"28/09/2025","936,00","962,10","990,00","852,00","356,70K","-2,50%"
"21/09/2025","960,00","997,00","999,90","939,00","232,13K","-3,71%"
"14/09/2025","997,00","993,00","999,90","969,00","163,68K","1,06%"
"07/09/2025","986,50","1.002,00","1.007,00","969,00","259,29K","-1,45%"
"31/08/2025","1.001,00","984,00","1.018,00","972,00","185,46K","2,98%"
"24/08/2025","972,00","939,00","999,90","935,00","279,66K","3,74%"
"17/08/2025","937,00","944,00","944,00","930,00","30,02K","-0,74%"
"10/08/2025","944,00","918,00","950,00","910,00","78,49K","3,40%"
"03/08/2025","913,00","912,50","918,80","902,00","159,07K","0,83%"
"27/07/2025","905,50","880,00","918,90","874,50","230,32K","2,90%"
"20/07/2025","880,00","874,90","882,00","870,00","73,54K","1,14%"
"13/07/2025","870,10","888,00","888,00","861,00","99,21K","-2,02%"
"06/07/2025","888,00","853,00","895,00","853,00","210,13K","3,38%"
"29/06/2025","859,00","845,00","859,00","810,00","134,47K","1,43%"
"22/06/2025","846,90","812,00","851,00","795,00","98,85K","2,64%"
"15/06/2025","825,10","843,00","844,90","781,30","192,09K","-2,70%"
"08/06/2025","848,00","874,00","875,00","826,00","139,83K","-0,83%"
"01/06/2025","855,10","804,00","886,60","788,00","433,22K","8,24%"
"25/05/2025","790,00","775,00","813,90","770,00","147,25K","1,94%"
"18/05/2025","775,00","773,00","803,90","765,00","194,92K","1,31%"
"11/05/2025","765,00","750,00","785,00","750,00","251,74K","2,41%"
"04/05/2025","747,00","743,00","747,00","730,00","18,43K","0,54%"
"27/04/2025","743,00","744,20","755,00","738,00","95,37K","0,01%"
"20/04/2025","742,90","730,00","744,80","723,30","159,20K","1,91%"
"13/04/2025","729,00","704,00","729,70","684,00","384,43K","8,81%"
"06/04/2025","670,00","701,00","713,00","632,00","619,28K","-8,91%"
"30/03/2025","735,50","750,00","798,90","728,00","225,09K","-1,93%"
"23/03/2025","750,00","744,00","764,90","727,00","199,77K","0,81%"
"16/03/2025","744,00","725,00","755,00","716,80","486,60K","3,62%"
"09/03/2025","718,00","705,00","720,00","686,00","269,83K","2,41%"
"02/03/2025","701,10","730,00","735,00","699,00","104,83K","-3,83%"
"23/02/2025","729,00","719,00","757,00","700,00","240,55K","0,43%"
"16/02/2025","725,90","610,00","760,00","606,00","517,89K","19,59%"
"09/02/2025","607,00","600,20","617,00","597,00","177,03K","0,85%"
"02/02/2025","601,90","609,90","610,00","599,00","75,34K","-0,64%"
"26/01/2025","605,80","605,00","614,00","599,00","87,37K","0,30%"
"19/01/2025","604,00","609,90","609,90","592,60","103,15K","-0,17%"
"12/01/2025","605,00","610,00","620,00","591,00","149,40K","-0,82%"
"05/01/2025","610,00","600,00","630,00","584,00","498,74K","5,39%"
"29/12/2024","578,80","530,00","583,40","527,60","316,64K","9,41%"
"22/12/2024","529,00","530,00","533,00","521,00","240,16K","0,76%"
"15/12/2024","525,00","535,00","540,00","524,50","152,35K","-0,83%"
"08/12/2024","529,40","530,00","537,00","520,00","80,22K","-0,11%"
"01/12/2024","530,00","545,00","551,00","522,00","85,55K","-3,39%"
"24/11/2024","548,60","545,00","569,00","540,00","234,52K","0,66%"
"17/11/2024","545,00","555,00","568,90","540,00","100,23K","0,93%"
"10/11/2024","540,00","501,00","541,90","498,00","389,18K","8,00%"
"03/11/2024","500,00","477,90","506,50","468,00","216,40K","5,93%"
"27/10/2024","472,00","454,95","479,90","449,50","300,96K","5,26%"
"20/10/2024","448,40","432,00","449,00","430,00","161,40K","3,75%"
"13/10/2024","432,20","431,50","444,50","411,00","332,94K","0,51%"
"06/10/2024","430,00","444,00","446,90","422,50","193,42K","-2,71%"
"29/09/2024","442,00","445,00","478,90","425,00","207,77K","0,45%"
"22/09/2024","440,00","408,00","460,00","398,00","201,77K","7,84%"
"15/09/2024","408,00","401,50","412,80","395,20","45,15K","2,51%"
"08/09/2024","398,00","390,00","410,00","390,00","116,23K","2,31%"
"01/09/2024","389,00","381,90","398,00","380,00","185,83K","1,57%"
"25/08/2024","383,00","376,75","383,00","370,00","192,50K","2,68%"
"18/08/2024","373,00","370,10","376,50","370,10","18,63K","-0,27%"
"11/08/2024","374,00","378,45","378,50","371,00","35,35K","-0,27%"
"04/08/2024","375,00","372,05","375,00","355,10","64,83K","0,00%"
"28/07/2024","375,00","367,00","380,00","362,05","110,57K","1,90%"
"21/07/2024","368,00","389,00","393,00","365,00","101,61K","-4,42%"
"14/07/2024","385,00","340,00","385,00","330,00","238,12K","13,24%"
"07/07/2024","340,00","310,10","343,00","303,50","152,76K","7,94%"
"30/06/2024","315,00","315,00","315,00","300,00","282,05K","0,96%"
"23/06/2024","312,00","301,00","316,00","300,00","434,05K","4,00%"
"16/06/2024","300,00","301,00","305,95","296,50","135,63K","-0,33%"
"09/06/2024","301,00","290,20","307,00","290,00","226,97K","3,06%"
"02/06/2024","292,05","290,00","295,00","283,15","231,97K","1,41%"
"26/05/2024","288,00","289,90","290,00","285,70","134,77K","0,88%"
"19/05/2024","285,50","284,00","291,00","284,00","102,19K","0,16%"
"12/05/2024","285,05","285,00","288,00","283,05","55,58K","0,00%"
"05/05/2024","285,05","286,00","288,00","280,15","65,34K","-0,33%"
"28/04/2024","286,00","288,00","293,00","280,60","27,32K","-0,66%"
"21/04/2024","287,90","287,00","293,00","285,00","65,80K","-1,40%"
"14/04/2024","292,00","290,00","297,90","282,50","306,08K","-0,61%"
"07/04/2024","293,80","281,00","293,80","280,50","90,03K","3,82%"
"31/03/2024","283,00","283,85","283,85","276,00","107,60K","1,07%"
"24/03/2024","280,00","280,00","281,90","276,00","15,39K","0,00%"
"17/03/2024","280,00","285,00","286,50","280,00","77,27K","-1,93%"
"10/03/2024","285,50","289,00","289,00","284,00","53,98K","-0,17%"
"03/03/2024","286,00","292,20","292,20","285,00","72,51K","-1,40%"
"25/02/2024","290,05","293,00","293,00","284,25","27,27K","-0,67%"
"18/02/2024","292,00","280,60","294,00","280,60","231,66K","2,65%"
"11/02/2024","284,45","280,00","285,00","276,00","83,15K","1,59%"
"04/02/2024","280,00","277,00","280,00","273,20","221,98K","1,16%"
"28/01/2024","276,80","278,35","278,80","270,00","34,97K","-0,07%"
"21/01/2024","277,00","277,00","278,90","275,05","112,11K","0,00%"
"14/01/2024","277,00","279,80","279,80","273,00","79,52K","-0,89%"
"07/01/2024","279,50","275,00","279,50","272,00","129,96K","1,45%"
"31/12/2023","275,50","272,00","280,00","272,00","40,24K","-0,90%"
"24/12/2023","278,00","275,00","280,00","270,10","78,62K","1,39%"
"17/12/2023","274,20","278,00","278,00","270,50","98,29K","-1,01%"
"10/12/2023","277,00","271,95","277,00","267,05","93,76K","1,84%"
"03/12/2023","272,00","267,30","272,00","267,15","150,54K","0,00%"
"26/11/2023","272,00","270,90","273,70","267,10","67,04K","0,02%"
"19/11/2023","271,95","272,00","272,00","266,10","37,80K","0,00%"
"12/11/2023","271,95","269,50","271,95","266,05","45,14K","0,91%"
"05/11/2023","269,50","265,50","269,50","265,00","57,88K","0,19%"
"29/10/2023","269,00","267,15","270,00","265,05","72,67K","-0,74%"
"22/10/2023","271,00","274,00","274,00","266,20","109,83K","-1,44%"
"15/10/2023","274,95","272,80","276,90","270,55","219,37K","-0,72%"
"08/10/2023","276,95","272,60","279,95","270,00","41,22K","-1,04%"
"01/10/2023","279,85","263,05","284,90","263,05","313,52K","4,03%"
"24/09/2023","269,00","261,00","270,00","261,00","79,93K","0,75%"
"17/09/2023","267,00","263,00","267,00","255,30","63,68K","0,75%"
"10/09/2023","265,00","267,75","267,95","262,55","81,73K","-0,75%"
"03/09/2023","267,00","261,50","267,00","258,20","73,04K","0,38%"
"27/08/2023","266,00","265,20","267,50","256,00","67,43K","-0,75%"
"20/08/2023","268,00","272,00","272,00","267,00","106,22K","-1,51%"
"13/08/2023","272,10","270,00","272,50","265,20","245,20K","0,78%"
"06/08/2023","270,00","274,00","274,00","266,20","67,63K","-1,82%"
"30/07/2023","275,00","275,00","279,00","270,10","108,48K","0,00%"
"23/07/2023","275,00","269,80","277,00","266,00","86,16K","1,91%"
"16/07/2023","269,85","260,00","270,00","255,10","80,93K","3,79%"
"09/07/2023","260,00","264,90","265,00","254,50","79,23K","-1,46%"
"02/07/2023","263,85","255,00","264,00","252,00","163,52K","4,70%"
"25/06/2023","252,00","252,00","255,00","250,00","472,98K","0,00%"
"18/06/2023","252,00","249,00","258,85","247,00","316,55K","1,25%"
"11/06/2023","248,90","245,00","250,00","240,05","98,68K","1,63%"
"04/06/2023","244,90","247,95","248,95","242,00","59,21K","-1,65%"
"28/05/2023","249,00","247,00","252,90","245,05","101,04K","0,40%"
"21/05/2023","248,00","240,00","248,00","235,50","73,42K","3,72%"
"14/05/2023","239,10","234,00","239,95","234,00","29,56K","1,96%"
"07/05/2023","234,50","229,20","235,00","224,50","126,57K","2,40%"
"30/04/2023","229,00","230,00","232,00","221,10","65,85K","-2,01%"
"23/04/2023","233,70","220,00","233,70","218,50","74,84K","6,23%"
"16/04/2023","220,00","218,00","220,00","217,00","38,29K","0,46%"
"09/04/2023","219,00","216,15","219,70","216,15","171,28K","0,00%"
"02/04/2023","219,00","219,00","219,90","213,50","142,98K","2,34%"
"26/03/2023","214,00","214,00","220,00","214,00","63,20K","-2,28%"
"19/03/2023","219,00","210,20","219,00","210,20","18,25K","4,24%"
"12/03/2023","210,10","210,00","215,85","210,00","43,07K","-2,26%"
"05/03/2023","214,95","217,50","217,50","208,10","44,43K","-1,24%"
"26/02/2023","217,65","223,85","223,85","214,00","16,29K","-1,96%"
"19/02/2023","222,00","215,00","222,00","211,10","149,29K","3,26%"
"12/02/2023","215,00","216,25","217,00","210,20","57,58K","-0,88%"
"05/02/2023","216,90","210,00","219,00","205,00","370,69K","4,28%"
"29/01/2023","208,00","198,05","208,00","198,05","352,74K","5,05%"
"22/01/2023","198,00","204,95","204,95","196,10","84,10K","-1,00%"
"15/01/2023","200,00","205,00","207,95","199,00","129,31K","0,00%"
"08/01/2023","200,00","189,90","200,00","178,00","185,04K","10,50%"
"01/01/2023","181,00","215,00","215,00","181,00","130,02K","-16,20%"
"25/12/2022","216,00","210,05","219,00","207,20","1,04M","2,86%"
"18/12/2022","210,00","218,00","218,90","207,20","36,43K","-3,67%"
"11/12/2022","218,00","224,50","229,85","217,00","25,01K","-3,11%"
"04/12/2022","225,00","217,20","230,00","217,20","59,09K","0,90%"
"27/11/2022","223,00","211,10","223,00","206,00","39,07K","4,21%"
"20/11/2022","214,00","216,00","216,00","205,00","46,88K","0,47%"
"13/11/2022","213,00","205,00","214,00","198,00","73,38K","6,50%"
"06/11/2022","200,00","211,00","217,90","200,00","618,20K","-8,26%"
"30/10/2022","218,00","215,60","222,00","215,60","22,79K","-2,68%"
"23/10/2022","224,00","210,00","224,00","204,00","69,52K","6,67%"
"16/10/2022","210,00","223,00","229,50","209,00","121,51K","-8,60%"
"09/10/2022","229,75","241,00","241,00","223,00","75,67K","-4,67%"
"02/10/2022","241,00","240,00","249,45","240,00","25,68K","0,42%"
"25/09/2022","240,00","255,00","255,00","236,00","221,58K","-5,88%"
"18/09/2022","255,00","257,00","258,00","250,00","75,46K","-0,78%"
"11/09/2022","257,00","259,95","260,00","256,00","50,89K","-1,12%"
"04/09/2022","259,90","259,50","260,00","257,00","14,76K","-0,04%"
"28/08/2022","260,00","258,00","261,75","256,50","18,33K","0,39%"
"21/08/2022","259,00","260,00","265,00","256,00","69,83K","-0,38%"
"14/08/2022","260,00","260,50","261,00","258,20","24,69K","0,00%"
"07/08/2022","260,00","260,05","260,05","257,10","67,24K","0,00%"
"31/07/2022","260,00","259,00","261,45","256,00","6,62K","0,39%"
"24/07/2022","259,00","260,05","264,70","258,00","22,62K","-0,38%"
"17/07/2022","260,00","260,10","264,50","258,00","65,18K","0,00%"
"10/07/2022","260,00","255,00","262,00","253,00","51,84K","1,96%"
"03/07/2022","255,00","256,00","256,00","243,50","62,69K","0,00%"
"26/06/2022","255,00","255,20","262,50","251,00","203,60K","-1,16%"
"19/06/2022","258,00","263,00","263,00","256,00","62,04K","-0,77%"
"12/06/2022","260,00","270,40","270,40","251,00","181,13K","-1,87%"
"05/06/2022","264,95","271,00","271,80","262,50","24,81K","-1,87%"
"29/05/2022","270,00","267,65","272,50","260,00","104,62K","3,45%"
"22/05/2022","261,00","269,90","269,90","260,00","35,22K","-2,25%"
"15/05/2022","267,00","273,70","273,70","264,30","154,96K","-2,20%"
"08/05/2022","273,00","274,00","279,50","264,00","21,94K","-0,55%"
"01/05/2022","274,50","280,00","281,00","274,50","172,61K","-0,54%"
"24/04/2022","276,00","282,00","283,00","275,00","217,92K","-2,13%"
"17/04/2022","282,00","275,00","282,00","274,05","162,63K","1,09%"
"10/04/2022","278,95","277,00","278,95","271,00","66,44K","2,93%"
"03/04/2022","271,00","266,00","272,00","261,00","154,21K","2,61%"
"27/03/2022","264,10","262,00","266,80","260,00","69,23K","0,42%"
"20/03/2022","263,00","271,00","272,00","261,00","54,29K","-2,59%"
"13/03/2022","270,00","263,05","272,00","263,00","81,85K","2,66%"
"06/03/2022","263,00","256,00","275,00","248,65","115,11K","-0,57%"
"27/02/2022","264,50","276,00","279,90","264,50","76,07K","-2,04%"
"20/02/2022","270,00","283,20","287,00","264,00","187,24K","-5,76%"
"13/02/2022","286,50","288,00","288,00","283,00","65,93K","-1,10%"
"06/02/2022","289,70","288,00","289,90","287,10","57,20K","0,85%"
"30/01/2022","287,25","287,00","289,90","285,20","80,81K","-0,09%"
"23/01/2022","287,50","290,75","291,50","284,20","92,39K","1,59%"
"16/01/2022","283,00","290,10","294,95","283,00","163,42K","-2,75%"
"09/01/2022","291,00","285,00","295,00","281,10","94,61K","2,11%"
"02/01/2022","285,00","277,00","285,00","277,00","48,89K","1,82%"
"26/12/2021","279,90","276,00","284,00","275,00","249,11K","1,41%"
"19/12/2021","276,00","276,50","280,00","274,00","45,55K","-1,08%"
"12/12/2021","279,00","278,00","282,00","276,05","18,05K","-0,71%"
"05/12/2021","281,00","277,00","281,50","276,00","221,06K","0,38%"
"28/11/2021","279,95","275,10","280,00","270,00","99,31K","0,70%"
"21/11/2021","278,00","278,05","281,50","276,10","128,43K","-0,71%"
"14/11/2021","280,00","276,00","281,95","276,00","48,20K","1,08%"
"07/11/2021","277,00","277,50","280,00","276,00","40,10K","-0,18%"
"31/10/2021","277,50","286,00","287,00","276,00","95,49K","-2,97%"
"24/10/2021","286,00","279,00","286,00","278,10","136,88K","2,55%"
"17/10/2021","278,90","279,00","284,00","278,25","26,79K","-0,21%"
"10/10/2021","279,50","280,00","281,00","278,00","72,52K","0,54%"
"03/10/2021","278,00","277,10","280,00","275,15","66,75K","0,29%"
"26/09/2021","277,20","279,45","288,00","277,00","107,66K","-0,65%"
"19/09/2021","279,00","276,90","280,00","273,00","177,04K","2,33%"
"12/09/2021","272,65","263,75","275,85","263,00","178,38K","3,28%"
"05/09/2021","264,00","264,75","269,00","259,00","180,41K","0,19%"
"29/08/2021","263,50","261,60","265,00","261,50","71,62K","-0,51%"
"22/08/2021","264,85","264,00","264,85","261,00","80,28K","0,95%"
"15/08/2021","262,35","261,10","264,50","261,00","26,93K","-0,59%"
"08/08/2021","263,90","258,00","266,80","258,00","86,06K","1,72%"
