"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/03/2026","1.800,00","1.820,00","1.920,00","1.600,00","39,46K","-5,01%"
"22/02/2026","1.895,00","1.948,00","1.948,00","1.800,00","10,31K","0,26%"
"15/02/2026","1.890,00","2.023,00","2.024,00","1.890,00","4,65K","-3,08%"
"08/02/2026","1.950,00","1.999,00","2.059,00","1.950,00","12,22K","0,26%"
"01/02/2026","1.945,00","2.065,00","2.095,00","1.900,00","15,65K","-6,89%"
"25/01/2026","2.089,00","2.100,00","2.150,00","2.025,00","53,82K","0,00%"
"18/01/2026","2.089,00","2.180,00","2.189,00","2.087,00","9,30K","-4,13%"
"11/01/2026","2.179,00","2.190,00","2.229,00","2.158,00","2,57K","-0,46%"
"04/01/2026","2.189,00","2.269,00","2.269,00","2.180,00","17,58K","1,58%"
"28/12/2025","2.155,00","2.199,00","2.247,00","2.120,00","68,74K","-2,05%"
"21/12/2025","2.200,00","2.314,00","2.314,00","2.150,00","21,60K","-2,22%"
"14/12/2025","2.250,00","2.350,00","2.374,00","2.200,00","51,26K","-4,01%"
"07/12/2025","2.344,00","2.359,00","2.400,00","2.260,00","7,56K","4,18%"
"30/11/2025","2.250,00","2.277,00","2.400,00","2.190,00","4,09K","-1,19%"
"23/11/2025","2.277,00","2.221,00","2.277,00","2.145,00","10,44K","0,80%"
"16/11/2025","2.259,00","2.374,00","2.374,00","2.200,00","1,68K","-0,96%"
"09/11/2025","2.281,00","2.350,00","2.450,00","2.281,00","6,49K","-2,94%"
"02/11/2025","2.350,00","2.594,00","2.594,00","2.350,00","7,89K","-4,04%"
"26/10/2025","2.449,00","2.498,00","2.600,00","2.420,00","15,91K","-1,84%"
"19/10/2025","2.495,00","2.398,00","2.550,00","2.375,00","8,79K","8,06%"
"12/10/2025","2.309,00","2.400,00","2.410,00","2.280,00","4,32K","-3,79%"
"05/10/2025","2.400,00","2.490,00","2.498,00","2.391,00","8,38K","0,00%"
"28/09/2025","2.400,00","2.520,00","2.520,00","2.200,00","35,51K","-4,00%"
"21/09/2025","2.500,00","2.681,00","2.689,00","2.500,00","17,00K","-7,34%"
"14/09/2025","2.698,00","2.805,00","2.849,00","2.650,00","7,74K","-3,81%"
"07/09/2025","2.805,00","2.839,00","2.900,00","2.802,00","8,49K","-1,23%"
"31/08/2025","2.840,00","2.899,00","2.899,00","2.840,00","9,48K","-1,56%"
"24/08/2025","2.885,00","2.883,00","2.947,00","2.830,00","47,11K","-2,20%"
"17/08/2025","2.950,00","2.900,00","2.950,00","2.841,00","3,86K","1,72%"
"10/08/2025","2.900,00","2.879,00","2.925,00","2.801,00","2,51K","3,57%"
"03/08/2025","2.800,00","2.977,00","2.977,00","2.800,00","17,09K","-5,66%"
"27/07/2025","2.968,00","2.999,00","2.999,00","2.911,00","5,94K","-0,74%"
"20/07/2025","2.990,00","3.000,00","3.100,00","2.921,00","8,23K","0,17%"
"13/07/2025","2.985,00","2.814,00","3.050,00","2.814,00","68,66K","3,32%"
"06/07/2025","2.889,00","2.905,00","2.950,00","2.800,00","12,58K","-1,06%"
"29/06/2025","2.920,00","2.900,00","2.930,00","2.800,00","10,20K","0,69%"
"22/06/2025","2.900,00","2.854,00","3.029,00","2.811,00","8,28K","0,52%"
"15/06/2025","2.885,00","2.947,00","2.947,00","2.602,00","26,80K","-2,20%"
"08/06/2025","2.950,00","3.030,00","3.049,00","2.851,00","7,36K","-2,64%"
"01/06/2025","3.030,00","3.048,00","3.100,00","2.950,00","15,20K","-1,94%"
"25/05/2025","3.090,00","3.080,00","3.090,00","2.800,00","30,99K","0,00%"
"18/05/2025","3.090,00","3.031,00","3.240,00","3.031,00","54,52K","12,12%"
"11/05/2025","2.756,00","2.649,00","2.858,00","2.602,00","36,67K","8,50%"
"04/05/2025","2.540,00","2.362,00","2.594,00","2.329,00","22,10K","5,83%"
"27/04/2025","2.400,00","2.320,00","2.455,00","2.281,00","18,16K","5,54%"
"20/04/2025","2.274,00","2.249,00","2.301,00","2.170,00","24,88K","1,11%"
"13/04/2025","2.249,00","1.950,00","2.350,00","1.900,00","54,69K","23,17%"
"06/04/2025","1.826,00","2.050,00","2.155,00","1.826,00","47,10K","-13,09%"
"30/03/2025","2.101,00","2.389,00","2.389,00","2.000,00","50,02K","-9,05%"
"23/03/2025","2.310,00","1.999,00","2.350,00","1.980,00","77,69K","15,62%"
"16/03/2025","1.998,00","1.682,00","2.000,00","1.660,00","54,61K","21,83%"
"09/03/2025","1.640,00","1.698,00","1.725,00","1.608,00","36,12K","-3,47%"
"02/03/2025","1.699,00","1.622,00","1.728,00","1.571,00","41,98K","4,30%"
"23/02/2025","1.629,00","1.641,00","1.699,00","1.605,00","44,42K","-1,27%"
"16/02/2025","1.650,00","1.550,00","1.720,00","1.550,00","70,00K","7,84%"
"09/02/2025","1.530,00","1.486,00","1.560,00","1.470,00","89,10K","2,62%"
"02/02/2025","1.491,00","1.390,00","1.499,00","1.380,00","50,45K","7,65%"
"26/01/2025","1.385,00","1.422,00","1.423,00","1.356,00","5,84K","-2,12%"
"19/01/2025","1.415,00","1.410,00","1.424,00","1.350,00","7,64K","-0,35%"
"12/01/2025","1.420,00","1.437,00","1.445,00","1.382,00","5,68K","-1,32%"
"05/01/2025","1.439,00","1.370,00","1.493,00","1.370,00","38,82K","2,42%"
"29/12/2024","1.405,00","1.320,00","1.430,00","1.320,00","22,52K","6,44%"
"22/12/2024","1.320,00","1.419,00","1.438,00","1.303,00","96,05K","-5,71%"
"15/12/2024","1.400,00","1.365,00","1.421,00","1.350,00","42,58K","4,48%"
"08/12/2024","1.340,00","1.359,00","1.379,00","1.315,00","11,28K","2,06%"
"01/12/2024","1.313,00","1.314,00","1.341,00","1.305,00","1,60K","-0,23%"
"24/11/2024","1.316,00","1.385,00","1.390,00","1.304,00","13,27K","-5,60%"
"17/11/2024","1.394,00","1.399,00","1.419,00","1.373,00","8,15K","-0,43%"
"10/11/2024","1.400,00","1.484,00","1.500,00","1.400,00","6,90K","-3,78%"
