"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"06/03/2026","720,00","764,00","764,00","720,00","120,28K","-3,36%"
"05/03/2026","745,00","719,00","745,00","715,00","32,40K","8,76%"
"04/03/2026","685,00","681,00","728,00","681,00","131,20K","1,33%"
"03/03/2026","676,00","725,00","725,00","675,10","99,01K","-7,14%"
"02/03/2026","728,00","731,00","765,00","728,00","274,08K","-9,00%"
"27/02/2026","800,00","812,00","814,90","800,00","41,20K","-1,23%"
"26/02/2026","810,00","820,00","820,00","810,00","7,28K","-1,22%"
"25/02/2026","820,00","827,00","830,00","820,00","4,83K","-0,67%"
"24/02/2026","825,50","830,00","834,00","825,50","17,20K","-0,53%"
"23/02/2026","829,90","826,00","835,00","826,00","17,12K","-1,08%"
"20/02/2026","839,00","838,00","839,00","830,00","21,26K","-0,56%"
"19/02/2026","843,70","840,00","844,00","830,20","3,42K","0,44%"
"18/02/2026","840,00","840,00","845,00","837,00","15,94K","-1,06%"
"17/02/2026","849,00","850,00","850,00","836,00","16,39K","-0,59%"
"16/02/2026","854,00","846,00","859,00","846,00","20,83K","1,07%"
"13/02/2026","845,00","865,00","865,00","838,00","28,89K","-0,12%"
"12/02/2026","846,00","825,00","846,00","825,00","15,44K","3,05%"
"11/02/2026","821,00","828,00","830,00","819,00","31,09K","0,12%"
"10/02/2026","820,00","830,00","833,00","820,00","8,71K","-1,20%"
"09/02/2026","830,00","835,00","839,80","826,10","3,26K","-0,52%"
