"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/03/2026","720,00","731,00","765,00","675,10","656,97K","-10,00%"
"01/02/2026","800,00","844,10","865,00","800,00","451,97K","-7,51%"
"01/01/2026","865,00","910,00","959,90","825,00","499,80K","-4,54%"
"01/12/2025","906,10","909,00","950,00","885,00","747,96K","-2,57%"
"01/11/2025","930,00","991,00","1.020,00","840,00","1,25M","-3,23%"
"01/10/2025","961,00","892,10","969,90","821,00","930,64K","5,60%"
"01/09/2025","910,00","1.050,00","1.056,00","807,00","1,09M","-13,33%"
"01/08/2025","1.050,00","1.049,00","1.100,00","990,10","1,25M","1,45%"
"01/07/2025","1.035,00","880,00","1.070,00","865,00","1,47M","20,35%"
"01/06/2025","860,00","871,20","920,00","789,00","853,57K","-2,27%"
"01/05/2025","880,00","733,00","910,00","725,50","1,09M","20,22%"
"01/04/2025","732,00","711,00","739,50","615,00","1,12M","4,57%"
"01/03/2025","700,00","673,60","748,00","636,10","1,25M","6,22%"
"01/02/2025","659,00","560,10","747,00","558,00","830,07K","18,10%"
"01/01/2025","558,00","478,80","574,00","476,00","1,18M","17,23%"
"01/12/2024","476,00","472,00","485,00","465,00","288,78K","1,28%"
"01/11/2024","470,00","435,00","497,00","435,00","958,08K","8,55%"
"01/10/2024","433,00","430,00","439,00","375,00","1,10M","2,12%"
"01/09/2024","424,00","375,55","435,00","365,00","590,93K","13,10%"
"01/08/2024","374,90","343,00","390,00","335,00","381,62K","9,94%"
"01/07/2024","341,00","310,00","349,00","294,00","363,53K","10,00%"
"01/06/2024","310,00","316,00","317,00","292,00","169,35K","-1,90%"
"01/05/2024","316,00","311,35","339,00","306,20","514,31K","1,71%"
"01/04/2024","310,70","255,00","330,00","255,00","3,87M","21,84%"
"01/03/2024","255,00","239,85","260,00","225,00","440,40K","8,51%"
"01/02/2024","235,00","219,00","249,00","218,60","688,31K","7,80%"
"01/01/2024","218,00","186,00","226,25","186,00","759,76K","17,20%"
"01/12/2023","186,00","178,00","188,50","173,60","356,64K","3,91%"
"01/11/2023","179,00","170,10","180,70","170,10","469,45K","4,68%"
"01/10/2023","171,00","153,05","179,00","145,00","842,83K","11,76%"
"01/09/2023","153,00","144,00","157,35","140,00","551,42K","5,88%"
"01/08/2023","144,50","149,10","151,25","139,00","92,58K","-4,56%"
"01/07/2023","151,40","145,00","153,00","145,00","332,90K","3,34%"
"01/06/2023","146,50","139,00","156,00","134,00","1,05M","6,16%"
"01/05/2023","138,00","133,05","141,00","130,20","191,86K","0,04%"
"01/04/2023","137,95","123,00","137,95","118,75","110,67K","11,29%"
"01/03/2023","123,95","127,00","128,40","118,40","68,54K","-3,01%"
"01/02/2023","127,80","116,00","129,00","114,00","53,82K","13,10%"
"01/01/2023","113,00","122,50","123,95","110,00","106,71K","-9,60%"
"01/12/2022","125,00","117,50","130,00","115,45","154,16K","5,04%"
"01/11/2022","119,00","125,00","127,00","112,20","171,35K","-4,80%"
"01/10/2022","125,00","135,00","137,00","120,00","54,31K","-7,41%"
"01/09/2022","135,00","134,10","139,40","128,60","167,33K","-0,04%"
"01/08/2022","135,05","137,90","140,00","132,00","39,80K","-0,70%"
"01/07/2022","136,00","133,10","140,00","122,00","61,86K","2,26%"
"01/06/2022","133,00","145,55","151,85","131,00","267,20K","-8,90%"
"01/05/2022","146,00","160,00","161,90","141,05","194,85K","-8,75%"
"01/04/2022","160,00","159,25","172,75","158,15","185,75K","0,47%"
"01/03/2022","159,25","173,10","174,90","150,50","485,72K","-9,00%"
"01/02/2022","175,00","180,00","191,00","170,00","637,66K","-2,78%"
"01/01/2022","180,00","170,05","191,95","166,00","1,15M","5,63%"
