"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/03/2026","720,00","731,00","765,00","675,10","656,97K","-10,00%"
"22/02/2026","800,00","826,00","835,00","800,00","87,62K","-4,65%"
"15/02/2026","839,00","846,00","859,00","830,00","77,84K","-0,71%"
"08/02/2026","845,00","835,00","865,00","819,00","87,38K","1,28%"
"01/02/2026","834,30","844,10","860,00","821,00","199,13K","-3,55%"
"25/01/2026","865,00","869,00","890,00","825,00","94,62K","-1,59%"
"18/01/2026","879,00","886,00","900,00","866,20","58,61K","-2,33%"
"11/01/2026","900,00","908,60","929,00","881,00","64,42K","-3,23%"
"04/01/2026","930,00","921,00","959,90","905,20","263,40K","-0,53%"
"28/12/2025","935,00","930,30","935,00","880,00","71,15K","-0,53%"
"21/12/2025","940,00","944,90","950,00","931,00","283,76K","-0,74%"
"14/12/2025","947,00","911,10","950,00","905,00","230,76K","2,93%"
"07/12/2025","920,00","893,00","920,00","885,00","81,84K","2,22%"
"30/11/2025","900,00","909,00","914,00","885,00","99,21K","-3,23%"
"23/11/2025","930,00","860,30","935,00","860,30","395,06K","8,14%"
"16/11/2025","860,00","909,00","909,00","840,00","166,60K","-4,34%"
"09/11/2025","899,00","935,00","935,00","888,00","532,63K","-4,16%"
"02/11/2025","938,00","991,00","1.020,00","937,00","155,60K","-2,39%"
"26/10/2025","961,00","920,00","969,90","909,00","323,95K","4,46%"
"19/10/2025","920,00","915,00","949,00","908,10","158,67K","2,22%"
"12/10/2025","900,00","890,00","908,50","845,00","120,22K","1,90%"
"05/10/2025","883,20","925,00","944,00","883,20","132,27K","-3,49%"
"28/09/2025","915,10","915,60","921,00","807,00","485,81K","0,34%"
"21/09/2025","912,00","970,00","975,00","912,00","189,27K","-5,98%"
"14/09/2025","970,00","1.000,00","1.000,00","952,00","209,01K","-2,90%"
"07/09/2025","999,00","1.035,00","1.040,00","991,00","221,83K","-3,48%"
"31/08/2025","1.035,00","1.050,00","1.056,00","1.027,00","177,69K","-1,43%"
"24/08/2025","1.050,00","1.082,00","1.100,00","1.040,00","258,77K","-2,96%"
"17/08/2025","1.082,00","1.077,00","1.082,00","1.045,00","151,94K","1,31%"
"10/08/2025","1.068,00","1.070,00","1.090,00","1.060,00","210,50K","1,23%"
"03/08/2025","1.055,00","1.025,00","1.055,00","990,10","316,40K","2,03%"
"27/07/2025","1.034,00","949,00","1.080,00","934,00","894,35K","7,82%"
"20/07/2025","959,00","989,00","1.020,00","959,00","332,13K","-1,53%"
"13/07/2025","973,90","982,00","982,00","951,00","196,20K","-0,31%"
"06/07/2025","976,90","888,00","979,70","866,00","274,18K","9,60%"
"29/06/2025","891,30","879,90","899,90","860,00","140,73K","1,28%"
"22/06/2025","880,00","800,00","880,00","800,00","129,49K","6,02%"
"15/06/2025","830,00","859,00","870,00","789,00","336,25K","-4,59%"
"08/06/2025","869,90","895,00","912,00","832,10","194,07K","-2,26%"
"01/06/2025","890,00","871,20","920,00","868,20","135,67K","1,14%"
"25/05/2025","880,00","854,00","897,00","852,00","132,55K","3,29%"
"18/05/2025","852,00","800,10","910,00","800,10","476,31K","6,50%"
"11/05/2025","800,00","782,00","844,90","782,00","303,73K","3,90%"
"04/05/2025","770,00","733,00","770,00","726,00","152,04K","5,05%"
"27/04/2025","733,00","719,00","739,50","715,00","112,62K","2,95%"
"20/04/2025","712,00","694,90","717,00","690,00","120,04K","3,34%"
"13/04/2025","689,00","644,10","700,00","644,10","219,83K","8,47%"
"06/04/2025","635,20","670,00","697,00","615,00","492,55K","-9,90%"
"30/03/2025","705,00","711,00","720,00","660,00","209,48K","0,71%"
"23/03/2025","700,00","726,00","748,00","700,00","406,69K","-2,93%"
"16/03/2025","721,10","694,90","739,90","681,10","549,65K","7,63%"
"09/03/2025","670,00","691,30","694,00","636,10","174,95K","-2,90%"
"02/03/2025","690,00","673,60","699,00","673,50","118,26K","4,70%"
"23/02/2025","659,00","747,00","747,00","659,00","425,12K","-9,20%"
"16/02/2025","725,80","580,00","725,80","580,00","172,75K","26,20%"
"09/02/2025","575,10","570,00","577,00","558,00","153,27K","1,43%"
"02/02/2025","567,00","560,10","570,00","558,00","78,92K","1,61%"
"26/01/2025","558,00","530,00","574,00","525,30","320,54K","5,28%"
"19/01/2025","530,00","536,00","539,90","507,00","229,15K","-0,93%"
"12/01/2025","535,00","526,50","548,00","515,00","104,50K","0,94%"
"05/01/2025","530,00","539,90","555,00","511,00","348,18K","0,00%"
"29/12/2024","530,00","470,00","530,00","469,05","192,21K","13,25%"
"22/12/2024","468,00","473,00","474,95","465,10","57,41K","-0,43%"
"15/12/2024","470,00","475,00","485,00","467,50","74,63K","-0,63%"
"08/12/2024","473,00","482,00","484,00","465,00","42,47K","-2,07%"
"01/12/2024","483,00","472,00","485,00","465,00","94,98K","2,77%"
