"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","380.00","375.00","392.80","340.00","142.98K","-5.00%"
"02/22/2026","400.00","396.05","406.90","393.10","46.57K","-1.23%"
"02/15/2026","405.00","408.00","408.50","395.00","143.54K","-0.71%"
"02/08/2026","407.90","391.10","407.90","386.25","27.70K","1.97%"
"02/01/2026","400.00","399.00","400.00","381.00","24.46K","0.25%"
"01/25/2026","399.00","392.05","400.00","390.10","7.07K","2.05%"
"01/18/2026","391.00","405.00","407.85","390.00","109.23K","-3.46%"
"01/11/2026","405.00","410.10","414.00","401.05","82.71K","-0.74%"
"01/04/2026","408.00","405.50","416.90","405.50","105.11K","-1.33%"
"12/28/2025","413.50","410.00","417.00","395.90","428.79K","-0.12%"
"12/21/2025","414.00","420.90","420.90","407.25","61.79K","-1.43%"
"12/14/2025","420.00","415.00","420.00","408.70","79.34K","1.27%"
"12/07/2025","414.75","416.90","416.90","405.15","6.61K","-0.06%"
"11/30/2025","415.00","409.00","415.00","402.00","101.98K","3.23%"
"11/23/2025","402.00","401.00","411.80","401.00","25.82K","-1.95%"
"11/16/2025","410.00","415.20","420.00","401.00","25.32K","-2.38%"
"11/09/2025","420.00","427.80","427.80","410.10","12.16K","-1.96%"
"11/02/2025","428.40","430.00","432.00","417.00","26.72K","0.80%"
"10/26/2025","425.00","425.80","425.80","410.00","41.72K","-0.23%"
"10/19/2025","426.00","418.00","426.00","413.00","114.72K","2.16%"
"10/12/2025","417.00","406.10","417.00","398.00","29.51K","3.73%"
"10/05/2025","402.00","427.35","427.35","402.00","63.46K","-4.06%"
"09/28/2025","419.00","417.50","428.00","393.00","78.75K","-2.56%"
"09/21/2025","430.00","427.80","444.00","415.00","234.86K","0.51%"
"09/14/2025","427.80","418.90","427.80","408.05","149.22K","2.94%"
"09/07/2025","415.60","425.00","427.00","402.00","49.11K","-2.90%"
"08/31/2025","428.00","430.10","439.80","423.40","25.38K","-0.47%"
"08/24/2025","430.00","429.40","430.00","415.10","120.73K","0.14%"
"08/17/2025","429.40","430.00","430.00","422.00","39.98K","-0.12%"
"08/10/2025","429.90","437.00","438.40","422.00","44.14K","-1.62%"
"08/03/2025","437.00","427.00","450.00","425.00","246.41K","-1.14%"
"07/27/2025","442.05","439.95","459.00","431.50","347.51K","1.04%"
"07/20/2025","437.50","412.00","439.90","410.00","40.88K","6.68%"
"07/13/2025","410.10","407.00","410.10","405.00","15.91K","-0.63%"
"07/06/2025","412.70","418.95","418.95","403.20","12.74K","0.66%"
"06/29/2025","410.00","408.47","427.00","408.42","35.15K","-4.23%"
"06/22/2025","428.11","406.45","433.03","399.57","18.75K","5.33%"
"06/15/2025","406.45","411.82","411.82","393.66","39.35K","0.00%"
"06/08/2025","406.45","418.17","418.17","394.64","14.59K","-1.82%"
"06/01/2025","414.00","402.00","429.95","400.00","57.47K","3.24%"
"05/25/2025","401.00","400.00","409.90","392.00","39.11K","0.25%"
"05/18/2025","400.00","403.00","412.00","398.10","50.74K","0.00%"
"05/11/2025","400.00","412.10","418.90","400.00","7.24K","-3.59%"
"05/04/2025","414.90","409.00","415.00","399.00","23.07K","1.44%"
"04/27/2025","409.00","405.15","411.00","400.60","29.09K","1.24%"
"04/20/2025","404.00","413.85","413.95","404.00","42.90K","-1.46%"
"04/13/2025","410.00","417.90","417.90","405.50","7.20K","4.86%"
"04/06/2025","391.00","428.00","428.00","391.00","53.04K","-9.49%"
"03/30/2025","432.00","429.80","435.00","406.00","7.05K","5.37%"
"03/23/2025","410.00","447.00","447.00","410.00","84.83K","-5.75%"
"03/16/2025","435.00","442.80","447.50","426.00","30.55K","-1.14%"
"03/09/2025","440.00","450.00","457.40","425.00","33.46K","-2.22%"
